granularity,buggedType,version_name,valid,bug
Method,Most,v0.1.0-incubating,1804,1
Method,Most,v0.2.0-incubating,2046,0
Method,Most,v0.3.0-incubating,2146,0
Method,Most,v0.4.0-incubating,2213,0
Method,Most,v0.4.1-incubating,2303,0
Method,Most,v0.5.0-incubating,2480,6
Method,Most,v0.6.0-incubating,2565,9
Method,Most,v0.7.0-incubating,2672,6
Method,Most,v0.8.0,2736,0
Method,Most,v0.9.0,2846,7
Method,Most,v0.10.0,2902,8
Method,Most,v0.11.0,2959,1
Method,Most,v0.12.0,2985,3
Method,Most,v0.12.1,2988,0
Method,All,v0.1.0-incubating,1804,1
Method,All,v0.2.0-incubating,2046,0
Method,All,v0.3.0-incubating,2146,0
Method,All,v0.4.0-incubating,2213,0
Method,All,v0.4.1-incubating,2303,0
Method,All,v0.5.0-incubating,2443,43
Method,All,v0.6.0-incubating,2536,38
Method,All,v0.7.0-incubating,2622,56
Method,All,v0.8.0,2736,0
Method,All,v0.9.0,2815,38
Method,All,v0.10.0,2819,91
Method,All,v0.11.0,2956,4
Method,All,v0.12.0,2951,37
Method,All,v0.12.1,2988,0
File,Most,v0.1.0-incubating,410,1
File,Most,v0.2.0-incubating,439,0
File,Most,v0.3.0-incubating,450,0
File,Most,v0.4.0-incubating,448,0
File,Most,v0.4.1-incubating,454,0
File,Most,v0.5.0-incubating,474,5
File,Most,v0.6.0-incubating,482,6
File,Most,v0.7.0-incubating,490,5
File,Most,v0.8.0,499,0
File,Most,v0.9.0,505,5
File,Most,v0.10.0,510,7
File,Most,v0.11.0,519,1
File,Most,v0.12.0,521,2
File,Most,v0.12.1,523,0
File,All,v0.1.0-incubating,410,1
File,All,v0.2.0-incubating,439,0
File,All,v0.3.0-incubating,450,0
File,All,v0.4.0-incubating,448,0
File,All,v0.4.1-incubating,454,0
File,All,v0.5.0-incubating,453,26
File,All,v0.6.0-incubating,479,9
File,All,v0.7.0-incubating,480,15
File,All,v0.8.0,499,0
File,All,v0.9.0,497,13
File,All,v0.10.0,494,23
File,All,v0.11.0,518,2
File,All,v0.12.0,502,21
File,All,v0.12.1,523,0
