granularity,buggedType,version_name,valid,bug
Method,Most,v1.0,8516,0
Method,Most,v1.0-rc1,9360,8
Method,Most,0.0.40.r1,9434,0
Method,Most,0.0.40.r2,9470,0
Method,Most,0.0.40.r3,9531,1
Method,Most,0.0.43.r4,9538,1
Method,Most,0.0.40.r4,9539,0
Method,Most,0.0.40.r5,10809,5
Method,Most,0.0.44.r1,10895,2
Method,Most,0.0.44.r2,11022,2
Method,Most,0.0.46.r3,11078,2
Method,Most,0.0.46.r4,11699,4
Method,Most,portal-2.0.5,11703,0
Method,Most,portal-2.0.6,11703,0
Method,Most,portal-2.0.7,13179,5
Method,Most,portal-2.0.8,13201,1
Method,Most,v0.9.10,13203,2
Method,Most,portal-2.0.9,13215,0
Method,Most,portal-2.0.10,13224,1
Method,Most,0.0.52.r1,13258,0
Method,Most,0.0.52.r2,13274,1
Method,Most,0.0.52.r3,13244,1
Method,Most,0.0.52.r4,13437,4
Method,Most,portal-2.0.11,13443,3
Method,Most,portal-2.0.12,13456,2
Method,Most,portal-2.0.13,13602,9
Method,Most,portal-2.0.14,13633,1
Method,Most,portal-2.0.15,13635,0
Method,Most,0.0.54.r1,13667,1
Method,Most,portal-2.0.16,13697,2
Method,Most,0.0.54.r1-freenethotfix-2,13708,1
Method,Most,0.0.57.r1,13686,1
Method,Most,0.0.54.r1-freenethotfix-3,13687,0
Method,Most,0.0.58.r1,13974,5
Method,Most,0.0.64.r1,13979,0
Method,Most,48.0.stack,14467,3
Method,Most,0.0.29rc1,14470,0
Method,Most,1.0.0rc1,15172,0
Method,Most,1.0.0-rc3,15205,0
Method,Most,1.0.0-rc4,15207,0
Method,Most,1.0.0,15207,0
Method,Most,1.0.0-rc6,15207,0
Method,Most,usergrid-1.0.0,15979,44
Method,Most,0.0.72.r1,16468,0
Method,Most,0.0.72.r2,16482,0
Method,Most,0.0.72.r3,16496,0
Method,Most,0.0.72.r4,16685,0
Method,Most,0.0.72.r5,17315,6
Method,Most,0.0.80.r1,17324,0
Method,Most,1.0.1,17324,0
Method,Most,usergrid-1.0.1,17390,0
Method,Most,pre-massive-change-merge,17557,0
Method,Most,usergrid-006,17722,0
Method,Most,2015-02-16-r1,17722,0
Method,Most,tempbuildtag,17747,0
Method,Most,2015-02-19-woolworths-rebuild-hotfix,17747,0
Method,Most,2015-02-19-woolworths-rebuild-hotfix-2,17770,0
Method,Most,2015.02.23-woolworths-fixes,17800,0
Method,Most,2015.02.24-dandb-fixes,17863,2
Method,Most,2015-02-27_8_r2,17965,2
Method,Most,0.0.9.r0,17980,0
Method,Most,2015-03-04-dandb-fixes,18035,0
Method,Most,2015-03-06-org-app-cache-usergrid-9-r1,18035,0
Method,Most,2015-03-06-org-app-cache-usergrid-9-r2,18040,0
Method,Most,2015-03-09-org-app-cache-usergrid-9-r4,18040,0
Method,Most,2015-03-09-org-app-cache-usergrid-9-r5,18040,0
Method,Most,help,18055,0
Method,Most,2015-03-09-org-app-cache-usergrid-9-r6,18144,0
Method,Most,2015-03-11-org-app-cache-usergrid-10-r1,18144,0
Method,Most,2015-03-11-queue-delete-by-quey-10-r1,18185,0
Method,Most,2015-03-15-uniquefix-cleanup-fix-10-r2,18191,0
Method,Most,2015-03-18-repair-fix-11-r1,18252,3
Method,Most,2015-03-25-connection-paging-UG-511-12-r1,18388,2
Method,Most,2015-04-01-thegapfix,18312,1
Method,Most,2015-04-02-fixes,18313,0
Method,Most,2015-04-02-fixes2,18313,0
Method,Most,2015-17-04-ssotest,17742,0
Method,Most,2015-04-16-burberry-fix,17812,0
Method,Most,2015-04-20-ssotest,17812,0
Method,Most,2015-04-21-ssofix,17812,0
Method,Most,2015-04-28-ssotest,18074,1
Method,Most,2015-04-29-ssotest,18075,0
Method,Most,20150505-dedicated-sso,18127,0
Method,Most,20150512-sso-conn-pool,18174,1
Method,Most,20150515-jclouds-fix,18342,3
Method,Most,20150608-sso-fixes,18442,2
Method,Most,2.1.working,18558,0
Method,Most,1.0.2,18558,0
Method,Most,usergrid-1.0.2,18673,17
Method,Most,2.1-release,18947,17
Method,Most,e2e,19138,34
Method,All,v1.0,8516,0
Method,All,v1.0-rc1,9351,17
Method,All,0.0.40.r1,9434,0
Method,All,0.0.40.r2,9470,0
Method,All,0.0.40.r3,9531,1
Method,All,0.0.43.r4,9525,14
Method,All,0.0.40.r4,9539,0
Method,All,0.0.40.r5,10763,51
Method,All,0.0.44.r1,10891,6
Method,All,0.0.44.r2,11022,2
Method,All,0.0.46.r3,11080,0
Method,All,0.0.46.r4,11656,47
Method,All,portal-2.0.5,11703,0
Method,All,portal-2.0.6,11703,0
Method,All,portal-2.0.7,13117,67
Method,All,portal-2.0.8,13189,13
Method,All,v0.9.10,13196,9
Method,All,portal-2.0.9,13215,0
Method,All,portal-2.0.10,13218,7
Method,All,0.0.52.r1,13258,0
Method,All,0.0.52.r2,13242,33
Method,All,0.0.52.r3,13168,77
Method,All,0.0.52.r4,13264,177
Method,All,portal-2.0.11,13294,152
Method,All,portal-2.0.12,13316,142
Method,All,portal-2.0.13,13474,137
Method,All,portal-2.0.14,13633,1
Method,All,portal-2.0.15,13635,0
Method,All,0.0.54.r1,13659,9
Method,All,portal-2.0.16,13685,14
Method,All,0.0.54.r1-freenethotfix-2,13699,10
Method,All,0.0.57.r1,13613,74
Method,All,0.0.54.r1-freenethotfix-3,13687,0
Method,All,0.0.58.r1,13945,34
Method,All,0.0.64.r1,13979,0
Method,All,48.0.stack,14459,11
Method,All,0.0.29rc1,14470,0
Method,All,1.0.0rc1,15172,0
Method,All,1.0.0-rc3,15205,0
Method,All,1.0.0-rc4,15207,0
Method,All,1.0.0,15207,0
Method,All,1.0.0-rc6,15207,0
Method,All,usergrid-1.0.0,15982,41
Method,All,0.0.72.r1,16468,0
Method,All,0.0.72.r2,16482,0
Method,All,0.0.72.r3,16496,0
Method,All,0.0.72.r4,16685,0
Method,All,0.0.72.r5,17303,18
Method,All,0.0.80.r1,17324,0
Method,All,1.0.1,17324,0
Method,All,usergrid-1.0.1,17390,0
Method,All,pre-massive-change-merge,17557,0
Method,All,usergrid-006,17722,0
Method,All,2015-02-16-r1,17722,0
Method,All,tempbuildtag,17747,0
Method,All,2015-02-19-woolworths-rebuild-hotfix,17747,0
Method,All,2015-02-19-woolworths-rebuild-hotfix-2,17770,0
Method,All,2015.02.23-woolworths-fixes,17800,0
Method,All,2015.02.24-dandb-fixes,17859,6
Method,All,2015-02-27_8_r2,17967,0
Method,All,0.0.9.r0,17980,0
Method,All,2015-03-04-dandb-fixes,18035,0
Method,All,2015-03-06-org-app-cache-usergrid-9-r1,18035,0
Method,All,2015-03-06-org-app-cache-usergrid-9-r2,18040,0
Method,All,2015-03-09-org-app-cache-usergrid-9-r4,18040,0
Method,All,2015-03-09-org-app-cache-usergrid-9-r5,18040,0
Method,All,help,18055,0
Method,All,2015-03-09-org-app-cache-usergrid-9-r6,18144,0
Method,All,2015-03-11-org-app-cache-usergrid-10-r1,18144,0
Method,All,2015-03-11-queue-delete-by-quey-10-r1,18185,0
Method,All,2015-03-15-uniquefix-cleanup-fix-10-r2,18191,0
Method,All,2015-03-18-repair-fix-11-r1,18168,87
Method,All,2015-03-25-connection-paging-UG-511-12-r1,18387,3
Method,All,2015-04-01-thegapfix,18312,1
Method,All,2015-04-02-fixes,18313,0
Method,All,2015-04-02-fixes2,18313,0
Method,All,2015-17-04-ssotest,17742,0
Method,All,2015-04-16-burberry-fix,17812,0
Method,All,2015-04-20-ssotest,17812,0
Method,All,2015-04-21-ssofix,17812,0
Method,All,2015-04-28-ssotest,18055,20
Method,All,2015-04-29-ssotest,18075,0
Method,All,20150505-dedicated-sso,18127,0
Method,All,20150512-sso-conn-pool,18167,8
Method,All,20150515-jclouds-fix,18337,8
Method,All,20150608-sso-fixes,18422,22
Method,All,2.1.working,18554,4
Method,All,1.0.2,18558,0
Method,All,usergrid-1.0.2,18611,79
Method,All,2.1-release,18901,63
Method,All,e2e,18568,604
File,Most,v1.0,1096,0
File,Most,v1.0-rc1,1354,3
File,Most,0.0.40.r1,1369,0
File,Most,0.0.40.r2,1388,0
File,Most,0.0.40.r3,1392,1
File,Most,0.0.43.r4,1393,1
File,Most,0.0.40.r4,1394,0
File,Most,0.0.40.r5,1615,3
File,Most,0.0.44.r1,1685,2
File,Most,0.0.44.r2,1707,2
File,Most,0.0.46.r3,1719,0
File,Most,0.0.46.r4,1794,2
File,Most,portal-2.0.5,1796,0
File,Most,portal-2.0.6,1796,0
File,Most,portal-2.0.7,2134,4
File,Most,portal-2.0.8,2138,1
File,Most,v0.9.10,2136,3
File,Most,portal-2.0.9,2140,0
File,Most,portal-2.0.10,2138,1
File,Most,0.0.52.r1,2142,0
File,Most,0.0.52.r2,2144,1
File,Most,0.0.52.r3,2109,1
File,Most,0.0.52.r4,2128,2
File,Most,portal-2.0.11,2128,2
File,Most,portal-2.0.12,2128,2
File,Most,portal-2.0.13,2154,4
File,Most,portal-2.0.14,2159,1
File,Most,portal-2.0.15,2160,0
File,Most,0.0.54.r1,2144,1
File,Most,portal-2.0.16,2148,2
File,Most,0.0.54.r1-freenethotfix-2,2150,1
File,Most,0.0.57.r1,2146,1
File,Most,0.0.54.r1-freenethotfix-3,2147,0
File,Most,0.0.58.r1,2165,4
File,Most,0.0.64.r1,2169,0
File,Most,48.0.stack,2236,11
File,Most,0.0.29rc1,2247,0
File,Most,1.0.0rc1,2283,0
File,Most,1.0.0-rc3,2301,0
File,Most,1.0.0-rc4,2301,0
File,Most,1.0.0,2301,0
File,Most,1.0.0-rc6,2301,0
File,Most,usergrid-1.0.0,2470,4
File,Most,0.0.72.r1,2504,0
File,Most,0.0.72.r2,2505,0
File,Most,0.0.72.r3,2508,0
File,Most,0.0.72.r4,2536,0
File,Most,0.0.72.r5,2582,3
File,Most,0.0.80.r1,2586,0
File,Most,1.0.1,2586,0
File,Most,usergrid-1.0.1,2550,0
File,Most,pre-massive-change-merge,2569,0
File,Most,usergrid-006,2607,0
File,Most,2015-02-16-r1,2607,0
File,Most,tempbuildtag,2604,1
File,Most,2015-02-19-woolworths-rebuild-hotfix,2605,0
File,Most,2015-02-19-woolworths-rebuild-hotfix-2,2607,0
File,Most,2015.02.23-woolworths-fixes,2613,0
File,Most,2015.02.24-dandb-fixes,2628,1
File,Most,2015-02-27_8_r2,2635,0
File,Most,0.0.9.r0,2637,0
File,Most,2015-03-04-dandb-fixes,2656,0
File,Most,2015-03-06-org-app-cache-usergrid-9-r1,2656,0
File,Most,2015-03-06-org-app-cache-usergrid-9-r2,2656,0
File,Most,2015-03-09-org-app-cache-usergrid-9-r4,2656,0
File,Most,2015-03-09-org-app-cache-usergrid-9-r5,2656,0
File,Most,help,2658,0
File,Most,2015-03-09-org-app-cache-usergrid-9-r6,2671,0
File,Most,2015-03-11-org-app-cache-usergrid-10-r1,2671,0
File,Most,2015-03-11-queue-delete-by-quey-10-r1,2672,0
File,Most,2015-03-15-uniquefix-cleanup-fix-10-r2,2673,0
File,Most,2015-03-18-repair-fix-11-r1,2683,3
File,Most,2015-03-25-connection-paging-UG-511-12-r1,2709,2
File,Most,2015-04-01-thegapfix,2713,1
File,Most,2015-04-02-fixes,2714,0
File,Most,2015-04-02-fixes2,2714,0
File,Most,2015-17-04-ssotest,2651,0
File,Most,2015-04-16-burberry-fix,2666,0
File,Most,2015-04-20-ssotest,2666,0
File,Most,2015-04-21-ssofix,2666,0
File,Most,2015-04-28-ssotest,2768,1
File,Most,2015-04-29-ssotest,2769,0
File,Most,20150505-dedicated-sso,2771,1
File,Most,20150512-sso-conn-pool,2775,1
File,Most,20150515-jclouds-fix,2818,3
File,Most,20150608-sso-fixes,2825,2
