granularity,buggedType,version_name,valid,bug
Method,Most,STRUTS_1_1_B1,1126,0
Method,Most,STRUTS_1_1_B2,1126,0
Method,Most,STRUTS_1_1_B3,1126,0
Method,Most,STRUTS_1_1_RC1,1126,0
Method,Most,VALIDATOR_1_0,1126,0
Method,Most,VALIDATOR_1_0_1,1126,0
Method,Most,VALIDATOR_1_0_2,1126,0
Method,Most,VALIDATOR_1_1_0,1126,0
Method,Most,VALIDATOR_1_1_1,1126,0
Method,Most,VALIDATOR_1_1_2,1126,0
Method,Most,VALIDATOR_1_1_3,1126,0
Method,Most,VALIDATOR_1_1_4,1126,0
Method,Most,VALIDATOR_1_2_0,1126,0
Method,Most,VALIDATOR_1_2_0_RC1,1126,0
Method,Most,VALIDATOR_1_2_0_RC2,1126,0
Method,Most,VALIDATOR_1_2_0_RC3,1126,0
Method,Most,VALIDATOR_1_2_1_RC1,1126,0
Method,Most,VALIDATOR_1_2_1_RC2,1126,0
Method,Most,VALIDATOR_1_3_0,1126,0
Method,Most,VALIDATOR_1_3_0_RC1,1126,0
Method,Most,VALIDATOR_1_3_0_RC2,1126,0
Method,Most,VALIDATOR_1_3_0_RC3,1126,0
Method,Most,VALIDATOR_1_3_1,1126,0
Method,Most,VALIDATOR_1_3_1_RC1,1126,0
Method,Most,VALIDATOR_1_3_1_RC2,1418,9
Method,Most,VALIDATOR_1_4_0_BETA1_RC1,1457,1
Method,Most,VALIDATOR_1_4_0_RC1,1459,0
Method,Most,VALIDATOR_1_4_0_RC2,1459,0
Method,Most,VALIDATOR_1_4_0,1463,7
Method,Most,VALIDATOR_1_4_1_RC1,1481,11
Method,Most,VALIDATOR_1_4_1_RC2,1527,9
Method,Most,VALIDATOR_1_4_1_RC3,1536,0
Method,Most,VALIDATOR_1_4_1,1650,15
Method,Most,VALIDATOR_1_5_0_RC1,1665,0
Method,Most,NET_3_4_RC2,1670,3
Method,Most,VALIDATOR_1_5_0,1673,6
Method,Most,VALIDATOR_1_5_1_RC1,1699,0
Method,Most,VALIDATOR_1_5_1_RC2,1699,0
Method,Most,VALIDATOR_1_5_1,1726,7
Method,Most,VALIDATOR_1_6_RC1,1733,0
Method,All,STRUTS_1_1_B1,1126,0
Method,All,STRUTS_1_1_B2,1126,0
Method,All,STRUTS_1_1_B3,1126,0
Method,All,STRUTS_1_1_RC1,1126,0
Method,All,VALIDATOR_1_0,1126,0
Method,All,VALIDATOR_1_0_1,1126,0
Method,All,VALIDATOR_1_0_2,1126,0
Method,All,VALIDATOR_1_1_0,1126,0
Method,All,VALIDATOR_1_1_1,1126,0
Method,All,VALIDATOR_1_1_2,1126,0
Method,All,VALIDATOR_1_1_3,1126,0
Method,All,VALIDATOR_1_1_4,1126,0
Method,All,VALIDATOR_1_2_0,1126,0
Method,All,VALIDATOR_1_2_0_RC1,1126,0
Method,All,VALIDATOR_1_2_0_RC2,1126,0
Method,All,VALIDATOR_1_2_0_RC3,1126,0
Method,All,VALIDATOR_1_2_1_RC1,1126,0
Method,All,VALIDATOR_1_2_1_RC2,1126,0
Method,All,VALIDATOR_1_3_0,1126,0
Method,All,VALIDATOR_1_3_0_RC1,1126,0
Method,All,VALIDATOR_1_3_0_RC2,1126,0
Method,All,VALIDATOR_1_3_0_RC3,1126,0
Method,All,VALIDATOR_1_3_1,1126,0
Method,All,VALIDATOR_1_3_1_RC1,1126,0
Method,All,VALIDATOR_1_3_1_RC2,1420,7
Method,All,VALIDATOR_1_4_0_BETA1_RC1,1458,0
Method,All,VALIDATOR_1_4_0_RC1,1459,0
Method,All,VALIDATOR_1_4_0_RC2,1459,0
Method,All,VALIDATOR_1_4_0,1466,4
Method,All,VALIDATOR_1_4_1_RC1,1485,7
