granularity,buggedType,version_name,valid,bug
Method,Most,apache-vxquery-0.2-incubating-RC1,5583,0
Method,Most,apache-vxquery-0.2-incubating-RC2,5583,0
Method,Most,vxquery-0.1,5583,0
Method,Most,apache-vxquery-0.2-incubating,5766,2
Method,Most,apache-vxquery-0.3-incubating,5869,1
Method,Most,apache-vxquery-0.4,5905,0
Method,Most,apache-vxquery-0.5,6027,8
Method,All,apache-vxquery-0.2-incubating-RC1,5583,0
Method,All,apache-vxquery-0.2-incubating-RC2,5583,0
Method,All,vxquery-0.1,5583,0
Method,All,apache-vxquery-0.2-incubating,5760,8
Method,All,apache-vxquery-0.3-incubating,5866,4
Method,All,apache-vxquery-0.4,5905,0
Method,All,apache-vxquery-0.5,5927,108
File,Most,apache-vxquery-0.2-incubating-RC1,1262,0
File,Most,apache-vxquery-0.2-incubating-RC2,1262,0
File,Most,vxquery-0.1,1262,0
File,Most,apache-vxquery-0.2-incubating,1300,2
File,Most,apache-vxquery-0.3-incubating,1321,1
File,Most,apache-vxquery-0.4,1333,0
File,Most,apache-vxquery-0.5,1456,5
File,All,apache-vxquery-0.2-incubating-RC1,1262,0
File,All,apache-vxquery-0.2-incubating-RC2,1262,0
File,All,vxquery-0.1,1262,0
File,All,apache-vxquery-0.2-incubating,1298,4
File,All,apache-vxquery-0.3-incubating,1321,1
File,All,apache-vxquery-0.4,1333,0
File,All,apache-vxquery-0.5,900,561
