granularity,buggedType,version_name,valid,bug
Method,Most,WAGON_0_9,458,0
Method,Most,WAGON_API_1_0_ALPHA_1,458,0
Method,Most,WAGON_FILE_1_0_ALPHA_1,458,0
Method,Most,WAGON_FTP_1_0_ALPHA_1,458,0
Method,Most,WAGON_HTTP_1_0_ALPHA_1,458,0
Method,Most,WAGON_HTTP_LW_1_0_ALPHA_1,458,0
Method,Most,WAGON_SSH_1_0_ALPHA_1,458,0
Method,Most,WAGON_COMMON_1_0_ALPHA_1,540,0
Method,Most,INIT,573,2
Method,Most,WAGON_1_0_ALPHA_2,606,0
Method,Most,wagon-1.0-alpha-3,604,2
Method,Most,wagon-1.0-alpha-4,652,3
Method,Most,wagon-1.0-alpha-5,660,2
Method,Most,wagon-1.0-alpha-6,662,0
Method,Most,wagon-file-1.0-alpha-7,662,0
Method,Most,wagon-ssh-1.0-alpha-7,707,0
Method,Most,wagon-webdav-1.0-alpha-6,721,0
Method,Most,wagon-1.0-beta-1,840,0
Method,Most,wagon-1.0-beta-2,1243,1
Method,Most,wagon-1.0-beta-3,1252,0
Method,Most,wagon-1.0-beta-4,1408,2
Method,Most,wagon-1.0-beta-5,1443,0
Method,Most,wagon-1.0-beta-6,1533,0
Method,Most,wagon-1.0-beta-7,1622,6
Method,Most,wagon-1.0,1817,0
Method,Most,wagon-2.0,1822,0
Method,Most,wagon-2.1,1842,1
Method,Most,wagon-2.2,1905,1
Method,Most,wagon-2.3,1916,0
Method,Most,wagon-2.4,1906,0
Method,Most,wagon-2.5,1961,0
Method,Most,wagon-2.6,1980,0
Method,Most,wagon-2.7,1996,0
Method,Most,wagon-2.8,2023,0
Method,Most,wagon-2.9,2024,0
Method,Most,wagon-2.10,2037,1
Method,Most,wagon-2.11,2041,1
Method,Most,wagon-2.12,2049,1
Method,Most,wagon-3.0.0,2069,3
Method,Most,wagon-3.1.0,2098,1
Method,All,WAGON_0_9,458,0
Method,All,WAGON_API_1_0_ALPHA_1,458,0
Method,All,WAGON_FILE_1_0_ALPHA_1,458,0
Method,All,WAGON_FTP_1_0_ALPHA_1,458,0
Method,All,WAGON_HTTP_1_0_ALPHA_1,458,0
Method,All,WAGON_HTTP_LW_1_0_ALPHA_1,458,0
Method,All,WAGON_SSH_1_0_ALPHA_1,458,0
Method,All,WAGON_COMMON_1_0_ALPHA_1,540,0
Method,All,INIT,573,2
Method,All,WAGON_1_0_ALPHA_2,606,0
Method,All,wagon-1.0-alpha-3,598,8
Method,All,wagon-1.0-alpha-4,644,11
Method,All,wagon-1.0-alpha-5,654,8
Method,All,wagon-1.0-alpha-6,662,0
Method,All,wagon-file-1.0-alpha-7,662,0
Method,All,wagon-ssh-1.0-alpha-7,707,0
Method,All,wagon-webdav-1.0-alpha-6,721,0
Method,All,wagon-1.0-beta-1,840,0
Method,All,wagon-1.0-beta-2,1242,2
Method,All,wagon-1.0-beta-3,1252,0
Method,All,wagon-1.0-beta-4,1396,14
Method,All,wagon-1.0-beta-5,1443,0
Method,All,wagon-1.0-beta-6,1533,0
Method,All,wagon-1.0-beta-7,1617,11
Method,All,wagon-1.0,1817,0
Method,All,wagon-2.0,1822,0
Method,All,wagon-2.1,1840,3
Method,All,wagon-2.2,1896,10
Method,All,wagon-2.3,1916,0
Method,All,wagon-2.4,1906,0
Method,All,wagon-2.5,1961,0
Method,All,wagon-2.6,1980,0
Method,All,wagon-2.7,1996,0
