granularity,buggedType,version_name,valid,bug
Method,Most,AFTER_FIX_1373547,27064,0
Method,Most,BEFORE_CHANGES_JON_START_OF_MERGE,27064,0
Method,Most,BEFORE_FIX_1373547,27064,0
Method,Most,BEFORE_INITIAL_VERSIONING_REFACTOR,27064,0
Method,Most,BEFORE_JONL_REWORK_FILE_RESOURCE,27064,0
Method,Most,BEFORE_POM_UPDATE,27064,0
Method,Most,BEFORE_PROPER_PAGE_CONSTRUCTOR_FIX,27064,0
Method,Most,BEFORE_SETTINGS_REFACTOR,27064,0
Method,Most,DATE_24_NOV_2005,27064,0
Method,Most,FEB_24_2005,27064,0
Method,Most,HEAD-16-FEB-2006-12-41-PM-PST,27064,0
Method,Most,IVAYNBERG_BEFORE_SORTING_DATATABLE_REFACTOR,27064,0
Method,Most,JAN_17_2005,27064,0
Method,Most,LBL_1_2_BEFORE_VALIDATION_REFACTOR,27064,0
Method,Most,MARCH_4_2005,27064,0
Method,Most,MARCH_6_2005,27064,0
Method,Most,March_24_2005,27064,0
Method,Most,PRE_BRANCH_1_2,27064,0
Method,Most,PRE_CHANGE_FROM_WCN_TO_WICKET,27064,0
Method,Most,PRE_CONTAINERINFO_CHANGE,27064,0
Method,Most,PRE_DISABLED_NULL_CHECK_MODEL_VALIDATOR,27064,0
Method,Most,PRE_FILE_CHANGE,27064,0
Method,Most,PRE_NEW_MARKUP_INHERITANCE,27064,0
Method,Most,PRE_PACKAGE_RENAME,27064,0
Method,Most,PRE_RE-RENDER_JDO,27064,0
Method,Most,PRE_WICKET_1_2_1,27064,0
Method,Most,PRE_WICKET_HEADER_SUPPORT_REVIEWED-2005-08-14,27064,0
Method,Most,Root_EXP_PORTLETS_PRE_1_2,27064,0
Method,Most,Root_TRY_EELCO_AJAX,27064,0
Method,Most,Root_TRY_REPLACE_AND_COPY,27064,0
Method,Most,Root_V_1_2,27064,0
Method,Most,Root_WICKET_1-1b4-separated-attach-and-render-phase,27064,0
Method,Most,Root_WICKET_1_0_0,27064,0
Method,Most,Root_WICKET_1_1,27064,0
Method,Most,Root_WebRequestEncodingStrategy_change,27064,0
Method,Most,Root_ajax_tryout,27064,0
Method,Most,Root_redirect_fix,27064,0
Method,Most,V0-9-16-PRE-COMPONENTRESOLVER,27064,0
Method,Most,V0-9-16_PRE_WICKET_TAG,27064,0
Method,Most,V28_11_2004,27064,0
Method,Most,V_0_9_15_BETA_PRE_GROOVY,27064,0
Method,Most,V_0_9_16_BETA_PRE_WICKET_NAMESPACE,27064,0
Method,Most,V_1_2_22_08_2005,27064,0
Method,Most,V_1_2_PRE_MARKUPSTREAMPOSITION,27064,0
Method,Most,V_1_2_PRE_TRANSPARENT_CONTAINERS,27064,0
Method,Most,V_28_11_2004,27064,0
Method,Most,V_3_MAY_2005,27064,0
Method,Most,alpha_0_9_11,27064,0
Method,Most,before-fasttrack,27064,0
Method,Most,before-request-cycle-architecture-change,27064,0
Method,Most,before-request-cycle-rendering-changes,27064,0
Method,Most,dashorst,27064,0
Method,Most,matej_k_before_hybrid_urls,27064,0
Method,Most,pre-wicket-1.2.5,27064,0
Method,Most,pre_ajax_support,27064,0
Method,Most,pre_wicketId_20050317,27064,0
Method,Most,test-branch2,27064,0
Method,Most,wicket-0.9.11-alpha,27064,0
Method,Most,wicket-0.9.13-alpha,27064,0
Method,Most,wicket-0.9.14-alpha,27064,0
Method,Most,wicket-0.9.15-beta,27064,0
Method,Most,wicket-0.9.16-beta,27064,0
Method,Most,wicket-0.9.17-beta,27064,0
Method,Most,wicket-0.9.18-beta,27064,0
Method,Most,wicket-0.9.19-beta,27064,0
Method,Most,wicket-1.0,27064,0
Method,Most,wicket-1.0-rc1,27064,0
Method,Most,wicket-1.0-rc2,27064,0
Method,Most,wicket-1.0-rc3,27064,0
Method,Most,wicket-1.0.1,27064,0
Method,Most,wicket-1.0.2,27064,0
Method,Most,wicket-1.0.3,27064,0
Method,Most,wicket-1.1,27064,0
Method,Most,wicket-1.1-beta1,27064,0
Method,Most,wicket-1.1-beta2,27064,0
Method,Most,wicket-1.1-beta3,27064,0
Method,Most,wicket-1.1-beta4,27064,0
Method,Most,wicket-1.1-rc1,27064,0
Method,Most,wicket-1.1-rc2,27064,0
Method,Most,wicket-1.1.1,27064,0
Method,Most,wicket-1.2,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2005-12-20,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2005-12-29,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-01-08,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-01-15,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-01-22,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-01-27,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-01-31,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-02-06,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-02-16,27064,0
Method,Most,wicket-1.2-SNAPSHOT-20060127-0105,27064,0
Method,Most,wicket-1.2-SNAPSHOT-20060227-0200,27064,0
Method,Most,wicket-1.2-beta1,27064,0
Method,Most,wicket-1.2-beta2,27064,0
Method,Most,wicket-1.2-beta3,27064,0
Method,Most,wicket-1.2-rc1,27064,0
Method,Most,wicket-1.2-rc2,27064,0
Method,Most,wicket-1.2-rc3,27064,0
Method,Most,wicket-1.2.2,27064,0
Method,Most,wicket-1.2.3,27064,0
Method,Most,wicket-1.2.4,27064,0
Method,Most,wicket-1.2.5,27064,0
Method,Most,wicket-1.2.6,27064,0
Method,Most,wicket-1.3.0-beta2,27064,0
Method,Most,wicket-1.3.0-incubating-SNAPSHOT,27064,0
Method,Most,wicket-1.3.0-incubating-beta-1,27064,0
Method,Most,wicket-1.x-before-als-repo-restructure,27064,0
Method,Most,wicket-spring-1.0,27064,0
Method,Most,wicket-spring-annot-1.0,27064,0
Method,Most,wicket-spring-annot-examples-1.0,27064,0
Method,Most,wicket-spring-cattr-1.0,27064,0
Method,Most,wicket-spring-examples-1.0,27064,0
Method,Most,wicket_1_2_b2_before_charsequence,27246,21
Method,Most,wicket-1.3.0-beta3,27593,75
Method,Most,wicket-1.3.0-beta4,28084,40
Method,Most,wicket-1.3.0-rc1,28219,30
Method,Most,wicket-1.3.0-rc2,28290,10
Method,Most,wicket-1.3.0,28362,19
Method,Most,wicket-1.3.1,28387,29
Method,Most,wicket-1.3.2,28408,10
Method,Most,wicket-1.2.7,28455,17
Method,Most,wicket-1.3.3,28824,136
Method,Most,wicket-1.4-m1,30865,19
Method,Most,wicket-1.4-m2,31057,18
Method,Most,wicket-1.3.4,31080,4
Method,Most,wicket-1.4.x-before-generics-refactoring,31466,3
Method,Most,wicket-1.4-m3,31814,54
Method,Most,wicket-1.3.5,31928,3
Method,Most,wicket-1.4-rc1,31958,25
Method,Most,exp-before-remove-version,32429,77
Method,Most,wicket-1.4-rc2-first-try,32506,0
Method,Most,wicket-1.4-rc2,32998,59
Method,Most,wicket-1.4-rc3,33056,1
Method,Most,wicket-1.3.6,33059,2
Method,Most,1.4-rc3,33077,15
Method,Most,wicket-1.4-rc4,33093,10
Method,Most,wicket-1.4-rc5,33156,35
Method,Most,wicket-1.4.0,33191,0
Method,Most,wicket-1.3.7,33611,24
Method,Most,wicket-1.4.2,34544,11
Method,Most,wicket-1.4.3,34832,22
Method,Most,wicket-1.4.4,34891,9
Method,Most,wicket-1.4.5,35508,23
Method,Most,wicket-1.4.6,35734,12
Method,Most,wicket-1.4.7,36614,6
Method,Most,wicket-1.4.8,36638,7
Method,Most,wicket-1.4.9,36864,69
Method,Most,wicket-1.4.10,36933,0
Method,Most,wicket-1.5-M1,37145,71
Method,Most,wicket-1.4.11,37266,10
Method,Most,wicket-1.5-M2,37296,4
Method,Most,wicket-1.4.12,37311,1
Method,Most,wicket-1.5-M2.1,37518,35
Method,Most,wicket-1.4.13,37572,2
Method,Most,wicket-1.5-M3,38231,23
Method,Most,wicket-1.4.14,39070,28
Method,Most,wicket-1.4.15,39443,77
Method,Most,wicket-1.5-RC1,40089,43
Method,Most,wicket-1.4.16,40132,0
Method,Most,wicket-1.5-RC2,40501,48
Method,Most,wicket-1.4.17,40549,0
Method,Most,wicket-1.5-RC3,41329,50
Method,Most,wicket-1.5-RC4,41379,0
Method,Most,wicket-1.5-RC4.2,42073,51
Method,Most,wicket-1.5-RC5,42809,60
Method,Most,wicket-1.4.18,43318,13
Method,Most,wicket-1.5-RC6,43354,7
Method,Most,wicket-1.5.0,43255,228
Method,Most,wicket-1.5-RC7,43487,7
Method,Most,wicket-1.5.1,43562,20
Method,Most,wicket-1.4.19,43681,10
Method,Most,wicket-1.5.2,45064,26
Method,Most,wicket-1.5.3,46264,50
Method,Most,wicket-1.5.4.1,46333,2
Method,Most,release/wicket-1.5.4,46335,0
Method,Most,wicket-1.5.4,46601,30
Method,Most,release/wicket-1.5.5,46631,0
Method,Most,wicket-1.5.5,46634,2
Method,Most,release/wicket-1.4.20,46636,0
Method,Most,wicket-1.4.20,46683,5
Method,Most,release/wicket-6.0.0-beta1,46688,0
Method,Most,wicket-6.0.0-beta1,46828,61
Method,Most,wicket-1.5.6,46889,0
Method,Most,release/wicket-1.5.6,47068,21
Method,Most,wicket-6.0.0-beta2,47108,2
Method,Most,wicket-1.5.7,47741,34
Method,Most,wicket-6.0.0-beta3,47950,27
Method,Most,release/wicket.1.5.8,47989,3
Method,Most,wicket-6.0.0,48015,6
Method,Most,release/wicket-1.4.21,48149,23
Method,Most,wicket-6.1.0,48238,17
Method,Most,wicket-6.1.1,48410,9
Method,Most,wicket-6.2.0,48438,11
Method,Most,release/wicket-1.5.9,48458,10
Method,Most,wicket-6.3.0,48629,26
Method,Most,wicket-6.4.0,48704,18
Method,Most,wicket-6.5.0,48818,11
Method,Most,wicket-6.6.0,48865,7
Method,Most,release/wicket-1.5.10,48956,41
Method,Most,wicket-6.7.0,49154,24
Method,Most,wicket-6.8.0,49284,24
Method,Most,wicket-6.9.0,49384,109
Method,Most,wicket-6.9.1,49542,124
Method,Most,wicket-6.10.0,49400,322
Method,Most,wicket-6.11.0,49767,73
Method,Most,wicket-6.12.0,50098,125
Method,Most,wicket-6.13.0,49938,332
Method,Most,wicket-1.5.11,50458,13
Method,Most,wicket-1.4.23,50361,5
Method,Most,wicket-6.14.0,50762,26
Method,Most,wicket-6.15.0,50716,0
Method,Most,wicket-7.0.0-M1,50745,52
Method,Most,wicket-6.16.0,50797,0
Method,Most,wicket-7.0.0-M2,51016,111
Method,Most,wicket-6.17.0,51127,0
Method,Most,wicket-7.0.0-M3,50805,324
Method,Most,wicket-1.5.12,51285,60
Method,Most,wicket-6.18.0,51345,0
Method,Most,wicket-7.0.0-M4,51502,18
Method,Most,wicket-7.0.0-M5,51520,0
Method,Most,wicket-6.19.0,51595,5
Method,Most,wicket-1.5.13,51879,48
Method,Most,wicket-6.20.0,51954,0
Method,Most,wicket-7.0.0-M6,52114,11
Method,Most,rel/wicket-7.0.0,52125,0
Method,Most,wicket-7.0.0,52221,44
Method,Most,rel/wicket-7.1.0,52265,0
Method,Most,wicket-7.1.0,52322,6
Method,Most,wicket-6.21.0,52514,49
Method,Most,rel/wicket-7.2.0,52563,0
Method,Most,wicket-7.2.0,52574,33
Method,Most,rel/wicket-6.22.0,52803,110
Method,Most,rel/wicket-7.3.0,53003,0
Method,Most,rel/wicket-6.23.0,53113,28
Method,Most,rel/wicket-8.0.0-M1,53099,105
Method,Most,rel/wicket-6.24.0,53204,0
Method,Most,rel/wicket-7.4.0,52991,384
Method,Most,rel/wicket-7.5.0,53375,0
Method,Most,rel/wicket-8.0.0-M2,53375,0
Method,Most,rel/wicket-6.25.0,53133,366
Method,Most,rel/wicket-7.6.0,53499,0
Method,Most,rel/wicket-8.0.0-M3,53499,0
Method,Most,rel/wicket-6.26.0,53188,14
Method,Most,rel/wicket-8.0.0-M4,53337,9
Method,Most,rel/wicket-8.0.0-M5,53481,9
Method,Most,rel/wicket-7.7.0,53522,1
Method,Most,rel/wicket-8.0.0-M6,53533,18
Method,Most,rel/wicket-6.27.0,53551,1
Method,Most,rel/wicket-7.8.0,53586,5
Method,Most,rel/wicket-8.0.0-M7,53596,2
Method,Most,rel/wicket-6.27.1,53620,3
Method,Most,rel/wicket-7.9.0,53627,3
Method,Most,rel/wicket-6.28.0,53678,4
Method,Most,rel/wicket-8.0.0-M8,53746,11
Method,Most,rel/wicket-eclipse-settings-4,53832,15
Method,Most,rel/wicket-8.0.0-M9,53847,0
Method,Most,rel/wicket-7.10.0,53847,0
Method,Most,rel/wicket-6.29.0,53906,5
Method,Most,rel/wicket-8.0.0,53630,302
Method,Most,rel/wicket-8.1.0,54255,18
Method,All,AFTER_FIX_1373547,27064,0
Method,All,BEFORE_CHANGES_JON_START_OF_MERGE,27064,0
Method,All,BEFORE_FIX_1373547,27064,0
Method,All,BEFORE_INITIAL_VERSIONING_REFACTOR,27064,0
Method,All,BEFORE_JONL_REWORK_FILE_RESOURCE,27064,0
Method,All,BEFORE_POM_UPDATE,27064,0
Method,All,BEFORE_PROPER_PAGE_CONSTRUCTOR_FIX,27064,0
Method,All,BEFORE_SETTINGS_REFACTOR,27064,0
Method,All,DATE_24_NOV_2005,27064,0
Method,All,FEB_24_2005,27064,0
Method,All,HEAD-16-FEB-2006-12-41-PM-PST,27064,0
Method,All,IVAYNBERG_BEFORE_SORTING_DATATABLE_REFACTOR,27064,0
Method,All,JAN_17_2005,27064,0
Method,All,LBL_1_2_BEFORE_VALIDATION_REFACTOR,27064,0
Method,All,MARCH_4_2005,27064,0
Method,All,MARCH_6_2005,27064,0
Method,All,March_24_2005,27064,0
Method,All,PRE_BRANCH_1_2,27064,0
Method,All,PRE_CHANGE_FROM_WCN_TO_WICKET,27064,0
Method,All,PRE_CONTAINERINFO_CHANGE,27064,0
Method,All,PRE_DISABLED_NULL_CHECK_MODEL_VALIDATOR,27064,0
Method,All,PRE_FILE_CHANGE,27064,0
Method,All,PRE_NEW_MARKUP_INHERITANCE,27064,0
Method,All,PRE_PACKAGE_RENAME,27064,0
Method,All,PRE_RE-RENDER_JDO,27064,0
Method,All,PRE_WICKET_1_2_1,27064,0
Method,All,PRE_WICKET_HEADER_SUPPORT_REVIEWED-2005-08-14,27064,0
Method,All,Root_EXP_PORTLETS_PRE_1_2,27064,0
Method,All,Root_TRY_EELCO_AJAX,27064,0
Method,All,Root_TRY_REPLACE_AND_COPY,27064,0
Method,All,Root_V_1_2,27064,0
Method,All,Root_WICKET_1-1b4-separated-attach-and-render-phase,27064,0
Method,All,Root_WICKET_1_0_0,27064,0
Method,All,Root_WICKET_1_1,27064,0
Method,All,Root_WebRequestEncodingStrategy_change,27064,0
Method,All,Root_ajax_tryout,27064,0
Method,All,Root_redirect_fix,27064,0
Method,All,V0-9-16-PRE-COMPONENTRESOLVER,27064,0
Method,All,V0-9-16_PRE_WICKET_TAG,27064,0
Method,All,V28_11_2004,27064,0
Method,All,V_0_9_15_BETA_PRE_GROOVY,27064,0
Method,All,V_0_9_16_BETA_PRE_WICKET_NAMESPACE,27064,0
Method,All,V_1_2_22_08_2005,27064,0
