granularity,buggedType,version_name,valid,bug
Method,Most,gt395,2399,4
Method,Most,1_5_0,2442,4
Method,Most,1_5_1,1631,5
Method,Most,1_5_2,1671,1
Method,Most,1_5_3,1816,16
Method,Most,1_5_4,1961,5
Method,Most,1_5_5-RC2,1966,0
Method,Most,1_5_5,1963,0
Method,Most,1_5_6,1951,1
Method,Most,1_5_7,2122,0
Method,Most,1_5_8,2184,2
Method,Most,1_5_9,2229,1
Method,Most,1_5_10,2711,0
Method,Most,1_5_11,2933,1
Method,Most,1_6_0-alpha,3049,0
Method,Most,1_6_0-beta,3198,0
Method,Most,1_6_0-RC1,3198,0
Method,Most,1_6_0,3247,0
Method,Most,1_6_1,3344,0
Method,Most,1_6_2,3344,0
Method,Most,1_5_12,3407,0
Method,Most,1_6_3,3448,0
Method,Most,1_6_4,3534,0
Method,Most,1_6_5,3613,1
Method,Most,1_6_6,3625,0
Method,Most,1_6_7,6974,1
Method,Most,1_5_13,7360,2
Method,Most,1_6_8,7591,0
Method,Most,1_6_9,10429,1
Method,Most,1_6_10,10808,15
Method,Most,1_6_11,10951,6
Method,Most,1_6_12,11093,0
Method,Most,2_0-beta,11250,0
Method,Most,1_6_13,11316,1
Method,Most,1_6_14,11327,2
Method,Most,wss4j-2.0.0-rc1,11586,14
Method,Most,1_6_15,11611,0
Method,Most,wss4j-2.0.0,11642,0
Method,Most,wss4j-1.6.16,11648,0
Method,Most,wss4j-2.0.1,11725,0
Method,Most,wss4j-2.0.2,11725,0
Method,Most,wss4j-1.6.17,11792,0
Method,Most,wss4j-2.0.3,11792,0
Method,Most,wss4j-1.6.18,11951,1
Method,Most,wss4j-2.1.0,11952,0
Method,Most,wss4j-2.0.4,11974,0
Method,Most,wss4j-2.1.1,12073,2
Method,Most,wss4j-2.1.2,12075,0
Method,Most,wss4j-2.0.5,12077,0
Method,Most,wss4j-2.1.3,12086,1
Method,Most,wss4j-1.6.19,12088,0
Method,Most,wss4j-2.1.4,12088,0
Method,Most,wss4j-2.0.6,12201,1
Method,Most,wss4j-2.0.7,12202,0
Method,Most,wss4j-2.1.5,12212,0
Method,Most,wss4j-2.1.6,12212,0
Method,Most,wss4j-2.0.8,12214,2
Method,Most,wss4j-2.1.7,12216,0
Method,Most,wss4j-2.0.9,12243,1
Method,Most,wss4j-2.1.8,12244,0
Method,Most,wss4j-2.0.10,12416,5
Method,Most,wss4j-2.1.9,12430,0
Method,Most,wss4j-2.1.10,12455,4
Method,Most,wss4j-2.2.0,12459,0
Method,Most,wss4j-2.1.11,12468,6
Method,Most,wss4j-2.2.1,12474,0
Method,Most,wss4j-2.1.12,12496,14
Method,All,gt395,2368,35
Method,All,1_5_0,2442,4
Method,All,1_5_1,1633,3
Method,All,1_5_2,1671,1
Method,All,1_5_3,1742,90
Method,All,1_5_4,1956,10
Method,All,1_5_5-RC2,1966,0
Method,All,1_5_5,1963,0
Method,All,1_5_6,1951,1
Method,All,1_5_7,2122,0
Method,All,1_5_8,2111,75
Method,All,1_5_9,2181,49
Method,All,1_5_10,2711,0
Method,All,1_5_11,2907,27
Method,All,1_6_0-alpha,3049,0
Method,All,1_6_0-beta,3198,0
Method,All,1_6_0-RC1,3198,0
Method,All,1_6_0,3247,0
Method,All,1_6_1,3344,0
Method,All,1_6_2,3344,0
Method,All,1_5_12,3407,0
Method,All,1_6_3,3448,0
Method,All,1_6_4,3534,0
Method,All,1_6_5,3611,3
Method,All,1_6_6,3625,0
Method,All,1_6_7,6969,6
Method,All,1_5_13,7236,126
Method,All,1_6_8,7591,0
Method,All,1_6_9,10421,9
Method,All,1_6_10,10701,122
Method,All,1_6_11,10930,27
Method,All,1_6_12,11093,0
Method,All,2_0-beta,11250,0
Method,All,1_6_13,11312,5
Method,All,1_6_14,11318,11
Method,All,wss4j-2.0.0-rc1,11600,0
Method,All,1_6_15,11611,0
Method,All,wss4j-2.0.0,11642,0
Method,All,wss4j-1.6.16,11648,0
Method,All,wss4j-2.0.1,11725,0
Method,All,wss4j-2.0.2,11725,0
Method,All,wss4j-1.6.17,11792,0
Method,All,wss4j-2.0.3,11792,0
Method,All,wss4j-1.6.18,11887,65
Method,All,wss4j-2.1.0,11952,0
Method,All,wss4j-2.0.4,11974,0
Method,All,wss4j-2.1.1,12067,8
Method,All,wss4j-2.1.2,12075,0
Method,All,wss4j-2.0.5,12077,0
Method,All,wss4j-2.1.3,12087,0
Method,All,wss4j-1.6.19,12088,0
Method,All,wss4j-2.1.4,12088,0
Method,All,wss4j-2.0.6,12191,11
Method,All,wss4j-2.0.7,12202,0
Method,All,wss4j-2.1.5,12212,0
Method,All,wss4j-2.1.6,12212,0
Method,All,wss4j-2.0.8,12211,5
Method,All,wss4j-2.1.7,12216,0
Method,All,wss4j-2.0.9,12235,9
Method,All,wss4j-2.1.8,12244,0
Method,All,wss4j-2.0.10,12404,17
Method,All,wss4j-2.1.9,12430,0
Method,All,wss4j-2.1.10,12450,9
Method,All,wss4j-2.2.0,12459,0
Method,All,wss4j-2.1.11,12460,14
Method,All,wss4j-2.2.1,12474,0
Method,All,wss4j-2.1.12,12452,58
File,Most,gt395,351,4
File,Most,1_5_0,351,4
File,Most,1_5_1,190,3
File,Most,1_5_2,198,1
File,Most,1_5_3,204,8
File,Most,1_5_4,217,4
File,Most,1_5_5-RC2,221,0
File,Most,1_5_5,221,0
File,Most,1_5_6,215,1
File,Most,1_5_7,223,0
File,Most,1_5_8,228,2
File,Most,1_5_9,231,1
File,Most,1_5_10,308,0
File,Most,1_5_11,335,1
File,Most,1_6_0-alpha,345,0
File,Most,1_6_0-beta,366,0
File,Most,1_6_0-RC1,369,0
File,Most,1_6_0,374,0
File,Most,1_6_1,384,0
File,Most,1_6_2,384,0
File,Most,1_5_12,389,0
File,Most,1_6_3,396,0
File,Most,1_6_4,407,0
File,Most,1_6_5,415,1
File,Most,1_6_6,417,0
File,Most,1_6_7,1753,1
File,Most,1_5_13,1759,1
File,Most,1_6_8,1778,0
File,Most,1_6_9,1804,1
File,Most,1_6_10,1860,12
File,Most,1_6_11,1877,6
File,Most,1_6_12,1896,0
File,Most,2_0-beta,1917,0
File,Most,1_6_13,1921,1
File,Most,1_6_14,1921,2
File,Most,wss4j-2.0.0-rc1,1961,0
File,Most,1_6_15,1962,0
File,Most,wss4j-2.0.0,1966,0
File,Most,wss4j-1.6.16,1968,0
File,Most,wss4j-2.0.1,1969,0
File,Most,wss4j-2.0.2,1969,0
File,Most,wss4j-1.6.17,1969,0
File,Most,wss4j-2.0.3,1969,0
File,Most,wss4j-1.6.18,1980,1
File,Most,wss4j-2.1.0,1981,0
File,Most,wss4j-2.0.4,1984,0
File,Most,wss4j-2.1.1,1989,2
File,Most,wss4j-2.1.2,1991,0
File,Most,wss4j-2.0.5,1991,0
File,Most,wss4j-2.1.3,2004,0
File,Most,wss4j-1.6.19,2004,0
File,Most,wss4j-2.1.4,2004,0
File,Most,wss4j-2.0.6,2001,1
File,Most,wss4j-2.0.7,2002,0
File,Most,wss4j-2.1.5,2002,0
File,Most,wss4j-2.1.6,2002,0
File,Most,wss4j-2.0.8,2000,2
File,Most,wss4j-2.1.7,2002,0
File,Most,wss4j-2.0.9,2003,1
File,Most,wss4j-2.1.8,2004,0
File,Most,wss4j-2.0.10,2005,4
File,Most,wss4j-2.1.9,2009,0
File,Most,wss4j-2.1.10,2008,3
File,Most,wss4j-2.2.0,2011,0
File,Most,wss4j-2.1.11,2006,6
File,Most,wss4j-2.2.1,2012,0
File,Most,wss4j-2.1.12,2012,3
File,All,gt395,344,11
File,All,1_5_0,351,4
File,All,1_5_1,189,4
File,All,1_5_2,198,1
File,All,1_5_3,192,20
File,All,1_5_4,214,7
File,All,1_5_5-RC2,221,0
File,All,1_5_5,221,0
File,All,1_5_6,215,1
File,All,1_5_7,223,0
File,All,1_5_8,206,24
File,All,1_5_9,208,24
File,All,1_5_10,308,0
File,All,1_5_11,318,18
File,All,1_6_0-alpha,345,0
File,All,1_6_0-beta,366,0
File,All,1_6_0-RC1,369,0
File,All,1_6_0,374,0
File,All,1_6_1,384,0
File,All,1_6_2,384,0
File,All,1_5_12,389,0
File,All,1_6_3,396,0
File,All,1_6_4,407,0
File,All,1_6_5,414,2
File,All,1_6_6,417,0
File,All,1_6_7,1751,3
File,All,1_5_13,1680,80
File,All,1_6_8,1778,0
File,All,1_6_9,1799,6
File,All,1_6_10,1800,72
File,All,1_6_11,1868,15
File,All,1_6_12,1896,0
File,All,2_0-beta,1917,0
File,All,1_6_13,1920,2
File,All,1_6_14,1916,7
File,All,wss4j-2.0.0-rc1,1961,0
File,All,1_6_15,1962,0
File,All,wss4j-2.0.0,1966,0
File,All,wss4j-1.6.16,1968,0
File,All,wss4j-2.0.1,1969,0
File,All,wss4j-2.0.2,1969,0
File,All,wss4j-1.6.17,1969,0
File,All,wss4j-2.0.3,1969,0
File,All,wss4j-1.6.18,1941,40
File,All,wss4j-2.1.0,1981,0
File,All,wss4j-2.0.4,1984,0
File,All,wss4j-2.1.1,1988,3
File,All,wss4j-2.1.2,1991,0
File,All,wss4j-2.0.5,1991,0
File,All,wss4j-2.1.3,2004,0
File,All,wss4j-1.6.19,2004,0
File,All,wss4j-2.1.4,2004,0
File,All,wss4j-2.0.6,1991,11
File,All,wss4j-2.0.7,2002,0
File,All,wss4j-2.1.5,2002,0
File,All,wss4j-2.1.6,2002,0
File,All,wss4j-2.0.8,2000,2
File,All,wss4j-2.1.7,2002,0
File,All,wss4j-2.0.9,2001,3
File,All,wss4j-2.1.8,2004,0
File,All,wss4j-2.0.10,1998,11
File,All,wss4j-2.1.9,2009,0
File,All,wss4j-2.1.10,2005,6
File,All,wss4j-2.2.0,2011,0
File,All,wss4j-2.1.11,2001,11
File,All,wss4j-2.2.1,2012,0
File,All,wss4j-2.1.12,1983,32
