granularity,buggedType,version_name,valid,bug
Method,Most,initial,2526,6
Method,Most,Xerces-J_1_0_1,2966,5
Method,Most,Xerces-J_1_0_2,2983,1
Method,Most,Xerces-J_1_0_3,3376,10
Method,Most,Xerces-J_1_0_3_Schema,3981,1
Method,Most,schemapointtag,4368,0
Method,Most,Xerces-J_1_0_4,4368,0
Method,Most,beforeschemamerge,4631,1
Method,Most,Xerces-J_1_1_0,4632,0
Method,Most,Xerces-J-1_1_0_05_22_2000,4414,39
Method,Most,Xerces-J_1_1_1,4467,0
Method,Most,beforexercesj2,4481,64
Method,Most,Xerces-J_1_1_2,4581,24
Method,Most,Xerces-J_1_1_3,4610,48
Method,Most,Xerces-J_1_2_0,4658,1
Method,Most,x2m1,4613,49
Method,Most,Xerces-J_1_2_1,4662,6
Method,Most,private_1472,4666,29
Method,Most,help,4711,2
Method,Most,Xerces-J_1_2_2,4714,10
Method,Most,Xerces-J_1_2_3,4724,0
Method,Most,Xerces-J_2_0_0_alpha,4592,136
Method,Most,merge_to_x2_121100,4592,136
Method,Most,x1_sync_121100,4887,67
Method,Most,Xerces-J_1_3_0,4978,7
Method,Most,merge_to_x2_021301,4985,0
Method,Most,x1_sync_021301,5007,9
Method,Most,Xerces-J_1_3_1,5306,9
Method,Most,Xerces-J_1_4_0,5310,32
Method,Most,valport_x1,5360,2
Method,Most,Xerces-J_1_4_1,5377,0
Method,Most,Xerces-J_1_4_2,5470,1
Method,Most,Xerces-J_2_0_0_beta,5471,0
Method,Most,Xerces-J_1_4_3,5471,0
Method,Most,end_of_xerces_j_2_branch,5727,0
Method,Most,start_xerces_j_2_trunc,5727,0
Method,Most,Xerces-J_2_0_0_beta2,6774,3
Method,Most,Xerces-J_2_pkgReorg_xs,6795,0
Method,Most,Xerces-J_2_0_0_beta3,6936,2
Method,Most,Xerces-J_1_4_4,7129,0
Method,Most,Xerces-J_2_XNIMOD,7366,29
Method,Most,jaxp-ri-1_2_0-alpha,7296,2
Method,Most,Xerces-J_2_0_0beta4,7497,9
Method,Most,Xerces-J_2_0_0,7537,0
Method,Most,jaxp-ri-1_2_0-beta,7537,0
Method,Most,jaxp-ri-1_2_0-beta-branch,7681,0
Method,Most,Xerces-J_2_0_1,7681,0
Method,Most,jaxp-ri-1_2_0-fcs-branch-01,7816,2
Method,Most,jaxp-ri-1_2_0-fcs-02,8445,51
Method,Most,Xerces-J_2_0_2,8633,5
Method,Most,jaxp-ri-1_2_0-fcs-03,8658,5
Method,Most,jaxp-ri-1_2_0-fcs-04,8676,21
