granularity,buggedType,version_name,valid,bug
Method,Most,v0.5.0,3887,57
Method,Most,v0.5.5,4192,59
Method,Most,v0.5.6,4941,157
Method,Most,v0.6.0,5512,67
Method,Most,v0.6.1,5661,72
Method,Most,v0.6.2,6715,175
Method,Most,v0.7.0,7085,106
Method,Most,v0.7.1,7382,77
Method,Most,v0.7.2,7972,56
Method,Most,v0.7.3,9702,237
Method,Most,v0.8.0,9958,8
Method,All,v0.5.0,3529,415
Method,All,v0.5.5,3976,275
Method,All,v0.5.6,3767,1331
Method,All,v0.6.0,4832,747
Method,All,v0.6.1,5481,252
Method,All,v0.6.2,5320,1570
Method,All,v0.7.0,6679,512
Method,All,v0.7.1,7002,457
Method,All,v0.7.2,7157,871
Method,All,v0.7.3,7548,2391
Method,All,v0.8.0,9858,108
File,Most,v0.5.0,372,34
File,Most,v0.5.5,403,29
File,Most,v0.5.6,491,55
File,Most,v0.6.0,551,41
File,Most,v0.6.1,568,36
File,Most,v0.6.2,626,73
File,Most,v0.7.0,668,46
File,Most,v0.7.1,701,34
File,Most,v0.7.2,761,42
File,Most,v0.7.3,866,90
File,Most,v0.8.0,953,6
File,All,v0.5.0,345,61
File,All,v0.5.5,356,76
File,All,v0.5.6,377,169
File,All,v0.6.0,483,109
File,All,v0.6.1,545,59
File,All,v0.6.2,481,218
File,All,v0.7.0,622,92
File,All,v0.7.1,620,115
File,All,v0.7.2,640,163
File,All,v0.7.3,660,296
File,All,v0.8.0,914,45
