granularity,buggedType,version_name,valid,bug
Method,Most,0.0.1,5189,0
Method,Most,2.1.0,5189,0
Method,Most,2.2.0,5189,0
Method,Most,2.2.1,5189,0
Method,Most,apache-initial-import,5189,0
Method,Most,post_ZOOKEEPER-45_snapshot,5189,0
Method,Most,release-3.0.0,5189,0
Method,Most,release-3.0.1,5189,0
Method,Most,release-3.0.1-rc0,5189,0
Method,Most,release-3.1.0,5189,0
Method,Most,release-3.1.0-rc0,5189,0
Method,Most,release-3.1.0-rc1,5189,0
Method,Most,release-3.1.0-rc2,5189,0
Method,Most,release-3.1.1,5189,0
Method,Most,release-3.1.1-rc0,5189,0
Method,Most,release-3.1.2,5189,0
Method,Most,release-3.1.2-rc0,5189,0
Method,Most,release-3.2.0,5189,0
Method,Most,release-3.2.0-rc0,5189,0
Method,Most,release-3.2.1,5189,0
Method,Most,release-3.2.2,5189,0
Method,Most,release-3.2.2-rc0,5189,0
Method,Most,release-3.3.0,5189,0
Method,Most,release-3.3.1,5189,0
Method,Most,release-3.3.2,5232,0
Method,Most,release-3.3.3-rc0,5232,0
Method,Most,release-3.3.3-rc1,5232,0
Method,Most,release-3.3.3,4143,9
Method,Most,release-3.4.0-rc0,4191,1
Method,Most,release-3.4.0-rc1,4197,0
Method,Most,release-3.4.0-rc2,4197,0
Method,Most,release-3.3.4-rc0,4197,0
Method,Most,release-3.4.0,4197,0
Method,Most,release-3.3.4,4199,0
Method,Most,release-3.4.1-rc0,4225,1
Method,Most,release-3.4.1,4227,0
Method,Most,release-3.4.2-rc0,4230,10
Method,Most,release-3.4.2,4269,0
Method,Most,release-3.4.3-rc0,4270,0
Method,Most,release-3.4.3,4276,2
Method,Most,release-3.3.5-rc0,4304,0
Method,Most,release-3.3.5-rc1,4392,0
Method,Most,release-3.3.5,4481,1
Method,Most,release-3.3.6-rc0,4482,0
Method,Most,release-3.3.6,4513,0
Method,Most,release-3.4.4-rc0,4513,0
Method,Most,release-3.4.4,4514,2
Method,Most,release-3.4.5-rc0,4516,1
Method,Most,release-3.4.5-rc1,4527,0
Method,Most,release-3.4.5,5077,9
Method,Most,release-3.4.6-rc0,5086,0
Method,Most,release-3.4.6,5494,1
Method,Most,release-3.5.0-rc0,5495,0
Method,Most,release-3.5.0,5694,29
Method,Most,release-3.5.1-rc0,5730,8
Method,Most,release-3.5.1-rc1,5767,10
Method,Most,release-3.5.1-rc2,5778,6
Method,Most,release-3.5.1-rc3,5834,5
Method,Most,release-3.5.1-rc4,5837,2
Method,Most,release-3.5.1,5849,15
Method,Most,release-3.4.7-rc0,5864,0
Method,Most,release-3.4.7,5862,13
Method,Most,release-3.4.8-rc0,5875,0
Method,Most,release-3.4.8,5971,16
Method,Most,release-3.5.2-rc0,5987,0
Method,Most,release-3.5.2-rc1,5987,0
Method,Most,release-3.5.2,6013,6
Method,Most,release-3.4.9-rc0,6019,0
Method,Most,release-3.4.9-rc1,6019,0
Method,Most,release-3.4.9-rc2,6019,2
Method,Most,release-3.4.9,6152,52
Method,Most,release-3.4.10-rc0,6205,5
Method,Most,release-3.4.10,6210,0
Method,Most,release-3.4.10-rc1,6208,2
Method,Most,release-3.5.3,6210,0
Method,Most,release-3.5.3-rc0,6210,0
Method,Most,release-3.5.3-rc1,6191,48
Method,Most,release-3.4.11-rc0,6239,0
Method,Most,release-3.4.11,6239,0
Method,Most,release-3.4.11-rc1,6446,18
Method,Most,release-3.4.12-rc0,6463,1
Method,Most,release-3.4.12,6464,0
Method,Most,release-3.4.12-rc1,6560,12
Method,Most,release-3.5.4,6572,0
Method,Most,release-3.5.4-rc0,6582,7
Method,Most,release-3.4.13,6589,0
Method,Most,release-3.4.13-rc0,6589,0
Method,All,0.0.1,5189,0
Method,All,2.1.0,5189,0
Method,All,2.2.0,5189,0
Method,All,2.2.1,5189,0
Method,All,apache-initial-import,5189,0
Method,All,post_ZOOKEEPER-45_snapshot,5189,0
Method,All,release-3.0.0,5189,0
Method,All,release-3.0.1,5189,0
Method,All,release-3.0.1-rc0,5189,0
Method,All,release-3.1.0,5189,0
Method,All,release-3.1.0-rc0,5189,0
Method,All,release-3.1.0-rc1,5189,0
Method,All,release-3.1.0-rc2,5189,0
Method,All,release-3.1.1,5189,0
Method,All,release-3.1.1-rc0,5189,0
Method,All,release-3.1.2,5189,0
Method,All,release-3.1.2-rc0,5189,0
Method,All,release-3.2.0,5189,0
Method,All,release-3.2.0-rc0,5189,0
Method,All,release-3.2.1,5189,0
Method,All,release-3.2.2,5189,0
Method,All,release-3.2.2-rc0,5189,0
Method,All,release-3.3.0,5189,0
Method,All,release-3.3.1,5189,0
Method,All,release-3.3.2,5232,0
Method,All,release-3.3.3-rc0,5232,0
Method,All,release-3.3.3-rc1,5232,0
Method,All,release-3.3.3,4107,45
Method,All,release-3.4.0-rc0,4192,0
Method,All,release-3.4.0-rc1,4197,0
Method,All,release-3.4.0-rc2,4197,0
Method,All,release-3.3.4-rc0,4197,0
Method,All,release-3.4.0,4197,0
Method,All,release-3.3.4,4199,0
Method,All,release-3.4.1-rc0,4226,0
Method,All,release-3.4.1,4227,0
Method,All,release-3.4.2-rc0,4231,9
Method,All,release-3.4.2,4269,0
Method,All,release-3.4.3-rc0,4270,0
Method,All,release-3.4.3,4278,0
Method,All,release-3.3.5-rc0,4304,0
Method,All,release-3.3.5-rc1,4392,0
Method,All,release-3.3.5,4481,1
Method,All,release-3.3.6-rc0,4482,0
Method,All,release-3.3.6,4513,0
Method,All,release-3.4.4-rc0,4513,0
Method,All,release-3.4.4,4514,2
Method,All,release-3.4.5-rc0,4515,2
Method,All,release-3.4.5-rc1,4527,0
Method,All,release-3.4.5,5071,15
Method,All,release-3.4.6-rc0,5086,0
Method,All,release-3.4.6,5493,2
Method,All,release-3.5.0-rc0,5495,0
Method,All,release-3.5.0,5502,221
Method,All,release-3.5.1-rc0,5719,19
Method,All,release-3.5.1-rc1,5725,52
Method,All,release-3.5.1-rc2,5775,9
Method,All,release-3.5.1-rc3,5747,92
Method,All,release-3.5.1-rc4,5838,1
Method,All,release-3.5.1,5840,24
Method,All,release-3.4.7-rc0,5864,0
Method,All,release-3.4.7,5852,23
Method,All,release-3.4.8-rc0,5875,0
Method,All,release-3.4.8,5884,103
Method,All,release-3.5.2-rc0,5987,0
Method,All,release-3.5.2-rc1,5987,0
Method,All,release-3.5.2,5941,78
Method,All,release-3.4.9-rc0,6019,0
Method,All,release-3.4.9-rc1,6019,0
Method,All,release-3.4.9-rc2,6019,2
Method,All,release-3.4.9,6039,165
Method,All,release-3.4.10-rc0,6207,3
Method,All,release-3.4.10,6210,0
Method,All,release-3.4.10-rc1,6207,3
Method,All,release-3.5.3,6210,0
Method,All,release-3.5.3-rc0,6210,0
Method,All,release-3.5.3-rc1,6120,119
Method,All,release-3.4.11-rc0,6239,0
Method,All,release-3.4.11,6239,0
Method,All,release-3.4.11-rc1,6320,144
Method,All,release-3.4.12-rc0,6463,1
Method,All,release-3.4.12,6464,0
Method,All,release-3.4.12-rc1,6511,61
Method,All,release-3.5.4,6572,0
Method,All,release-3.5.4-rc0,6569,20
Method,All,release-3.4.13,6589,0
Method,All,release-3.4.13-rc0,6589,0
File,Most,0.0.1,738,0
File,Most,2.1.0,738,0
File,Most,2.2.0,738,0
File,Most,2.2.1,738,0
File,Most,apache-initial-import,738,0
File,Most,post_ZOOKEEPER-45_snapshot,738,0
File,Most,release-3.0.0,738,0
File,Most,release-3.0.1,738,0
File,Most,release-3.0.1-rc0,738,0
File,Most,release-3.1.0,738,0
File,Most,release-3.1.0-rc0,738,0
File,Most,release-3.1.0-rc1,738,0
File,Most,release-3.1.0-rc2,738,0
File,Most,release-3.1.1,738,0
File,Most,release-3.1.1-rc0,738,0
File,Most,release-3.1.2,738,0
