granularity,buggedType,version_name,valid,bug
Method,Most,vault/hyrax-next@10,6892,2
Method,Most,vault/hyracks_aqua_changes@403,7690,1
Method,Most,vault/hyracks_dev_next@501,26256,11
Method,Most,vault/asterix-fix-issue-109,26267,0
Method,Most,vault/asterix-fix-issue-108,34599,17
Method,Most,vault/asterix_fix_issue_207,39586,13
Method,Most,vault/fullstack_lsm_staging_issue_305,44079,13
Method,All,vault/hyrax-next@10,6830,64
Method,All,vault/hyracks_aqua_changes@403,7685,6
Method,All,vault/hyracks_dev_next@501,26117,150
Method,All,vault/asterix-fix-issue-109,26267,0
Method,All,vault/asterix-fix-issue-108,33569,1047
Method,All,vault/asterix_fix_issue_207,38769,830
Method,All,vault/fullstack_lsm_staging_issue_305,44013,79
File,Most,vault/hyrax-next@10,1969,2
File,Most,vault/hyracks_aqua_changes@403,2111,1
File,Most,vault/hyracks_dev_next@501,5423,6
File,Most,vault/asterix-fix-issue-109,5429,0
File,Most,vault/asterix-fix-issue-108,7073,15
File,Most,vault/asterix_fix_issue_207,8128,10
File,Most,vault/fullstack_lsm_staging_issue_305,8945,10
File,All,vault/hyrax-next@10,1955,16
File,All,vault/hyracks_aqua_changes@403,2109,3
File,All,vault/hyracks_dev_next@501,5402,27
File,All,vault/asterix-fix-issue-109,5429,0
File,All,vault/asterix-fix-issue-108,6764,324
File,All,vault/asterix_fix_issue_207,7926,212
File,All,vault/fullstack_lsm_staging_issue_305,8916,39
