granularity,buggedType,version_name,valid,bug
Method,Most,v_1_0,0,0
Method,Most,v_1_0_1,0,0
Method,Most,v_1_0_4,0,0
Method,Most,v_1_1,0,0
Method,Most,v_1_1_1,0,0
Method,Most,v_1_1_2,0,0
Method,Most,v_1_1_3,59,0
Method,Most,v1_2_1,59,0
Method,Most,v1_2_2,59,0
Method,Most,v1_2_3,59,0
Method,Most,v1_2_4,58,1
Method,Most,v1_2_6,59,0
Method,Most,v1_2_7,1242,3
Method,Most,PREALPHA_1_3_AS_OF_2004_05_12,1358,1
Method,All,v_1_0,0,0
Method,All,v_1_0_1,0,0
Method,All,v_1_0_4,0,0
Method,All,v_1_1,0,0
Method,All,v_1_1_1,0,0
Method,All,v_1_1_2,0,0
Method,All,v_1_1_3,59,0
Method,All,v1_2_1,59,0
Method,All,v1_2_2,59,0
Method,All,v1_2_3,59,0
Method,All,v1_2_4,58,1
Method,All,v1_2_6,59,0
Method,All,v1_2_7,1112,133
Method,All,PREALPHA_1_3_AS_OF_2004_05_12,1351,8
File,Most,v_1_0,0,0
File,Most,v_1_0_1,0,0
File,Most,v_1_0_4,0,0
File,Most,v_1_1,0,0
File,Most,v_1_1_1,0,0
File,Most,v_1_1_2,0,0
File,Most,v_1_1_3,9,0
File,Most,v1_2_1,9,0
File,Most,v1_2_2,9,0
File,Most,v1_2_3,9,0
File,Most,v1_2_4,8,1
File,Most,v1_2_6,9,0
File,Most,v1_2_7,97,3
File,Most,PREALPHA_1_3_AS_OF_2004_05_12,110,1
File,All,v_1_0,0,0
File,All,v_1_0_1,0,0
File,All,v_1_0_4,0,0
File,All,v_1_1,0,0
File,All,v_1_1_1,0,0
File,All,v_1_1_2,0,0
File,All,v_1_1_3,9,0
File,All,v1_2_1,9,0
File,All,v1_2_2,9,0
File,All,v1_2_3,9,0
File,All,v1_2_4,8,1
File,All,v1_2_6,9,0
File,All,v1_2_7,82,18
File,All,PREALPHA_1_3_AS_OF_2004_05_12,107,4
