granularity,buggedType,version_name,valid,bug
Method,Most,CODEC_1_1,403,0
Method,Most,CODEC_1_2,403,0
Method,Most,CODEC_1_3,839,31
Method,Most,commons-codec-1.5,1057,4
Method,Most,CODEC_1_4,1062,0
Method,Most,1_6,1440,27
Method,Most,1.7,1916,1
Method,Most,1.8,1924,1
Method,Most,1.9,2009,1
Method,Most,1.10,2198,40
Method,All,CODEC_1_1,403,0
Method,All,CODEC_1_2,403,0
Method,All,CODEC_1_3,784,86
Method,All,commons-codec-1.5,1053,8
Method,All,CODEC_1_4,1062,0
Method,All,1_6,1449,18
Method,All,1.7,1911,6
Method,All,1.8,1907,18
Method,All,1.9,2010,0
Method,All,1.10,2168,70
File,Most,CODEC_1_1,44,0
File,Most,CODEC_1_2,44,0
File,Most,CODEC_1_3,74,11
File,Most,commons-codec-1.5,196,4
File,Most,CODEC_1_4,201,0
File,Most,1_6,284,4
File,Most,1.7,289,1
File,Most,1.8,290,2
File,Most,1.9,296,2
File,Most,1.10,295,13
File,All,CODEC_1_1,44,0
File,All,CODEC_1_2,44,0
File,All,CODEC_1_3,68,17
File,All,commons-codec-1.5,154,46
File,All,CODEC_1_4,201,0
File,All,1_6,280,8
File,All,1.7,289,1
File,All,1.8,288,4
File,All,1.9,288,10
File,All,1.10,293,15
