granularity,buggedType,version_name,valid,bug
Method,Most,cxf-3.0.0,49345,10
Method,Most,cxf-3.0.1,50586,7
Method,Most,cxf-3.0.2,51467,1
Method,Most,cxf-3.0.3,52490,7
Method,Most,cxf-3.0.4,53400,6
Method,Most,cxf-3.0.5,54186,2
Method,Most,cxf-3.0.6,54872,5
Method,Most,cxf-3.0.7,56129,4
Method,Most,cxf-3.0.8,57042,7
Method,All,cxf-3.0.0,49323,32
Method,All,cxf-3.0.1,50561,32
Method,All,cxf-3.0.2,51455,13
Method,All,cxf-3.0.3,52488,9
Method,All,cxf-3.0.4,53400,6
Method,All,cxf-3.0.5,54180,8
Method,All,cxf-3.0.6,54867,10
Method,All,cxf-3.0.7,56124,9
Method,All,cxf-3.0.8,57048,1
File,Most,cxf-3.0.0,7818,8
File,Most,cxf-3.0.1,8124,5
File,Most,cxf-3.0.2,8307,2
File,Most,cxf-3.0.3,8468,6
File,Most,cxf-3.0.4,8629,5
File,Most,cxf-3.0.5,8757,2
File,Most,cxf-3.0.6,8941,3
File,Most,cxf-3.0.7,9103,4
File,Most,cxf-3.0.8,9219,1
File,All,cxf-3.0.0,7806,20
File,All,cxf-3.0.1,8116,13
File,All,cxf-3.0.2,8300,9
File,All,cxf-3.0.3,8466,8
File,All,cxf-3.0.4,8629,5
File,All,cxf-3.0.5,8757,2
File,All,cxf-3.0.6,8937,7
File,All,cxf-3.0.7,9103,4
File,All,cxf-3.0.8,9219,1
