granularity,buggedType,version_name,valid,bug
Method,Most,1.0.1,19717,146
Method,Most,0.6.0,19863,0
Method,Most,0.7.0,19863,0
Method,Most,0.8.0,19863,0
Method,Most,0.8.1,19863,0
Method,Most,0.8.2,19863,0
Method,Most,1.0.0,19863,0
Method,Most,1.1.0,19863,0
Method,All,1.0.1,16870,2993
Method,All,0.6.0,19863,0
Method,All,0.7.0,19863,0
Method,All,0.8.0,19863,0
Method,All,0.8.1,19863,0
Method,All,0.8.2,19863,0
Method,All,1.0.0,19863,0
Method,All,1.1.0,19863,0
File,Most,1.0.1,3973,112
File,Most,0.6.0,4085,0
File,Most,0.7.0,4085,0
File,Most,0.8.0,4085,0
File,Most,0.8.1,4085,0
File,Most,0.8.2,4085,0
File,Most,1.0.0,4085,0
File,Most,1.1.0,4085,0
File,All,1.0.1,3266,819
File,All,0.6.0,4085,0
File,All,0.7.0,4085,0
File,All,0.8.0,4085,0
File,All,0.8.1,4085,0
File,All,0.8.2,4085,0
File,All,1.0.0,4085,0
File,All,1.1.0,4085,0
