granularity,buggedType,version_name,valid,bug
Method,Most,RELEASE_0_12_0,3558,6
Method,Most,fop-0_17_0,3830,2
Method,Most,fop-0_18_1,3485,5
Method,Most,fop-0_20_0,4183,1
Method,Most,fop-0_20_3,4271,1
Method,Most,fop-0_20_4,5919,3
Method,Most,fop-0_20_5,8707,15
Method,Most,batik-1_6,12187,23
Method,Most,fop-0_93,12765,2
Method,Most,fop-0_94,15290,25
Method,Most,fop-0_95,18551,37
Method,Most,fop-1_0,22632,3
Method,Most,fop-1_1,24600,125
Method,Most,fop-2_0,25041,38
Method,Most,fop-2_1,25991,41
Method,Most,fop-2_2,26288,38
Method,All,RELEASE_0_12_0,3407,157
Method,All,fop-0_17_0,3798,34
Method,All,fop-0_18_1,3470,20
Method,All,fop-0_20_0,4181,3
Method,All,fop-0_20_3,4243,29
Method,All,fop-0_20_4,5920,2
Method,All,fop-0_20_5,8177,545
Method,All,batik-1_6,11858,352
Method,All,fop-0_93,12556,211
Method,All,fop-0_94,12213,3102
Method,All,fop-0_95,18011,577
Method,All,fop-1_0,22613,22
Method,All,fop-1_1,22617,2108
Method,All,fop-2_0,24847,232
Method,All,fop-2_1,25236,796
Method,All,fop-2_2,26137,189
File,Most,RELEASE_0_12_0,468,2
File,Most,fop-0_17_0,490,2
File,Most,fop-0_18_1,399,4
File,Most,fop-0_20_0,465,1
File,Most,fop-0_20_3,485,1
File,Most,fop-0_20_4,634,2
File,Most,fop-0_20_5,873,8
File,Most,batik-1_6,1283,24
File,Most,fop-0_93,1381,2
File,Most,fop-0_94,1581,14
File,Most,fop-0_95,1945,17
File,Most,fop-1_0,2329,12
File,Most,fop-1_1,2386,100
File,Most,fop-2_0,2480,37
File,Most,fop-2_1,2902,33
File,Most,fop-2_2,3087,29
File,All,RELEASE_0_12_0,432,38
File,All,fop-0_17_0,474,18
File,All,fop-0_18_1,396,7
File,All,fop-0_20_0,465,1
File,All,fop-0_20_3,468,18
File,All,fop-0_20_4,635,1
File,All,fop-0_20_5,741,140
File,All,batik-1_6,1211,96
File,All,fop-0_93,1311,72
File,All,fop-0_94,983,612
File,All,fop-0_95,1491,471
File,All,fop-1_0,2327,14
File,All,fop-1_1,1970,516
File,All,fop-2_0,2422,95
File,All,fop-2_1,2578,357
File,All,fop-2_2,2883,233
