granularity,buggedType,version_name,valid,bug
Method,Most,vault-reactor-3.0.0,2975,0
Method,Most,jackrabbit-filevault-3.0.0,3101,19
Method,Most,jackrabbit-filevault-3.1.0,3120,1
Method,Most,jackrabbit-filevault-3.1.2,3121,1
Method,Most,jackrabbit-filevault-3.1.4,2962,0
Method,Most,jackrabbit-filevault-3.1.6,2963,4
Method,Most,jackrabbit-filevault-3.1.8,2990,8
Method,Most,jackrabbit-filevault-3.1.10,2998,2
Method,Most,jackrabbit-filevault-3.1.12,3015,3
Method,Most,jackrabbit-filevault-3.1.14,3022,4
Method,Most,jackrabbit-filevault-3.1.16,3025,3
Method,Most,jackrabbit-filevault-3.1.18,3033,2
Method,Most,jackrabbit-filevault-3.1.20,3035,0
Method,Most,jackrabbit-filevault-3.1.22,3041,4
Method,Most,jackrabbit-filevault-3.1.24,3051,6
Method,Most,jackrabbit-filevault-3.1.26,3080,17
Method,Most,jackrabbit-filevault-3.1.28,3101,8
Method,Most,jackrabbit-filevault-3.1.30,3170,19
Method,Most,jackrabbit-filevault-3.1.34,3188,3
Method,Most,jackrabbit-filevault-3.1.36,3191,1
Method,Most,jackrabbit-filevault-3.1.38,3254,12
Method,Most,3.1.40,3266,0
Method,Most,jackrabbit-filevault-3.1.40,3430,11
Method,Most,jackrabbit-filevault-3.1.42,3484,7
Method,Most,jackrabbit-filevault-3.1.44,3653,13
Method,Most,jackrabbit-filevault-3.2.0,3681,5
Method,Most,jackrabbit-filevault-3.2.2,3686,0
Method,Most,3.2.4,3686,0
Method,All,vault-reactor-3.0.0,2975,0
Method,All,jackrabbit-filevault-3.0.0,2927,193
Method,All,jackrabbit-filevault-3.1.0,3119,2
Method,All,jackrabbit-filevault-3.1.2,3121,1
Method,All,jackrabbit-filevault-3.1.4,2962,0
Method,All,jackrabbit-filevault-3.1.6,2960,7
Method,All,jackrabbit-filevault-3.1.8,2977,21
Method,All,jackrabbit-filevault-3.1.10,2998,2
Method,All,jackrabbit-filevault-3.1.12,3010,8
Method,All,jackrabbit-filevault-3.1.14,3019,7
Method,All,jackrabbit-filevault-3.1.16,3025,3
Method,All,jackrabbit-filevault-3.1.18,3033,2
Method,All,jackrabbit-filevault-3.1.20,3035,0
Method,All,jackrabbit-filevault-3.1.22,3030,15
Method,All,jackrabbit-filevault-3.1.24,3043,14
Method,All,jackrabbit-filevault-3.1.26,3046,51
Method,All,jackrabbit-filevault-3.1.28,3091,18
Method,All,jackrabbit-filevault-3.1.30,3031,158
Method,All,jackrabbit-filevault-3.1.34,3173,18
Method,All,jackrabbit-filevault-3.1.36,3190,2
Method,All,jackrabbit-filevault-3.1.38,3182,84
Method,All,3.1.40,3266,0
Method,All,jackrabbit-filevault-3.1.40,3274,167
Method,All,jackrabbit-filevault-3.1.42,3433,58
Method,All,jackrabbit-filevault-3.1.44,3518,148
Method,All,jackrabbit-filevault-3.2.0,3649,37
Method,All,jackrabbit-filevault-3.2.2,3686,0
Method,All,3.2.4,3686,0
File,Most,vault-reactor-3.0.0,450,0
File,Most,jackrabbit-filevault-3.0.0,456,11
File,Most,jackrabbit-filevault-3.1.0,466,1
File,Most,jackrabbit-filevault-3.1.2,466,1
File,Most,jackrabbit-filevault-3.1.4,452,0
File,Most,jackrabbit-filevault-3.1.6,452,3
File,Most,jackrabbit-filevault-3.1.8,452,5
File,Most,jackrabbit-filevault-3.1.10,456,1
File,Most,jackrabbit-filevault-3.1.12,456,2
File,Most,jackrabbit-filevault-3.1.14,457,3
File,Most,jackrabbit-filevault-3.1.16,457,3
File,Most,jackrabbit-filevault-3.1.18,459,2
File,Most,jackrabbit-filevault-3.1.20,461,0
File,Most,jackrabbit-filevault-3.1.22,459,3
File,Most,jackrabbit-filevault-3.1.24,459,5
File,Most,jackrabbit-filevault-3.1.26,458,8
File,Most,jackrabbit-filevault-3.1.28,463,3
File,Most,jackrabbit-filevault-3.1.30,475,14
File,Most,jackrabbit-filevault-3.1.34,487,3
File,Most,jackrabbit-filevault-3.1.36,489,1
File,Most,jackrabbit-filevault-3.1.38,487,11
File,Most,3.1.40,498,0
File,Most,jackrabbit-filevault-3.1.40,510,12
File,Most,jackrabbit-filevault-3.1.42,520,7
File,Most,jackrabbit-filevault-3.1.44,538,9
File,Most,jackrabbit-filevault-3.2.0,546,3
File,Most,jackrabbit-filevault-3.2.2,549,0
File,Most,3.2.4,549,0
File,All,vault-reactor-3.0.0,450,0
File,All,jackrabbit-filevault-3.0.0,425,42
File,All,jackrabbit-filevault-3.1.0,465,2
File,All,jackrabbit-filevault-3.1.2,466,1
File,All,jackrabbit-filevault-3.1.4,452,0
File,All,jackrabbit-filevault-3.1.6,445,10
File,All,jackrabbit-filevault-3.1.8,444,13
File,All,jackrabbit-filevault-3.1.10,456,1
File,All,jackrabbit-filevault-3.1.12,455,3
File,All,jackrabbit-filevault-3.1.14,456,4
File,All,jackrabbit-filevault-3.1.16,457,3
File,All,jackrabbit-filevault-3.1.18,458,3
File,All,jackrabbit-filevault-3.1.20,461,0
File,All,jackrabbit-filevault-3.1.22,451,11
File,All,jackrabbit-filevault-3.1.24,457,7
File,All,jackrabbit-filevault-3.1.26,447,19
File,All,jackrabbit-filevault-3.1.28,461,5
File,All,jackrabbit-filevault-3.1.30,430,59
File,All,jackrabbit-filevault-3.1.34,487,3
File,All,jackrabbit-filevault-3.1.36,489,1
File,All,jackrabbit-filevault-3.1.38,454,44
File,All,3.1.40,498,0
File,All,jackrabbit-filevault-3.1.40,469,53
File,All,jackrabbit-filevault-3.1.42,505,22
File,All,jackrabbit-filevault-3.1.44,510,37
File,All,jackrabbit-filevault-3.2.0,540,9
File,All,jackrabbit-filevault-3.2.2,549,0
File,All,3.2.4,549,0
