granularity,buggedType,version_name,valid,bug
Method,Most,COMMONS_JEXL-1_0,699,0
Method,Most,COMMONS_JEXL-1_1,1869,68
Method,Most,commons-jexl-2.1,2292,1
Method,Most,COMMONS_JEXL_2_0_1,2445,2
Method,Most,COMMONS_JEXL_2_1,2545,2
Method,Most,COMMONS_JEXL_2_1_1,2679,4
Method,Most,COMMONS_JEXL_2_0,3123,128
Method,Most,COMMONS_JEXL_3_0,3404,29
Method,All,COMMONS_JEXL-1_0,699,0
Method,All,COMMONS_JEXL-1_1,1244,693
Method,All,commons-jexl-2.1,1729,564
Method,All,COMMONS_JEXL_2_0_1,2139,308
Method,All,COMMONS_JEXL_2_1,2389,158
Method,All,COMMONS_JEXL_2_1_1,2506,177
Method,All,COMMONS_JEXL_2_0,2997,254
Method,All,COMMONS_JEXL_3_0,3301,132
File,Most,COMMONS_JEXL-1_0,103,0
File,Most,COMMONS_JEXL-1_1,250,30
File,Most,commons-jexl-2.1,283,0
File,Most,COMMONS_JEXL_2_0_1,297,2
File,Most,COMMONS_JEXL_2_1,301,1
File,Most,COMMONS_JEXL_2_1_1,308,4
File,Most,COMMONS_JEXL_2_0,326,8
File,Most,COMMONS_JEXL_3_0,329,13
File,All,COMMONS_JEXL-1_0,103,0
File,All,COMMONS_JEXL-1_1,148,132
File,All,commons-jexl-2.1,213,70
File,All,COMMONS_JEXL_2_0_1,249,50
File,All,COMMONS_JEXL_2_1,274,28
File,All,COMMONS_JEXL_2_1_1,272,40
File,All,COMMONS_JEXL_2_0,271,63
File,All,COMMONS_JEXL_3_0,314,28
