granularity,buggedType,version_name,valid,bug
Method,Most,v0.9.4,2184,1
Method,Most,v0.9.5,2423,7
Method,Most,v1.0.0,2544,25
Method,Most,v1.1.0,2580,3
Method,Most,v1.1.1,2608,10
Method,Most,v1.1.2,2618,4
Method,Most,v1.1.3,2653,3
Method,Most,v1.1.4,2690,8
Method,Most,v1.1.5,2747,9
Method,Most,v1.1.6,2967,6
Method,Most,v1.0.1,3025,11
Method,Most,v1.1.9,3038,1
Method,All,v0.9.4,2181,4
Method,All,v0.9.5,2368,62
Method,All,v1.0.0,2434,135
Method,All,v1.1.0,2571,12
Method,All,v1.1.1,2579,39
Method,All,v1.1.2,2615,7
Method,All,v1.1.3,2621,35
Method,All,v1.1.4,2642,56
Method,All,v1.1.5,2728,28
Method,All,v1.1.6,2781,192
Method,All,v1.0.1,2990,46
Method,All,v1.1.9,3038,1
File,Most,v0.9.4,315,1
File,Most,v0.9.5,326,5
File,Most,v1.0.0,309,12
File,Most,v1.1.0,319,3
File,Most,v1.1.1,317,8
File,Most,v1.1.2,321,4
File,Most,v1.1.3,327,2
File,Most,v1.1.4,328,4
File,Most,v1.1.5,335,5
File,Most,v1.1.6,366,6
File,Most,v1.0.1,368,7
File,Most,v1.1.9,375,1
File,All,v0.9.4,314,2
File,All,v0.9.5,311,20
File,All,v1.0.0,289,32
File,All,v1.1.0,315,7
File,All,v1.1.1,309,16
File,All,v1.1.2,319,6
File,All,v1.1.3,318,11
File,All,v1.1.4,315,17
File,All,v1.1.5,332,8
File,All,v1.1.6,336,36
File,All,v1.0.1,361,14
File,All,v1.1.9,375,1
