granularity,buggedType,version_name,valid,bug
Method,Most,0.9.0.0,5917,112
Method,Most,0.9.0.1,7150,171
Method,Most,0.10.0.0,7757,108
Method,Most,0.10.0.1,13941,525
Method,Most,0.11.0.0,15874,105
Method,Most,0.11.0.1,17112,174
Method,Most,1.0.0,17531,10
Method,Most,0.11.0.2,18924,140
Method,Most,1.0.1,21246,93
Method,Most,1.0.2,21399,12
Method,Most,2.0.0,22414,64
Method,All,0.9.0.0,5176,853
Method,All,0.9.0.1,6094,1227
Method,All,0.10.0.0,7556,309
Method,All,0.10.0.1,10619,3847
Method,All,0.11.0.0,15034,945
Method,All,0.11.0.1,16366,920
Method,All,1.0.0,17150,391
Method,All,0.11.0.2,18005,1059
Method,All,1.0.1,20207,1132
Method,All,1.0.2,21312,99
Method,All,2.0.0,21978,500
File,Most,0.9.0.0,963,71
File,Most,0.9.0.1,1071,98
File,Most,0.10.0.0,1159,61
File,Most,0.10.0.1,1525,217
File,Most,0.11.0.0,1819,52
File,Most,0.11.0.1,1920,68
File,Most,1.0.0,2014,13
File,Most,0.11.0.2,2059,81
File,Most,1.0.1,2368,57
File,Most,1.0.2,2414,10
File,Most,2.0.0,2456,45
File,All,0.9.0.0,785,249
File,All,0.9.0.1,860,309
File,All,0.10.0.0,1113,107
File,All,0.10.0.1,825,917
File,All,0.11.0.0,1685,186
File,All,0.11.0.1,1734,254
File,All,1.0.0,1930,97
File,All,0.11.0.2,1873,267
File,All,1.0.1,2093,332
File,All,1.0.2,2385,39
File,All,2.0.0,2316,185
