granularity,buggedType,version_name,valid,bug
Method,Most,maven-antrun-plugin-1.0,8,2
Method,Most,maven-antrun-plugin-1.1,9,2
Method,Most,maven-antrun-plugin-1.2,6,0
Method,Most,maven-antrun-plugin-1.3,42,0
Method,Most,maven-antrun-plugin-1.4,49,0
Method,Most,maven-antrun-plugin-1.5,51,0
Method,Most,maven-antrun-plugin-1.6,49,3
Method,Most,maven-antrun-plugin-1.7,54,0
Method,All,maven-antrun-plugin-1.0,6,4
Method,All,maven-antrun-plugin-1.1,9,2
Method,All,maven-antrun-plugin-1.2,6,0
Method,All,maven-antrun-plugin-1.3,42,0
Method,All,maven-antrun-plugin-1.4,49,0
Method,All,maven-antrun-plugin-1.5,51,0
Method,All,maven-antrun-plugin-1.6,48,4
Method,All,maven-antrun-plugin-1.7,54,0
File,Most,maven-antrun-plugin-1.0,4,2
File,Most,maven-antrun-plugin-1.1,4,1
File,Most,maven-antrun-plugin-1.2,4,0
File,Most,maven-antrun-plugin-1.3,11,0
File,Most,maven-antrun-plugin-1.4,11,0
File,Most,maven-antrun-plugin-1.5,11,0
File,Most,maven-antrun-plugin-1.6,10,1
File,Most,maven-antrun-plugin-1.7,13,0
File,All,maven-antrun-plugin-1.0,2,4
File,All,maven-antrun-plugin-1.1,3,2
File,All,maven-antrun-plugin-1.2,4,0
File,All,maven-antrun-plugin-1.3,11,0
File,All,maven-antrun-plugin-1.4,11,0
File,All,maven-antrun-plugin-1.5,11,0
File,All,maven-antrun-plugin-1.6,10,1
File,All,maven-antrun-plugin-1.7,13,0
