granularity,buggedType,version_name,valid,bug
Method,Most,maven-indexer-3.1.0,907,2
Method,Most,maven-indexer-4.0.0,960,4
Method,Most,maven-indexer-4.1.0,971,4
Method,Most,maven-indexer-4.1.1,1023,3
Method,Most,maven-indexer-4.1.2,1030,1
Method,Most,maven-indexer-4.1.3,1046,0
Method,Most,maven-indexer-5.0.0,1055,10
Method,Most,maven-indexer-5.1.0,1072,3
Method,Most,maven-indexer-5.1.1,1435,15
Method,All,maven-indexer-3.1.0,800,109
Method,All,maven-indexer-4.0.0,918,46
Method,All,maven-indexer-4.1.0,967,8
Method,All,maven-indexer-4.1.1,1010,16
Method,All,maven-indexer-4.1.2,1026,5
Method,All,maven-indexer-4.1.3,1046,0
Method,All,maven-indexer-5.0.0,1013,52
Method,All,maven-indexer-5.1.0,1071,4
Method,All,maven-indexer-5.1.1,1153,297
File,Most,maven-indexer-3.1.0,179,2
File,Most,maven-indexer-4.0.0,185,3
File,Most,maven-indexer-4.1.0,190,4
File,Most,maven-indexer-4.1.1,202,3
File,Most,maven-indexer-4.1.2,204,2
File,Most,maven-indexer-4.1.3,209,0
File,Most,maven-indexer-5.0.0,208,5
File,Most,maven-indexer-5.1.0,212,2
File,Most,maven-indexer-5.1.1,247,11
File,All,maven-indexer-3.1.0,163,18
File,All,maven-indexer-4.0.0,172,16
File,All,maven-indexer-4.1.0,190,4
File,All,maven-indexer-4.1.1,194,11
File,All,maven-indexer-4.1.2,203,3
File,All,maven-indexer-4.1.3,209,0
File,All,maven-indexer-5.0.0,193,20
File,All,maven-indexer-5.1.0,212,2
File,All,maven-indexer-5.1.1,196,62
