granularity,buggedType,version_name,valid,bug
Method,Most,maven-2.2.0,9177,6
Method,Most,maven-2.2.1,11472,30
Method,Most,maven-3.0,11546,2
Method,Most,maven-3.0.1,11635,4
Method,Most,maven-3.0.2,11673,3
Method,Most,maven-3.0.3,11767,6
Method,Most,maven-3.0.4,11892,87
Method,Most,maven-3.0.5,12006,1
Method,Most,maven-3.1.0,12006,2
Method,Most,maven-3.1.1,11980,9
Method,Most,maven-3.2.0,11991,1
Method,Most,maven-3.2.1,12015,13
Method,Most,maven-3.2.2,12087,7
Method,Most,maven-3.2.3,12183,6
Method,Most,maven-3.2.4,12190,1
Method,Most,maven-3.2.5,12430,13
Method,Most,maven-3.3.0,12443,0
Method,Most,maven-3.3.1,12442,3
Method,Most,maven-3.3.2,12445,0
Method,Most,maven-3.3.3,12503,9
Method,Most,maven-3.3.4,12517,1
Method,Most,maven-3.3.5,12517,1
Method,Most,maven-3.3.6,12550,4
Method,Most,maven-3.3.7,12555,0
Method,Most,maven-3.3.8,12554,1
Method,Most,maven-3.3.9,12704,17
Method,Most,maven-3.5.0,12737,5
Method,Most,maven-3.5.1,12732,15
Method,Most,maven-3.5.2,12820,2
Method,Most,maven-3.5.3,12824,6
Method,Most,maven-3.5.4,12845,21
Method,All,maven-2.2.0,9119,64
Method,All,maven-2.2.1,11358,144
Method,All,maven-3.0,11543,5
Method,All,maven-3.0.1,11626,13
Method,All,maven-3.0.2,11660,16
Method,All,maven-3.0.3,11766,7
Method,All,maven-3.0.4,11880,99
Method,All,maven-3.0.5,11996,11
Method,All,maven-3.1.0,11997,11
Method,All,maven-3.1.1,11872,117
Method,All,maven-3.2.0,11992,0
Method,All,maven-3.2.1,11987,41
Method,All,maven-3.2.2,11965,129
Method,All,maven-3.2.3,12171,18
Method,All,maven-3.2.4,12187,4
Method,All,maven-3.2.5,12275,168
Method,All,maven-3.3.0,12443,0
Method,All,maven-3.3.1,12436,9
Method,All,maven-3.3.2,12445,0
Method,All,maven-3.3.3,12431,81
Method,All,maven-3.3.4,12508,10
Method,All,maven-3.3.5,12514,4
Method,All,maven-3.3.6,12540,14
Method,All,maven-3.3.7,12555,0
Method,All,maven-3.3.8,12554,1
Method,All,maven-3.3.9,12611,110
Method,All,maven-3.5.0,12720,22
Method,All,maven-3.5.1,12742,5
Method,All,maven-3.5.2,12756,66
Method,All,maven-3.5.3,12823,7
Method,All,maven-3.5.4,12845,21
File,Most,maven-2.2.0,1434,3
File,Most,maven-2.2.1,1771,11
File,Most,maven-3.0,1787,2
File,Most,maven-3.0.1,1802,2
File,Most,maven-3.0.2,1803,3
File,Most,maven-3.0.3,1825,4
File,Most,maven-3.0.4,1853,8
File,Most,maven-3.0.5,1871,1
File,Most,maven-3.1.0,1871,2
File,Most,maven-3.1.1,1872,9
File,Most,maven-3.2.0,1881,0
File,Most,maven-3.2.1,1873,13
File,Most,maven-3.2.2,1882,7
File,Most,maven-3.2.3,1937,4
File,Most,maven-3.2.4,1940,1
File,Most,maven-3.2.5,1983,9
File,Most,maven-3.3.0,1991,1
File,Most,maven-3.3.1,1989,3
File,Most,maven-3.3.2,1992,0
File,Most,maven-3.3.3,1990,4
File,Most,maven-3.3.4,1994,0
File,Most,maven-3.3.5,1993,1
File,Most,maven-3.3.6,1997,3
File,Most,maven-3.3.7,2000,0
File,Most,maven-3.3.8,1999,1
File,Most,maven-3.3.9,2007,9
File,Most,maven-3.5.0,2015,5
File,Most,maven-3.5.1,2019,2
File,Most,maven-3.5.2,2036,2
File,Most,maven-3.5.3,2035,4
File,Most,maven-3.5.4,2037,3
File,All,maven-2.2.0,1405,32
File,All,maven-2.2.1,1754,28
File,All,maven-3.0,1785,4
File,All,maven-3.0.1,1793,11
File,All,maven-3.0.2,1792,14
File,All,maven-3.0.3,1825,4
File,All,maven-3.0.4,1822,39
File,All,maven-3.0.5,1864,8
File,All,maven-3.1.0,1870,3
File,All,maven-3.1.1,1832,49
File,All,maven-3.2.0,1881,0
File,All,maven-3.2.1,1857,29
File,All,maven-3.2.2,1859,30
File,All,maven-3.2.3,1929,12
File,All,maven-3.2.4,1939,2
File,All,maven-3.2.5,1937,55
File,All,maven-3.3.0,1991,1
File,All,maven-3.3.1,1986,6
File,All,maven-3.3.2,1992,0
File,All,maven-3.3.3,1963,31
File,All,maven-3.3.4,1990,4
File,All,maven-3.3.5,1993,1
File,All,maven-3.3.6,1996,4
File,All,maven-3.3.7,2000,0
File,All,maven-3.3.8,1999,1
File,All,maven-3.3.9,1870,146
File,All,maven-3.5.0,2009,11
File,All,maven-3.5.1,2019,2
File,All,maven-3.5.2,1866,172
File,All,maven-3.5.3,2035,4
File,All,maven-3.5.4,2034,6
