granularity,buggedType,version_name,valid,bug
Method,Most,maven-help-plugin-2.0,44,0
Method,Most,maven-help-plugin-2.0.1,51,1
Method,Most,maven-help-plugin-2.0.2,179,4
Method,Most,maven-help-plugin-3.0.0,184,0
Method,All,maven-help-plugin-2.0,44,0
Method,All,maven-help-plugin-2.0.1,51,1
Method,All,maven-help-plugin-2.0.2,137,46
Method,All,maven-help-plugin-3.0.0,184,0
File,Most,maven-help-plugin-2.0,8,0
File,Most,maven-help-plugin-2.0.1,7,1
File,Most,maven-help-plugin-2.0.2,15,3
File,Most,maven-help-plugin-3.0.0,18,0
File,All,maven-help-plugin-2.0,8,0
File,All,maven-help-plugin-2.0.1,7,1
File,All,maven-help-plugin-2.0.2,10,8
File,All,maven-help-plugin-3.0.0,18,0
