granularity,buggedType,version_name,valid,bug
Method,Most,maven-rar-plugin-2.0,4,0
Method,Most,maven-rar-plugin-2.1,34,2
Method,Most,maven-rar-plugin-2.2,47,1
Method,Most,maven-rar-plugin-2.3,46,3
Method,All,maven-rar-plugin-2.0,4,0
Method,All,maven-rar-plugin-2.1,34,2
Method,All,maven-rar-plugin-2.2,45,3
Method,All,maven-rar-plugin-2.3,47,2
File,Most,maven-rar-plugin-2.0,1,0
File,Most,maven-rar-plugin-2.1,5,1
File,Most,maven-rar-plugin-2.2,7,1
File,Most,maven-rar-plugin-2.3,7,1
File,All,maven-rar-plugin-2.0,1,0
File,All,maven-rar-plugin-2.1,5,1
File,All,maven-rar-plugin-2.2,7,1
File,All,maven-rar-plugin-2.3,7,1
