granularity,buggedType,version_name,valid,bug
Method,Most,release-0.7,3494,0
Method,Most,release-0.7.1,3494,0
Method,Most,release-0.7.2,3494,0
Method,Most,release-0.8,3494,0
Method,Most,release-0.8.1,3494,0
Method,Most,release-0.9,3494,0
Method,Most,release-1.0,3494,0
Method,Most,1.1,3494,0
Method,Most,relase-1.1,3494,0
Method,Most,release-1.1,2516,16
Method,Most,1.2,2535,14
Method,Most,release-1.2,2594,37
Method,Most,release-1.3,2624,30
Method,Most,release-1.4,2652,29
Method,Most,release-1.5,2682,4
Method,Most,release-2.0,2690,16
Method,Most,release-1.5.1,2702,5
Method,Most,release-2.1,2701,7
Method,Most,release-1.6,2741,14
Method,Most,release-2.2,2761,6
Method,Most,release-1.7,2770,1
Method,Most,release-2.2.1,2800,36
Method,Most,release-1.8,2850,31
Method,Most,release-1.9,2884,12
Method,Most,release-2.3,3225,34
Method,Most,release-1.10,3488,31
Method,Most,release-2.3.1,3921,54
Method,Most,release-1.12,4058,23
Method,Most,release-1.13,4140,37
Method,Most,release-1.14,4427,68
Method,All,release-0.7,3494,0
Method,All,release-0.7.1,3494,0
Method,All,release-0.7.2,3494,0
Method,All,release-0.8,3494,0
Method,All,release-0.8.1,3494,0
Method,All,release-0.9,3494,0
Method,All,release-1.0,3494,0
Method,All,1.1,3494,0
Method,All,relase-1.1,3494,0
Method,All,release-1.1,2079,453
Method,All,1.2,2468,81
Method,All,release-1.2,2362,269
Method,All,release-1.3,2537,117
Method,All,release-1.4,2560,121
Method,All,release-1.5,2674,12
Method,All,release-2.0,2650,56
Method,All,release-1.5.1,2698,9
Method,All,release-2.1,2701,7
Method,All,release-1.6,2570,185
Method,All,release-2.2,2746,21
Method,All,release-1.7,2771,0
Method,All,release-2.2.1,2698,138
Method,All,release-1.8,2826,55
Method,All,release-1.9,2874,22
Method,All,release-2.3,2334,925
Method,All,release-1.10,3170,349
Method,All,release-2.3.1,3412,563
Method,All,release-1.12,3845,236
Method,All,release-1.13,3970,207
Method,All,release-1.14,4010,485
File,Most,release-0.7,519,0
File,Most,release-0.7.1,519,0
File,Most,release-0.7.2,519,0
File,Most,release-0.8,519,0
File,Most,release-0.8.1,519,0
File,Most,release-0.9,519,0
File,Most,release-1.0,519,0
File,Most,1.1,519,0
File,Most,relase-1.1,519,0
File,Most,release-1.1,361,12
File,Most,1.2,367,10
File,Most,release-1.2,363,29
File,Most,release-1.3,376,20
File,Most,release-1.4,383,19
File,Most,release-1.5,400,2
File,Most,release-2.0,395,10
File,Most,release-1.5.1,400,4
File,Most,release-2.1,399,6
File,Most,release-1.6,406,11
File,Most,release-2.2,414,5
File,Most,release-1.7,420,0
File,Most,release-2.2.1,404,22
File,Most,release-1.8,456,15
File,Most,release-1.9,463,11
File,Most,release-2.3,495,23
File,Most,release-1.10,537,23
File,Most,release-2.3.1,608,45
File,Most,release-1.12,649,20
File,Most,release-1.13,652,32
File,Most,release-1.14,676,37
File,All,release-0.7,519,0
File,All,release-0.7.1,519,0
File,All,release-0.7.2,519,0
File,All,release-0.8,519,0
File,All,release-0.8.1,519,0
File,All,release-0.9,519,0
File,All,release-1.0,519,0
File,All,1.1,519,0
File,All,relase-1.1,519,0
File,All,release-1.1,269,104
File,All,1.2,290,87
File,All,release-1.2,295,97
File,All,release-1.3,313,83
File,All,release-1.4,353,49
File,All,release-1.5,398,4
File,All,release-2.0,382,23
File,All,release-1.5.1,394,10
File,All,release-2.1,399,6
File,All,release-1.6,351,66
File,All,release-2.2,409,10
File,All,release-1.7,420,0
File,All,release-2.2.1,381,45
File,All,release-1.8,414,57
File,All,release-1.9,461,13
File,All,release-2.3,260,258
File,All,release-1.10,480,80
File,All,release-2.3.1,511,142
File,All,release-1.12,482,187
File,All,release-1.13,563,121
File,All,release-1.14,513,200
