granularity,buggedType,version_name,valid,bug
Method,Most,3.1.2,6186,0
Method,Most,3.1.3,6186,0
Method,Most,3.2,6186,0
Method,Most,release-3.1.3,6237,36
Method,Most,release-3.3.0,6305,31
Method,Most,release-3.3.1,6840,35
Method,Most,release-3.3.2,8518,121
Method,Most,release-4.0.0,8958,104
Method,Most,release-4.0.1,9639,132
Method,Most,release-4.1.0,10175,86
Method,Most,release-4.2.0,10709,196
Method,Most,release-4.3.0,11958,143
Method,Most,release-4.3.1,12230,13
Method,All,3.1.2,6186,0
Method,All,3.1.3,6186,0
Method,All,3.2,6186,0
Method,All,release-3.1.3,6168,105
Method,All,release-3.3.0,6146,190
Method,All,release-3.3.1,6713,162
Method,All,release-3.3.2,7123,1516
Method,All,release-4.0.0,8258,804
Method,All,release-4.0.1,8817,954
Method,All,release-4.1.0,9662,599
Method,All,release-4.2.0,9999,906
Method,All,release-4.3.0,10807,1294
Method,All,release-4.3.1,12162,81
File,Most,3.1.2,740,0
File,Most,3.1.3,740,0
File,Most,3.2,740,0
File,Most,release-3.1.3,686,61
File,Most,release-3.3.0,732,19
File,Most,release-3.3.1,793,22
File,Most,release-3.3.2,922,59
File,Most,release-4.0.0,947,53
File,Most,release-4.0.1,958,93
File,Most,release-4.1.0,1021,58
File,Most,release-4.2.0,1012,94
File,Most,release-4.3.0,1125,79
File,Most,release-4.3.1,1201,10
File,All,3.1.2,740,0
File,All,3.1.3,740,0
File,All,3.2,740,0
File,All,release-3.1.3,671,76
File,All,release-3.3.0,620,131
File,All,release-3.3.1,762,53
File,All,release-3.3.2,719,262
File,All,release-4.0.0,803,197
File,All,release-4.0.1,450,601
File,All,release-4.1.0,912,167
File,All,release-4.2.0,793,313
File,All,release-4.3.0,884,320
File,All,release-4.3.1,1142,69
