granularity,buggedType,version_name,valid,bug
Method,Most,v0_0,28637,0
Method,Most,v1_0,28637,0
Method,Most,v2_0_0,28637,0
Method,Most,v8_0,29179,39
Method,Most,openejb-3.0,32411,43
Method,Most,openejb-3.0.1,37513,80
Method,Most,openejb-3.0.2,37593,0
Method,Most,openejb-3.0.3,41994,83
Method,Most,openejb-3.0.4,46718,35
Method,All,v0_0,28637,0
Method,All,v1_0,28637,0
Method,All,v2_0_0,28637,0
Method,All,v8_0,28119,1099
Method,All,openejb-3.0,32193,261
Method,All,openejb-3.0.1,36027,1566
Method,All,openejb-3.0.2,37593,0
Method,All,openejb-3.0.3,41524,553
Method,All,openejb-3.0.4,46337,416
File,Most,v0_0,4526,0
File,Most,v1_0,4526,0
File,Most,v2_0_0,4526,0
File,Most,v8_0,4209,34
File,Most,openejb-3.0,4708,28
File,Most,openejb-3.0.1,5183,67
File,Most,openejb-3.0.2,5250,0
File,Most,openejb-3.0.3,6023,61
File,Most,openejb-3.0.4,7823,28
File,All,v0_0,4526,0
File,All,v1_0,4526,0
File,All,v2_0_0,4526,0
File,All,v8_0,4042,201
File,All,openejb-3.0,4654,82
File,All,openejb-3.0.1,4802,448
File,All,openejb-3.0.2,5250,0
File,All,openejb-3.0.3,5922,162
File,All,openejb-3.0.4,7692,159
