granularity,buggedType,version_name,valid,bug
Method,Most,opennlp-1.6.0,5109,82
Method,Most,opennlp-1.7.0,5384,37
Method,Most,opennlp-1.7.1,5401,25
Method,Most,opennlp-1.7.2,5707,65
Method,Most,opennlp-1.8.0,5942,27
Method,Most,opennlp-1.8.1,5981,13
Method,Most,opennlp-1.8.2,6036,9
Method,Most,opennlp-1.8.3,6079,11
Method,All,opennlp-1.6.0,4385,806
Method,All,opennlp-1.7.0,4509,912
Method,All,opennlp-1.7.1,5138,288
Method,All,opennlp-1.7.2,5438,334
Method,All,opennlp-1.8.0,5725,244
Method,All,opennlp-1.8.1,5963,31
Method,All,opennlp-1.8.2,6003,42
Method,All,opennlp-1.8.3,6033,57
File,Most,opennlp-1.6.0,1202,73
File,Most,opennlp-1.7.0,1255,26
File,Most,opennlp-1.7.1,1252,15
File,Most,opennlp-1.7.2,1263,59
File,Most,opennlp-1.8.0,1364,20
File,Most,opennlp-1.8.1,1379,9
File,Most,opennlp-1.8.2,1386,14
File,Most,opennlp-1.8.3,1398,10
File,All,opennlp-1.6.0,904,371
File,All,opennlp-1.7.0,835,446
File,All,opennlp-1.7.1,1105,162
File,All,opennlp-1.7.2,1078,244
File,All,opennlp-1.8.0,1265,119
File,All,opennlp-1.8.1,1372,16
File,All,opennlp-1.8.2,1353,47
File,All,opennlp-1.8.3,1385,23
