granularity,buggedType,version_name,valid,bug
Method,Most,2.0.0,19678,0
Method,Most,2.0.1,19678,0
Method,Most,2.0.2,19678,0
Method,Most,2.0.3,19678,0
Method,Most,2.0.4,19678,0
Method,Most,2.0.5,19678,0
Method,Most,2.0.6,19678,0
Method,Most,2.0.7,19678,0
Method,Most,2.0.8,19678,0
Method,Most,2.0.9,19678,0
Method,All,2.0.0,19678,0
Method,All,2.0.1,19678,0
Method,All,2.0.2,19678,0
Method,All,2.0.3,19678,0
Method,All,2.0.4,19678,0
Method,All,2.0.5,19678,0
Method,All,2.0.6,19678,0
Method,All,2.0.7,19678,0
Method,All,2.0.8,19678,0
Method,All,2.0.9,19678,0
File,Most,2.0.0,2613,0
File,Most,2.0.1,2613,0
File,Most,2.0.2,2613,0
File,Most,2.0.3,2613,0
File,Most,2.0.4,2613,0
File,Most,2.0.5,2613,0
File,Most,2.0.6,2613,0
File,Most,2.0.7,2613,0
File,Most,2.0.8,2613,0
File,Most,2.0.9,2613,0
File,All,2.0.0,2613,0
File,All,2.0.1,2613,0
File,All,2.0.2,2613,0
File,All,2.0.3,2613,0
File,All,2.0.4,2613,0
File,All,2.0.5,2613,0
File,All,2.0.6,2613,0
File,All,2.0.7,2613,0
File,All,2.0.8,2613,0
File,All,2.0.9,2613,0
