granularity,buggedType,version_name,valid,bug
Method,Most,ranger-0.6.2,13056,48
Method,Most,release-0.6.3,13207,26
Method,Most,ranger-0.7.0,13387,108
Method,Most,release-ranger-0.7.1,14150,123
Method,Most,release-ranger-1.0.0,14637,86
Method,Most,release-ranger-1.1.0,15011,28
Method,All,ranger-0.6.2,12622,482
Method,All,release-0.6.3,12984,249
Method,All,ranger-0.7.0,13171,324
Method,All,release-ranger-0.7.1,13238,1035
Method,All,release-ranger-1.0.0,14113,610
Method,All,release-ranger-1.1.0,14866,173
File,Most,ranger-0.6.2,1379,32
File,Most,release-0.6.3,1399,18
File,Most,ranger-0.7.0,1377,52
File,Most,release-ranger-0.7.1,1398,76
File,Most,release-ranger-1.0.0,1455,47
File,Most,release-ranger-1.1.0,1496,21
File,All,ranger-0.6.2,1287,124
File,All,release-0.6.3,1296,121
File,All,ranger-0.7.0,1289,140
File,All,release-ranger-0.7.1,1254,220
File,All,release-ranger-1.0.0,1307,195
File,All,release-ranger-1.1.0,1463,54
