granularity,buggedType,version_name,valid,bug
Method,Most,release-1.0.0,625,3
Method,Most,release-1.1.0,3538,157
Method,Most,release-1.4.0,7077,136
Method,Most,release-1.5.1,9705,205
Method,Most,release-1.7.0,11051,204
Method,Most,release-1.8.0,11596,104
Method,Most,release-2.0.0,11694,8
Method,Most,release-1.7.1,11585,131
Method,Most,release-2.0.1,11801,21
Method,All,release-1.0.0,603,25
Method,All,release-1.1.0,1658,2037
Method,All,release-1.4.0,4090,3123
Method,All,release-1.5.1,7617,2293
Method,All,release-1.7.0,9653,1602
Method,All,release-1.8.0,10845,855
Method,All,release-2.0.0,11679,23
Method,All,release-1.7.1,10690,1026
Method,All,release-2.0.1,11745,77
File,Most,release-1.0.0,201,2
File,Most,release-1.1.0,471,50
File,Most,release-1.4.0,716,66
File,Most,release-1.5.1,1032,95
File,Most,release-1.7.0,1201,98
File,Most,release-1.8.0,1253,70
File,Most,release-2.0.0,1318,5
File,Most,release-1.7.1,1293,141
File,Most,release-2.0.1,1446,14
File,All,release-1.0.0,156,47
File,All,release-1.1.0,326,195
File,All,release-1.4.0,543,239
File,All,release-1.5.1,723,404
File,All,release-1.7.0,990,309
File,All,release-1.8.0,1149,174
File,All,release-2.0.0,1316,7
File,All,release-1.7.1,1048,386
File,All,release-2.0.1,1423,37
