granularity,buggedType,version_name,valid,bug
Method,Most,0.9.0,4819,0
Method,Most,0.9.0.1,6431,56
Method,Most,v0.9.3,7855,23
Method,Most,v0.9.4,9058,23
Method,Most,v0.9.5,10011,42
Method,Most,v0.10.0,10144,5
Method,Most,v0.9.6,18280,81
Method,Most,v1.0.0,18420,3
Method,Most,v0.10.1,18422,1
Method,Most,v1.0.1,18959,134
Method,Most,v1.0.2,19284,14
Method,Most,v0.9.7,19454,15
Method,Most,v0.10.2,21461,148
Method,Most,v1.0.3,21969,29
Method,Most,v1.1.0,24002,77
Method,Most,v1.0.4,24538,1
Method,Most,v1.1.1,25059,21
Method,Most,v1.0.5,26452,85
Method,Most,v1.2.0,26767,1
Method,Most,v1.1.2,26768,0
Method,Most,v1.0.6,27056,4
Method,Most,v1.2.1,29190,22
Method,Most,v1.0.7,29255,11
Method,Most,v1.2.2,29283,1
Method,Most,v1.1.3,31780,115
Method,All,0.9.0,4819,0
Method,All,0.9.0.1,5743,744
Method,All,v0.9.3,7312,566
Method,All,v0.9.4,8600,481
Method,All,v0.9.5,9756,297
Method,All,v0.10.0,10082,67
Method,All,v0.9.6,10135,8226
Method,All,v1.0.0,18416,7
Method,All,v0.10.1,18422,1
Method,All,v1.0.1,18340,753
Method,All,v1.0.2,19073,225
Method,All,v0.9.7,19177,292
Method,All,v0.10.2,19844,1765
Method,All,v1.0.3,21532,466
Method,All,v1.1.0,20106,3973
Method,All,v1.0.4,23922,617
Method,All,v1.1.1,24592,488
Method,All,v1.0.5,25019,1518
Method,All,v1.2.0,26510,258
Method,All,v1.1.2,26768,0
Method,All,v1.0.6,26621,439
Method,All,v1.2.1,28812,400
Method,All,v1.0.7,29173,93
Method,All,v1.2.2,29211,73
Method,All,v1.1.3,27636,4259
File,Most,0.9.0,631,0
File,Most,0.9.0.1,1319,25
File,Most,v0.9.3,1487,21
File,Most,v0.9.4,1585,20
File,Most,v0.9.5,1695,27
File,Most,v0.10.0,1730,5
File,Most,v0.9.6,2349,51
File,Most,v1.0.0,2399,3
File,Most,v0.10.1,2401,1
File,Most,v1.0.1,2437,41
File,Most,v1.0.2,2501,11
File,Most,v0.9.7,2521,13
File,Most,v0.10.2,2813,75
File,Most,v1.0.3,2910,25
File,Most,v1.1.0,3469,66
File,Most,v1.0.4,3598,1
File,Most,v1.1.1,3658,16
File,Most,v1.0.5,3767,54
File,Most,v1.2.0,3845,1
File,Most,v1.1.2,3846,0
File,Most,v1.0.6,3884,2
File,Most,v1.2.1,4426,20
File,Most,v1.0.7,4438,10
File,Most,v1.2.2,4455,1
File,Most,v1.1.3,4396,73
File,All,0.9.0,631,0
File,All,0.9.0.1,1197,147
File,All,v0.9.3,1396,112
File,All,v0.9.4,1526,79
File,All,v0.9.5,1617,105
File,All,v0.10.0,1716,19
File,All,v0.9.6,1323,1077
File,All,v1.0.0,2396,6
File,All,v0.10.1,2401,1
File,All,v1.0.1,2363,115
File,All,v1.0.2,2472,40
File,All,v0.9.7,2455,79
File,All,v0.10.2,2460,428
File,All,v1.0.3,2815,120
File,All,v1.1.0,2620,915
File,All,v1.0.4,3501,98
File,All,v1.1.1,3561,113
File,All,v1.0.5,3563,258
File,All,v1.2.0,3803,43
File,All,v1.1.2,3846,0
File,All,v1.0.6,3756,130
File,All,v1.2.1,4329,117
File,All,v1.0.7,4420,28
File,All,v1.2.2,4433,23
File,All,v1.1.3,3924,545
