granularity,buggedType,version_name,valid,bug
Method,Most,syncope-0.1.4,6464,0
Method,Most,syncope-0.1.5,6464,0
Method,Most,syncope-0.1.6,6464,0
Method,Most,syncope-0.2,6464,0
Method,Most,syncope-0.2.1,6464,0
Method,Most,syncope-0.2.2,6464,0
Method,Most,syncope-0.2.3,6464,0
Method,Most,syncope-0.3,6464,0
Method,Most,syncope-0.4.1,6464,0
Method,Most,syncope-0.4.2,6464,0
Method,Most,syncope-0.4.3,6464,0
Method,Most,syncope-0.5,6464,0
Method,Most,syncope-0.5.1,6464,0
Method,Most,syncope-0.5.2,6464,0
Method,Most,syncope-0.6,6464,0
Method,Most,syncope-0.6.1,6464,0
Method,Most,syncope-0.7,6464,0
Method,Most,syncope-0.7.1,6464,0
Method,Most,syncope-archetype-0.2,6464,0
Method,Most,syncope-archetype-0.5,6464,0
Method,Most,syncope-archetype-0.5.1,6464,0
Method,Most,syncope-archetype-0.5.2,6464,0
Method,Most,syncope-archetype-0.5.5,6464,0
Method,Most,syncope-archetype-0.5.7,6464,0
Method,Most,syncope-archetype-0.5.8,6464,0
Method,Most,syncope-archetype-0.6.1,6464,0
Method,Most,syncope-archetype-0.6.2,6464,0
Method,Most,syncope-archetype-0.6.3,6464,0
Method,Most,syncope-archetype-0.6.4,6464,0
Method,Most,syncope-archetype-0.7.1,6603,1
Method,Most,syncope-1.0.4,8066,27
Method,Most,syncope-1.0.5,8635,43
Method,Most,syncope-1.0.6,8839,23
Method,Most,syncope-1.0.7,8916,1
Method,Most,syncope-1.1.0,8918,4
Method,Most,syncope-1.0.8,8948,5
Method,Most,syncope-1.1.1,8985,1
Method,Most,syncope-1.1.2,8982,44
Method,Most,syncope-1.1.3,9037,9
Method,Most,syncope-1.1.4,9672,9
Method,Most,syncope-1.1.5,9962,7
Method,Most,syncope-1.1.6,9974,3
Method,Most,syncope-1.0.9,9977,0
Method,Most,syncope-1.1.7,10423,9
Method,Most,syncope-1.1.8,10706,10
Method,Most,syncope-1.2.0,10736,15
Method,Most,syncope-1.2.1,14650,19
Method,Most,syncope-1.2.2,11897,10
Method,Most,syncope-1.2.3,14203,11
Method,Most,syncope-1.2.4,16066,12
Method,Most,syncope-1.2.5,18315,15
Method,Most,syncope-1.2.6,19151,8
Method,Most,syncope-1.2.7,21870,18
Method,Most,syncope-1.2.8,22781,21
Method,Most,syncope-2.0.0,22831,0
Method,Most,syncope-1.2.9,22832,0
Method,Most,syncope-2.0.1,23011,4
Method,Most,syncope-1.2.10,23016,1
Method,Most,syncope-2.0.2,23636,1
Method,Most,syncope-2.0.3,24211,9
Method,Most,syncope-2.0.4,24946,22
Method,Most,syncope-2.0.5,25115,1
Method,Most,syncope-2.0.6,25799,103
Method,Most,syncope-2.0.7,26037,5
Method,Most,syncope-1.2.11,26042,0
Method,Most,syncope-2.0.8,26922,159
Method,Most,syncope-2.0.9,27083,1
Method,Most,syncope-2.1.0,27343,8
Method,Most,syncope-2.1.1,27351,0
Method,Most,syncope-2.0.10,27686,18
Method,Most,syncope-2.1.2,27704,0
Method,All,syncope-0.1.4,6464,0
Method,All,syncope-0.1.5,6464,0
Method,All,syncope-0.1.6,6464,0
Method,All,syncope-0.2,6464,0
Method,All,syncope-0.2.1,6464,0
Method,All,syncope-0.2.2,6464,0
Method,All,syncope-0.2.3,6464,0
Method,All,syncope-0.3,6464,0
Method,All,syncope-0.4.1,6464,0
Method,All,syncope-0.4.2,6464,0
Method,All,syncope-0.4.3,6464,0
Method,All,syncope-0.5,6464,0
Method,All,syncope-0.5.1,6464,0
Method,All,syncope-0.5.2,6464,0
Method,All,syncope-0.6,6464,0
Method,All,syncope-0.6.1,6464,0
Method,All,syncope-0.7,6464,0
Method,All,syncope-0.7.1,6464,0
Method,All,syncope-archetype-0.2,6464,0
Method,All,syncope-archetype-0.5,6464,0
Method,All,syncope-archetype-0.5.1,6464,0
Method,All,syncope-archetype-0.5.2,6464,0
Method,All,syncope-archetype-0.5.5,6464,0
Method,All,syncope-archetype-0.5.7,6464,0
Method,All,syncope-archetype-0.5.8,6464,0
Method,All,syncope-archetype-0.6.1,6464,0
Method,All,syncope-archetype-0.6.2,6464,0
Method,All,syncope-archetype-0.6.3,6464,0
Method,All,syncope-archetype-0.6.4,6464,0
Method,All,syncope-archetype-0.7.1,6565,39
Method,All,syncope-1.0.4,7874,219
Method,All,syncope-1.0.5,8058,620
Method,All,syncope-1.0.6,8625,237
Method,All,syncope-1.0.7,8892,25
Method,All,syncope-1.1.0,8912,10
Method,All,syncope-1.0.8,8924,29
Method,All,syncope-1.1.1,8831,155
Method,All,syncope-1.1.2,9015,11
Method,All,syncope-1.1.3,8915,131
Method,All,syncope-1.1.4,9172,509
Method,All,syncope-1.1.5,9776,193
Method,All,syncope-1.1.6,9976,1
Method,All,syncope-1.0.9,9977,0
Method,All,syncope-1.1.7,10297,135
Method,All,syncope-1.1.8,10662,54
Method,All,syncope-1.2.0,10741,10
Method,All,syncope-1.2.1,14498,171
Method,All,syncope-1.2.2,11907,0
Method,All,syncope-1.2.3,14199,15
Method,All,syncope-1.2.4,16029,49
Method,All,syncope-1.2.5,17437,893
Method,All,syncope-1.2.6,18941,218
Method,All,syncope-1.2.7,21744,144
Method,All,syncope-1.2.8,22476,326
Method,All,syncope-2.0.0,22831,0
Method,All,syncope-1.2.9,22832,0
Method,All,syncope-2.0.1,22991,24
Method,All,syncope-1.2.10,23017,0
Method,All,syncope-2.0.2,23635,2
Method,All,syncope-2.0.3,24152,68
Method,All,syncope-2.0.4,23867,1101
Method,All,syncope-2.0.5,25096,20
Method,All,syncope-2.0.6,25883,19
Method,All,syncope-2.0.7,25943,99
Method,All,syncope-1.2.11,26042,0
Method,All,syncope-2.0.8,26668,413
Method,All,syncope-2.0.9,27069,15
Method,All,syncope-2.1.0,27333,18
Method,All,syncope-2.1.1,27351,0
Method,All,syncope-2.0.10,27671,33
Method,All,syncope-2.1.2,27704,0
File,Most,syncope-0.1.4,932,0
File,Most,syncope-0.1.5,932,0
File,Most,syncope-0.1.6,932,0
File,Most,syncope-0.2,932,0
File,Most,syncope-0.2.1,932,0
File,Most,syncope-0.2.2,932,0
File,Most,syncope-0.2.3,932,0
File,Most,syncope-0.3,932,0
File,Most,syncope-0.4.1,932,0
File,Most,syncope-0.4.2,932,0
File,Most,syncope-0.4.3,932,0
File,Most,syncope-0.5,932,0
File,Most,syncope-0.5.1,932,0
File,Most,syncope-0.5.2,932,0
File,Most,syncope-0.6,932,0
File,Most,syncope-0.6.1,932,0
File,Most,syncope-0.7,932,0
File,Most,syncope-0.7.1,932,0
File,Most,syncope-archetype-0.2,932,0
File,Most,syncope-archetype-0.5,932,0
File,Most,syncope-archetype-0.5.1,932,0
File,Most,syncope-archetype-0.5.2,932,0
File,Most,syncope-archetype-0.5.5,932,0
File,Most,syncope-archetype-0.5.7,932,0
File,Most,syncope-archetype-0.5.8,932,0
File,Most,syncope-archetype-0.6.1,932,0
File,Most,syncope-archetype-0.6.2,932,0
File,Most,syncope-archetype-0.6.3,932,0
File,Most,syncope-archetype-0.6.4,932,0
File,Most,syncope-archetype-0.7.1,942,1
File,Most,syncope-1.0.4,1171,27
File,Most,syncope-1.0.5,1234,21
File,Most,syncope-1.0.6,1255,16
File,Most,syncope-1.0.7,1279,1
File,Most,syncope-1.1.0,1280,1
File,Most,syncope-1.0.8,1279,3
File,Most,syncope-1.1.1,1284,2
File,Most,syncope-1.1.2,1285,5
File,Most,syncope-1.1.3,1271,4
File,Most,syncope-1.1.4,1323,9
File,Most,syncope-1.1.5,1371,7
File,Most,syncope-1.1.6,1380,1
File,Most,syncope-1.0.9,1381,0
File,Most,syncope-1.1.7,1454,10
File,Most,syncope-1.1.8,1494,7
File,Most,syncope-1.2.0,1502,5
File,Most,syncope-1.2.1,2376,11
File,Most,syncope-1.2.2,1803,1
File,Most,syncope-1.2.3,2474,2
File,Most,syncope-1.2.4,2817,3
File,Most,syncope-1.2.5,3222,20
File,Most,syncope-1.2.6,3292,8
File,Most,syncope-1.2.7,3826,10
File,Most,syncope-1.2.8,3910,14
File,Most,syncope-2.0.0,3935,0
File,Most,syncope-1.2.9,3935,0
File,Most,syncope-2.0.1,3957,4
File,Most,syncope-1.2.10,3961,0
File,Most,syncope-2.0.2,4068,1
File,Most,syncope-2.0.3,4143,6
File,Most,syncope-2.0.4,4223,17
File,Most,syncope-2.0.5,4255,1
File,Most,syncope-2.0.6,4352,18
File,Most,syncope-2.0.7,4387,4
File,Most,syncope-1.2.11,4391,0
File,Most,syncope-2.0.8,4559,8
File,Most,syncope-2.0.9,4566,1
File,Most,syncope-2.1.0,4591,2
File,Most,syncope-2.1.1,4593,0
File,Most,syncope-2.0.10,4681,4
File,Most,syncope-2.1.2,4685,0
File,All,syncope-0.1.4,932,0
File,All,syncope-0.1.5,932,0
File,All,syncope-0.1.6,932,0
File,All,syncope-0.2,932,0
File,All,syncope-0.2.1,932,0
File,All,syncope-0.2.2,932,0
File,All,syncope-0.2.3,932,0
File,All,syncope-0.3,932,0
File,All,syncope-0.4.1,932,0
File,All,syncope-0.4.2,932,0
File,All,syncope-0.4.3,932,0
File,All,syncope-0.5,932,0
File,All,syncope-0.5.1,932,0
File,All,syncope-0.5.2,932,0
File,All,syncope-0.6,932,0
File,All,syncope-0.6.1,932,0
File,All,syncope-0.7,932,0
File,All,syncope-0.7.1,932,0
File,All,syncope-archetype-0.2,932,0
File,All,syncope-archetype-0.5,932,0
File,All,syncope-archetype-0.5.1,932,0
File,All,syncope-archetype-0.5.2,932,0
File,All,syncope-archetype-0.5.5,932,0
File,All,syncope-archetype-0.5.7,932,0
File,All,syncope-archetype-0.5.8,932,0
File,All,syncope-archetype-0.6.1,932,0
File,All,syncope-archetype-0.6.2,932,0
File,All,syncope-archetype-0.6.3,932,0
File,All,syncope-archetype-0.6.4,932,0
File,All,syncope-archetype-0.7.1,928,15
File,All,syncope-1.0.4,1080,118
File,All,syncope-1.0.5,1045,210
File,All,syncope-1.0.6,1191,80
File,All,syncope-1.0.7,1269,11
File,All,syncope-1.1.0,1274,7
File,All,syncope-1.0.8,1257,25
File,All,syncope-1.1.1,1201,85
File,All,syncope-1.1.2,1279,11
File,All,syncope-1.1.3,1219,56
File,All,syncope-1.1.4,1201,131
File,All,syncope-1.1.5,1321,57
File,All,syncope-1.1.6,1380,1
File,All,syncope-1.0.9,1381,0
File,All,syncope-1.1.7,1408,56
File,All,syncope-1.1.8,1478,23
File,All,syncope-1.2.0,1501,6
File,All,syncope-1.2.1,2318,69
File,All,syncope-1.2.2,1804,0
File,All,syncope-1.2.3,2470,6
File,All,syncope-1.2.4,2804,16
File,All,syncope-1.2.5,2937,305
File,All,syncope-1.2.6,3205,95
File,All,syncope-1.2.7,3579,257
File,All,syncope-1.2.8,3844,80
File,All,syncope-2.0.0,3935,0
File,All,syncope-1.2.9,3935,0
File,All,syncope-2.0.1,3947,14
File,All,syncope-1.2.10,3961,0
File,All,syncope-2.0.2,4067,2
File,All,syncope-2.0.3,4126,23
File,All,syncope-2.0.4,3843,397
File,All,syncope-2.0.5,4252,4
File,All,syncope-2.0.6,4361,9
File,All,syncope-2.0.7,4305,86
File,All,syncope-1.2.11,4391,0
File,All,syncope-2.0.8,4431,136
File,All,syncope-2.0.9,4555,12
File,All,syncope-2.1.0,4579,14
File,All,syncope-2.1.1,4593,0
File,All,syncope-2.0.10,4673,12
File,All,syncope-2.1.2,4685,0
