granularity,buggedType,version_name,valid,bug
Method,Most,5.0.1,4870,0
Method,Most,5.0.2,4870,0
Method,Most,5.0.3,4870,0
Method,Most,5.0.4,5450,44
Method,Most,5.0.5,5899,25
Method,Most,5.0.6,6224,18
Method,Most,5.0.7,6575,28
Method,Most,5.0.8,6656,3
Method,Most,5.0.9,7647,102
Method,Most,hlship-20070503,9687,146
Method,Most,5.1.0.0,10063,10
Method,Most,5.1.0.1,10217,6
Method,Most,5.1.0.2,10230,11
Method,Most,5.1.0.3,10274,18
Method,Most,5.1.0.4,10304,4
Method,Most,5.1.0.5,10907,16
Method,Most,5.1.0.6,10996,9
Method,Most,5.1.0.7,15308,231
Method,Most,5.4-alpha-10,15653,10
Method,Most,5.4-alpha-20,16404,60
Method,Most,5.4-beta-10,16781,40
Method,Most,5.4-beta-20,16956,34
Method,Most,5.4-beta-30,17445,93
Method,All,5.0.1,4870,0
Method,All,5.0.2,4870,0
Method,All,5.0.3,4870,0
Method,All,5.0.4,5210,284
Method,All,5.0.5,5493,431
Method,All,5.0.6,5967,275
Method,All,5.0.7,6293,310
Method,All,5.0.8,6570,89
Method,All,5.0.9,6838,911
Method,All,hlship-20070503,6209,3624
Method,All,5.1.0.0,10040,33
Method,All,5.1.0.1,10200,23
Method,All,5.1.0.2,10222,19
Method,All,5.1.0.3,10208,84
Method,All,5.1.0.4,10298,10
Method,All,5.1.0.5,10684,239
Method,All,5.1.0.6,10965,40
Method,All,5.1.0.7,14227,1312
Method,All,5.4-alpha-10,15629,34
Method,All,5.4-alpha-20,16302,162
Method,All,5.4-beta-10,16695,126
Method,All,5.4-beta-20,16930,60
Method,All,5.4-beta-30,17110,428
File,Most,5.0.1,1122,0
File,Most,5.0.2,1122,0
File,Most,5.0.3,1122,0
File,Most,5.0.4,1219,17
File,Most,5.0.5,1300,22
File,Most,5.0.6,1382,17
File,Most,5.0.7,1444,22
File,Most,5.0.8,1478,3
File,Most,5.0.9,1671,57
File,Most,hlship-20070503,2026,77
File,Most,5.1.0.0,2137,6
File,Most,5.1.0.1,2173,6
File,Most,5.1.0.2,2173,9
File,Most,5.1.0.3,2181,13
File,Most,5.1.0.4,2199,2
File,Most,5.1.0.5,2319,12
File,Most,5.1.0.6,2345,15
File,Most,5.1.0.7,3153,162
File,Most,5.4-alpha-10,3341,10
File,Most,5.4-alpha-20,3396,48
File,Most,5.4-beta-10,3498,32
File,Most,5.4-beta-20,3566,20
File,Most,5.4-beta-30,3614,42
File,All,5.0.1,1122,0
File,All,5.0.2,1122,0
File,All,5.0.3,1122,0
File,All,5.0.4,1112,124
File,All,5.0.5,1082,240
File,All,5.0.6,1273,126
File,All,5.0.7,1284,182
File,All,5.0.8,1441,40
File,All,5.0.9,1317,411
File,All,hlship-20070503,1139,964
File,All,5.1.0.0,2129,14
File,All,5.1.0.1,2166,13
File,All,5.1.0.2,2171,11
File,All,5.1.0.3,2164,30
File,All,5.1.0.4,2197,4
File,All,5.1.0.5,2275,56
File,All,5.1.0.6,2348,12
File,All,5.1.0.7,2800,515
File,All,5.4-alpha-10,3323,28
File,All,5.4-alpha-20,3348,96
File,All,5.4-beta-10,3469,61
File,All,5.4-beta-20,3559,27
File,All,5.4-beta-30,3530,126
