granularity,buggedType,version_name,valid,bug
Method,Most,commons-text-1.0,1060,2
Method,Most,commons-text-1.1,1171,11
Method,Most,commons-text-1.2,1712,0
Method,Most,commons-text-1.3,1717,3
Method,Most,commons-text-1.4,1783,1
Method,Most,commons-text-1.5,1832,0
Method,All,commons-text-1.0,1060,2
Method,All,commons-text-1.1,1171,11
Method,All,commons-text-1.2,1712,0
Method,All,commons-text-1.3,1707,13
Method,All,commons-text-1.4,1784,0
Method,All,commons-text-1.5,1832,0
File,Most,commons-text-1.0,212,2
File,Most,commons-text-1.1,212,9
File,Most,commons-text-1.2,260,0
File,Most,commons-text-1.3,258,2
File,Most,commons-text-1.4,278,1
File,Most,commons-text-1.5,284,0
File,All,commons-text-1.0,212,2
File,All,commons-text-1.1,213,8
File,All,commons-text-1.2,260,0
File,All,commons-text-1.3,257,3
File,All,commons-text-1.4,278,1
File,All,commons-text-1.5,284,0
