granularity,buggedType,version_name,valid,bug
Method,Most,tomee-1.0.0,43357,307
Method,Most,tomee-1.6.0.1,43808,18
Method,Most,tomee-1.6.0.2,49234,233
Method,Most,tomee-7.0.0,50052,11
Method,Most,tomee-7.0.1,50362,107
Method,Most,tomee-7.0.2,50522,32
Method,Most,tomee-7.0.3,50876,49
Method,Most,tomee-7.0.4,51588,98
Method,All,tomee-1.0.0,39403,4261
Method,All,tomee-1.6.0.1,43778,48
Method,All,tomee-1.6.0.2,48642,825
Method,All,tomee-7.0.0,50005,58
Method,All,tomee-7.0.1,50247,222
Method,All,tomee-7.0.2,50431,123
Method,All,tomee-7.0.3,50867,58
Method,All,tomee-7.0.4,51451,235
File,Most,tomee-1.0.0,6547,129
File,Most,tomee-1.6.0.1,6739,6
File,Most,tomee-1.6.0.2,7238,120
File,Most,tomee-7.0.0,7381,11
File,Most,tomee-7.0.1,7394,41
File,Most,tomee-7.0.2,7423,25
File,Most,tomee-7.0.3,7465,36
File,Most,tomee-7.0.4,7634,12
File,All,tomee-1.0.0,5890,786
File,All,tomee-1.6.0.1,6730,15
File,All,tomee-1.6.0.2,7098,260
File,All,tomee-7.0.0,7373,19
File,All,tomee-7.0.1,7344,91
File,All,tomee-7.0.2,7367,81
File,All,tomee-7.0.3,7455,46
File,All,tomee-7.0.4,7579,67
