granularity,buggedType,version_name,valid,bug
Method,Most,maven-plugin-parent-1.0.1,58784,20
Method,Most,trinidad-1.0.1,58970,72
Method,Most,maven-plugin-parent-1.0.2,59050,4
Method,Most,trinidad-1.0.2,57473,66
Method,Most,trinidad-1.0.3,57541,18
Method,Most,trinidad-1.0.4,57993,19
Method,Most,trinidad-1.0.5,58039,13
Method,Most,trinidad-1.0.6,58282,11
Method,Most,trinidad-1.0.7,58466,16
Method,Most,trinidad-1.0.8,58563,30
Method,Most,trinidad-1.0.9,61452,291
Method,Most,trinidad-2.0.0,61904,46
Method,Most,trinidad-2.0.1,63073,94
Method,All,maven-plugin-parent-1.0.1,58760,44
Method,All,trinidad-1.0.1,58866,176
Method,All,maven-plugin-parent-1.0.2,59048,6
Method,All,trinidad-1.0.2,57373,166
Method,All,trinidad-1.0.3,57530,29
Method,All,trinidad-1.0.4,57944,68
Method,All,trinidad-1.0.5,58015,37
Method,All,trinidad-1.0.6,58274,19
Method,All,trinidad-1.0.7,58390,92
Method,All,trinidad-1.0.8,58506,87
Method,All,trinidad-1.0.9,60229,1514
Method,All,trinidad-2.0.0,61557,393
Method,All,trinidad-2.0.1,62546,621
File,Most,maven-plugin-parent-1.0.1,8447,14
File,Most,trinidad-1.0.1,8431,42
File,Most,maven-plugin-parent-1.0.2,8471,4
File,Most,trinidad-1.0.2,8156,58
File,Most,trinidad-1.0.3,8198,18
File,Most,trinidad-1.0.4,8218,19
File,Most,trinidad-1.0.5,8231,10
File,Most,trinidad-1.0.6,8247,8
File,Most,trinidad-1.0.7,8250,15
File,Most,trinidad-1.0.8,8244,25
File,Most,trinidad-1.0.9,8375,152
File,Most,trinidad-2.0.0,8489,36
File,Most,trinidad-2.0.1,8551,66
File,All,maven-plugin-parent-1.0.1,8429,32
File,All,trinidad-1.0.1,8408,65
File,All,maven-plugin-parent-1.0.2,8471,4
File,All,trinidad-1.0.2,8110,104
File,All,trinidad-1.0.3,8197,19
File,All,trinidad-1.0.4,8203,34
File,All,trinidad-1.0.5,8227,14
File,All,trinidad-1.0.6,8242,13
File,All,trinidad-1.0.7,8216,49
File,All,trinidad-1.0.8,8236,33
File,All,trinidad-1.0.9,8218,309
File,All,trinidad-2.0.0,7175,1350
File,All,trinidad-2.0.1,8494,123
