granularity,buggedType,version_name,valid,bug
Method,Most,v0.8.0,2732,4
Method,Most,v0.9.0,2839,14
Method,Most,v0.10.0,2892,18
Method,Most,v0.11.0,2955,5
Method,Most,v0.12.0,2981,7
Method,Most,v0.12.1,2987,1
Method,All,v0.8.0,2648,88
Method,All,v0.9.0,2679,174
Method,All,v0.10.0,2726,184
Method,All,v0.11.0,2897,63
Method,All,v0.12.0,2944,44
Method,All,v0.12.1,2986,2
File,Most,v0.8.0,494,5
File,Most,v0.9.0,499,11
File,Most,v0.10.0,504,13
File,Most,v0.11.0,516,4
File,Most,v0.12.0,517,6
File,Most,v0.12.1,522,1
File,All,v0.8.0,473,26
File,All,v0.9.0,472,38
File,All,v0.10.0,471,46
File,All,v0.11.0,505,15
File,All,v0.12.0,499,24
File,All,v0.12.1,521,2
