granularity,buggedType,version_name,valid,bug
Method,Most,v1.0,11688,15
Method,Most,portal-2.0.5,11703,0
Method,Most,portal-2.0.6,11703,0
Method,Most,portal-2.0.7,13179,5
Method,Most,portal-2.0.8,13201,1
Method,Most,v0.9.10,13203,2
Method,Most,portal-2.0.9,13215,0
Method,Most,portal-2.0.10,13436,5
Method,Most,portal-2.0.11,13443,3
Method,Most,portal-2.0.12,13456,2
Method,Most,portal-2.0.13,13602,9
Method,Most,portal-2.0.14,13633,1
Method,Most,portal-2.0.15,13667,1
Method,Most,portal-2.0.16,15194,13
Method,Most,1.0.0,15207,0
Method,Most,usergrid-1.0.0,17276,48
Method,Most,1.0.1,17324,0
Method,Most,usergrid-1.0.1,18544,14
Method,Most,1.0.2,18558,0
Method,Most,usergrid-1.0.2,19129,43
Method,All,v1.0,11582,121
Method,All,portal-2.0.5,11703,0
Method,All,portal-2.0.6,11703,0
Method,All,portal-2.0.7,13117,67
Method,All,portal-2.0.8,13189,13
Method,All,v0.9.10,13196,9
Method,All,portal-2.0.9,13215,0
Method,All,portal-2.0.10,13158,283
Method,All,portal-2.0.11,13294,152
Method,All,portal-2.0.12,13316,142
Method,All,portal-2.0.13,13474,137
Method,All,portal-2.0.14,13633,1
Method,All,portal-2.0.15,13659,9
Method,All,portal-2.0.16,15064,143
Method,All,1.0.0,15207,0
Method,All,usergrid-1.0.0,17265,59
Method,All,1.0.1,17324,0
Method,All,usergrid-1.0.1,18419,139
Method,All,1.0.2,18558,0
Method,All,usergrid-1.0.2,18471,701
File,Most,v1.0,1786,10
File,Most,portal-2.0.5,1796,0
File,Most,portal-2.0.6,1796,0
File,Most,portal-2.0.7,2134,4
File,Most,portal-2.0.8,2138,1
File,Most,v0.9.10,2136,3
File,Most,portal-2.0.9,2140,0
File,Most,portal-2.0.10,2127,3
File,Most,portal-2.0.11,2128,2
File,Most,portal-2.0.12,2128,2
File,Most,portal-2.0.13,2154,4
File,Most,portal-2.0.14,2159,1
File,Most,portal-2.0.15,2144,1
File,Most,portal-2.0.16,2282,19
File,Most,1.0.0,2301,0
File,Most,usergrid-1.0.0,2580,6
File,Most,1.0.1,2586,0
File,Most,usergrid-1.0.1,2833,10
File,Most,1.0.2,2843,0
File,Most,usergrid-1.0.2,2940,26
File,All,v1.0,1753,43
File,All,portal-2.0.5,1796,0
File,All,portal-2.0.6,1796,0
File,All,portal-2.0.7,2127,11
File,All,portal-2.0.8,2134,5
File,All,v0.9.10,2135,4
File,All,portal-2.0.9,2140,0
File,All,portal-2.0.10,2053,77
File,All,portal-2.0.11,2105,25
File,All,portal-2.0.12,2097,33
File,All,portal-2.0.13,2093,65
File,All,portal-2.0.14,2159,1
File,All,portal-2.0.15,2142,3
File,All,portal-2.0.16,2175,126
File,All,1.0.0,2301,0
File,All,usergrid-1.0.0,2555,31
File,All,1.0.1,2586,0
File,All,usergrid-1.0.1,2783,60
File,All,1.0.2,2843,0
File,All,usergrid-1.0.2,2726,240
