granularity,buggedType,version_name,valid,bug
Method,Most,DATE_24_NOV_2005,27064,0
Method,Most,FEB_24_2005,27064,0
Method,Most,JAN_17_2005,27064,0
Method,Most,MARCH_4_2005,27064,0
Method,Most,MARCH_6_2005,27064,0
Method,Most,March_24_2005,27064,0
Method,Most,Root_WICKET_1_0_0,27064,0
Method,Most,V28_11_2004,27064,0
Method,Most,V_1_2_22_08_2005,27064,0
Method,Most,V_28_11_2004,27064,0
Method,Most,V_3_MAY_2005,27064,0
Method,Most,wicket-1.0,27064,0
Method,Most,wicket-1.0.1,27064,0
Method,Most,wicket-1.0.2,27064,0
Method,Most,wicket-1.0.3,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-01-08,27064,0
Method,Most,wicket-1.2-SNAPSHOT-2006-02-06,27064,0
Method,Most,wicket-1.2-SNAPSHOT-20060127-0105,27064,0
Method,Most,wicket-1.2-SNAPSHOT-20060227-0200,27064,0
Method,Most,wicket-spring-1.0,27064,0
Method,Most,wicket-spring-annot-1.0,27064,0
Method,Most,wicket-spring-annot-examples-1.0,27064,0
Method,Most,wicket-spring-cattr-1.0,27064,0
Method,Most,wicket-spring-examples-1.0,46774,1218
Method,Most,wicket-6.0.0,51672,453
Method,Most,rel/wicket-7.0.0,52125,0
Method,Most,wicket-7.0.0,53658,253
Method,All,DATE_24_NOV_2005,27064,0
Method,All,FEB_24_2005,27064,0
Method,All,JAN_17_2005,27064,0
Method,All,MARCH_4_2005,27064,0
Method,All,MARCH_6_2005,27064,0
Method,All,March_24_2005,27064,0
Method,All,Root_WICKET_1_0_0,27064,0
Method,All,V28_11_2004,27064,0
Method,All,V_1_2_22_08_2005,27064,0
Method,All,V_28_11_2004,27064,0
Method,All,V_3_MAY_2005,27064,0
Method,All,wicket-1.0,27064,0
Method,All,wicket-1.0.1,27064,0
Method,All,wicket-1.0.2,27064,0
Method,All,wicket-1.0.3,27064,0
Method,All,wicket-1.2-SNAPSHOT-2006-01-08,27064,0
Method,All,wicket-1.2-SNAPSHOT-2006-02-06,27064,0
Method,All,wicket-1.2-SNAPSHOT-20060127-0105,27064,0
Method,All,wicket-1.2-SNAPSHOT-20060227-0200,27064,0
Method,All,wicket-spring-1.0,27064,0
Method,All,wicket-spring-annot-1.0,27064,0
Method,All,wicket-spring-annot-examples-1.0,27064,0
Method,All,wicket-spring-cattr-1.0,27064,0
Method,All,wicket-spring-examples-1.0,44098,3894
Method,All,wicket-6.0.0,50462,1663
Method,All,rel/wicket-7.0.0,52125,0
Method,All,wicket-7.0.0,52836,1075
File,Most,DATE_24_NOV_2005,6185,0
File,Most,FEB_24_2005,6185,0
File,Most,JAN_17_2005,6185,0
File,Most,MARCH_4_2005,6185,0
File,Most,MARCH_6_2005,6185,0
File,Most,March_24_2005,6185,0
File,Most,Root_WICKET_1_0_0,6185,0
File,Most,V28_11_2004,6185,0
File,Most,V_1_2_22_08_2005,6185,0
File,Most,V_28_11_2004,6185,0
File,Most,V_3_MAY_2005,6185,0
File,Most,wicket-1.0,6185,0
File,Most,wicket-1.0.1,6185,0
File,Most,wicket-1.0.2,6185,0
File,Most,wicket-1.0.3,6185,0
File,Most,wicket-1.2-SNAPSHOT-2006-01-08,6185,0
File,Most,wicket-1.2-SNAPSHOT-2006-02-06,6185,0
File,Most,wicket-1.2-SNAPSHOT-20060127-0105,6185,0
File,Most,wicket-1.2-SNAPSHOT-20060227-0200,6185,0
File,Most,wicket-spring-1.0,6185,0
File,Most,wicket-spring-annot-1.0,6185,0
File,Most,wicket-spring-annot-examples-1.0,6185,0
File,Most,wicket-spring-cattr-1.0,6185,0
File,Most,wicket-spring-examples-1.0,10038,639
File,Most,wicket-6.0.0,10954,253
File,Most,rel/wicket-7.0.0,11207,0
File,Most,wicket-7.0.0,11270,138
File,All,DATE_24_NOV_2005,6185,0
File,All,FEB_24_2005,6185,0
File,All,JAN_17_2005,6185,0
File,All,MARCH_4_2005,6185,0
File,All,MARCH_6_2005,6185,0
File,All,March_24_2005,6185,0
File,All,Root_WICKET_1_0_0,6185,0
File,All,V28_11_2004,6185,0
File,All,V_1_2_22_08_2005,6185,0
File,All,V_28_11_2004,6185,0
File,All,V_3_MAY_2005,6185,0
File,All,wicket-1.0,6185,0
File,All,wicket-1.0.1,6185,0
File,All,wicket-1.0.2,6185,0
File,All,wicket-1.0.3,6185,0
File,All,wicket-1.2-SNAPSHOT-2006-01-08,6185,0
File,All,wicket-1.2-SNAPSHOT-2006-02-06,6185,0
File,All,wicket-1.2-SNAPSHOT-20060127-0105,6185,0
File,All,wicket-1.2-SNAPSHOT-20060227-0200,6185,0
File,All,wicket-spring-1.0,6185,0
File,All,wicket-spring-annot-1.0,6185,0
File,All,wicket-spring-annot-examples-1.0,6185,0
File,All,wicket-spring-cattr-1.0,6185,0
File,All,wicket-spring-examples-1.0,9464,1213
File,All,wicket-6.0.0,10584,623
File,All,rel/wicket-7.0.0,11207,0
File,All,wicket-7.0.0,10892,516
