granularity,buggedType,version_name,valid,bug
Method,Most,Xerces-J_1_0_1,2966,5
Method,Most,Xerces-J_1_0_2,2983,1
Method,Most,Xerces-J_1_0_3,4357,11
Method,Most,Xerces-J_1_0_4,4631,1
Method,Most,Xerces-J-1_1_0_05_22_2000,4711,17
Method,Most,merge_to_x2_121100,4592,136
Method,Most,x1_sync_121100,4978,7
Method,Most,merge_to_x2_021301,4985,0
Method,Most,x1_sync_021301,7497,9
Method,Most,Xerces-J_2_0_0,7681,0
Method,Most,Xerces-J_2_0_1,8443,53
Method,Most,Xerces-J_2_0_2,8862,13
Method,Most,jaxp_1_2_2_01,9270,9
Method,Most,jaxp_1_2_2_02,9380,14
Method,Most,jaxp_1_2_3_01,9139,26
Method,Most,jaxp-1-2_3-02,9165,0
Method,Most,jaxp-1_2_3-02,9170,34
Method,Most,jaxp-1_2_3-03,9204,0
Method,Most,jaxp-1_2_3-04,9206,0
Method,Most,jaxp-1_2_3-05,9324,15
Method,Most,jaxp-1_2_3-06,9373,3
Method,Most,jaxp-1-3-01,9515,1
Method,Most,jaxp-1_3_0-01,9516,0
Method,Most,jaxp-1_3_0-02,9519,0
Method,Most,jaxp-1_3_0-03,9519,0
Method,Most,jaxp-1_3_0-04,9743,21
Method,Most,jaxp-1_2_3-07,9795,2
Method,Most,jaxp-1_2_3-08,9977,0
Method,Most,jaxp-1_2_3-09,10024,17
Method,Most,jaxp_1_3_0_04052004,10263,49
Method,All,Xerces-J_1_0_1,2758,213
Method,All,Xerces-J_1_0_2,2983,1
Method,All,Xerces-J_1_0_3,4346,22
Method,All,Xerces-J_1_0_4,4631,1
Method,All,Xerces-J-1_1_0_05_22_2000,4606,122
Method,All,merge_to_x2_121100,4728,0
Method,All,x1_sync_121100,4882,103
Method,All,merge_to_x2_021301,4985,0
Method,All,x1_sync_021301,5606,1900
Method,All,Xerces-J_2_0_0,7681,0
Method,All,Xerces-J_2_0_1,8260,236
Method,All,Xerces-J_2_0_2,8801,74
Method,All,jaxp_1_2_2_01,9229,50
Method,All,jaxp_1_2_2_02,9383,11
Method,All,jaxp_1_2_3_01,9097,68
Method,All,jaxp-1-2_3-02,9165,0
Method,All,jaxp-1_2_3-02,9181,23
Method,All,jaxp-1_2_3-03,9204,0
Method,All,jaxp-1_2_3-04,9206,0
Method,All,jaxp-1_2_3-05,9286,53
Method,All,jaxp-1_2_3-06,9371,5
Method,All,jaxp-1-3-01,9515,1
Method,All,jaxp-1_3_0-01,9516,0
Method,All,jaxp-1_3_0-02,9519,0
Method,All,jaxp-1_3_0-03,9519,0
Method,All,jaxp-1_3_0-04,9556,208
Method,All,jaxp-1_2_3-07,9793,4
Method,All,jaxp-1_2_3-08,9977,0
Method,All,jaxp-1_2_3-09,9977,64
Method,All,jaxp_1_3_0_04052004,9974,338
File,Most,Xerces-J_1_0_1,344,10
File,Most,Xerces-J_1_0_2,355,4
File,Most,Xerces-J_1_0_3,483,6
File,Most,Xerces-J_1_0_4,507,1
File,Most,Xerces-J-1_1_0_05_22_2000,516,7
File,Most,merge_to_x2_121100,523,0
File,Most,x1_sync_121100,540,3
File,Most,merge_to_x2_021301,543,0
File,Most,x1_sync_021301,922,7
File,Most,Xerces-J_2_0_0,931,0
File,Most,Xerces-J_2_0_1,1016,8
File,Most,Xerces-J_2_0_2,1029,7
File,Most,jaxp_1_2_2_01,1055,4
File,Most,jaxp_1_2_2_02,1062,6
File,Most,jaxp_1_2_3_01,940,8
File,Most,jaxp-1-2_3-02,948,0
File,Most,jaxp-1_2_3-02,946,3
File,Most,jaxp-1_2_3-03,949,0
File,Most,jaxp-1_2_3-04,949,0
File,Most,jaxp-1_2_3-05,921,5
File,Most,jaxp-1_2_3-06,925,2
File,Most,jaxp-1-3-01,935,1
File,Most,jaxp-1_3_0-01,936,0
File,Most,jaxp-1_3_0-02,936,0
File,Most,jaxp-1_3_0-03,936,0
File,Most,jaxp-1_3_0-04,976,6
File,Most,jaxp-1_2_3-07,985,1
File,Most,jaxp-1_2_3-08,1007,0
File,Most,jaxp-1_2_3-09,1006,7
File,Most,jaxp_1_3_0_04052004,997,29
File,All,Xerces-J_1_0_1,295,59
File,All,Xerces-J_1_0_2,357,2
File,All,Xerces-J_1_0_3,472,17
File,All,Xerces-J_1_0_4,507,1
File,All,Xerces-J-1_1_0_05_22_2000,459,64
File,All,merge_to_x2_121100,523,0
File,All,x1_sync_121100,509,34
File,All,merge_to_x2_021301,543,0
File,All,x1_sync_021301,654,275
File,All,Xerces-J_2_0_0,931,0
File,All,Xerces-J_2_0_1,908,116
File,All,Xerces-J_2_0_2,977,59
File,All,jaxp_1_2_2_01,1048,11
File,All,jaxp_1_2_2_02,1055,13
File,All,jaxp_1_2_3_01,889,59
File,All,jaxp-1-2_3-02,948,0
File,All,jaxp-1_2_3-02,930,19
File,All,jaxp-1_2_3-03,949,0
File,All,jaxp-1_2_3-04,949,0
File,All,jaxp-1_2_3-05,908,18
File,All,jaxp-1_2_3-06,925,2
File,All,jaxp-1-3-01,935,1
File,All,jaxp-1_3_0-01,936,0
File,All,jaxp-1_3_0-02,936,0
File,All,jaxp-1_3_0-03,936,0
File,All,jaxp-1_3_0-04,847,135
File,All,jaxp-1_2_3-07,985,1
File,All,jaxp-1_2_3-08,1007,0
File,All,jaxp-1_2_3-09,975,38
File,All,jaxp_1_3_0_04052004,956,70
