granularity,buggedType,version_name,valid,bug
Method,Most,1.3.5,10812,1
Method,Most,1.4.0,12208,61
Method,Most,1.4.1,12763,9
Method,Most,1.3.6,14110,51
Method,Most,1.4.2,20539,102
Method,Most,1.4.3,23154,80
Method,Most,1.5.0,24488,30
Method,Most,1.4.4,27420,293
Method,Most,1.5.1,28262,61
Method,Most,1.4.5,29416,28
Method,Most,1.6.0,31067,140
Method,Most,1.5.2,31207,21
Method,Most,1.6.1,33211,116
Method,Most,1.6.2,34632,122
Method,Most,1.7.0,34959,61
Method,Most,1.5.3,35047,15
Method,Most,1.6.3,35586,24
Method,Most,1.5.4,35915,3
Method,Most,1.6.4,36340,69
Method,Most,rel/1.6.5,36534,5
Method,Most,rel/1.7.1,37283,18
Method,Most,rel/1.7.2,37344,40
Method,Most,rel/1.8.0,37451,4
Method,Most,rel/1.6.6,37889,22
Method,Most,rel/1.8.1,38031,3
Method,Most,rel/1.7.3,40002,73
Method,Most,rel/1.7.4,40815,7
Method,Most,rel/1.9.0,41019,5
Method,Most,rel/1.9.1,41349,18
Method,All,1.3.5,10812,1
Method,All,1.4.0,12003,266
Method,All,1.4.1,12592,180
Method,All,1.3.6,13638,523
Method,All,1.4.2,19692,949
Method,All,1.4.3,22795,439
Method,All,1.5.0,24192,326
Method,All,1.4.4,26375,1338
Method,All,1.5.1,28091,232
Method,All,1.4.5,29238,206
Method,All,1.6.0,30497,710
Method,All,1.5.2,31209,19
Method,All,1.6.1,32680,647
Method,All,1.6.2,33699,1055
Method,All,1.7.0,34941,79
Method,All,1.5.3,35050,12
Method,All,1.6.3,35482,128
Method,All,1.5.4,35916,2
Method,All,1.6.4,36243,166
Method,All,rel/1.6.5,36529,10
Method,All,rel/1.7.1,36162,1139
Method,All,rel/1.7.2,37250,134
Method,All,rel/1.8.0,37437,18
Method,All,rel/1.6.6,37789,122
Method,All,rel/1.8.1,38028,6
Method,All,rel/1.7.3,38868,1207
Method,All,rel/1.7.4,38184,2638
Method,All,rel/1.9.0,40907,117
Method,All,rel/1.9.1,41236,131
File,Most,1.3.5,1271,1
File,Most,1.4.0,1571,44
File,Most,1.4.1,1678,8
File,Most,1.3.6,1848,37
File,Most,1.4.2,2420,137
File,Most,1.4.3,2631,56
File,Most,1.5.0,2790,26
File,Most,1.4.4,3034,130
File,Most,1.5.1,3193,33
File,Most,1.4.5,3421,22
File,Most,1.6.0,3582,63
File,Most,1.5.2,3643,7
File,Most,1.6.1,3819,68
File,Most,1.6.2,3968,60
File,Most,1.7.0,4053,33
File,Most,1.5.3,4089,9
File,Most,1.6.3,4178,18
File,Most,1.5.4,4214,1
File,Most,1.6.4,4215,40
File,Most,rel/1.6.5,4264,3
File,Most,rel/1.7.1,4296,16
File,Most,rel/1.7.2,4278,25
File,Most,rel/1.8.0,4308,4
File,Most,rel/1.6.6,4098,21
File,Most,rel/1.8.1,4116,3
File,Most,rel/1.7.3,4364,47
File,Most,rel/1.7.4,4450,6
File,Most,rel/1.9.0,4498,3
File,Most,rel/1.9.1,4515,10
File,All,1.3.5,1271,1
File,All,1.4.0,1502,113
File,All,1.4.1,1619,67
File,All,1.3.6,1762,123
File,All,1.4.2,2320,237
File,All,1.4.3,2552,135
File,All,1.5.0,2693,123
File,All,1.4.4,2883,281
File,All,1.5.1,3141,85
File,All,1.4.5,3158,285
File,All,1.6.0,3423,222
File,All,1.5.2,3636,14
File,All,1.6.1,3730,157
File,All,1.6.2,3566,462
File,All,1.7.0,4046,40
File,All,1.5.3,4087,11
File,All,1.6.3,4128,68
File,All,1.5.4,4213,2
File,All,1.6.4,4184,71
File,All,rel/1.6.5,4260,7
File,All,rel/1.7.1,4180,132
File,All,rel/1.7.2,4256,47
File,All,rel/1.8.0,4304,8
File,All,rel/1.6.6,4059,60
File,All,rel/1.8.1,4114,5
File,All,rel/1.7.3,4142,269
File,All,rel/1.7.4,3634,822
File,All,rel/1.9.0,4460,41
File,All,rel/1.9.1,4466,59
