granularity,buggedType,version_name,valid,bug
Method,Most,1.0.0,56505,35
Method,Most,1.1.0,57544,61
Method,Most,1.2.0,57102,104
Method,Most,1.3.0,58628,59
Method,Most,1.4.0,59824,44
Method,Most,1.5.0,59977,9
Method,Most,1.5.1,60344,25
Method,Most,1.5.2,60581,13
Method,Most,1.5.3,60999,52
Method,Most,1.5.4,61075,7
Method,Most,2.0.0,61678,64
Method,Most,2.1.0,61742,0
Method,Most,1.5.5,62003,108
Method,Most,2.2.0,62617,27
Method,Most,2.3.0,63244,57
Method,Most,2.4.0,64476,90
Method,Most,1.5.6,64625,27
Method,Most,2.5.0,65080,70
Method,Most,2.6.0,65233,11
Method,Most,2.6.1,65313,11
Method,Most,2.6.2,65968,45
Method,All,1.0.0,56301,239
Method,All,1.1.0,57191,414
Method,All,1.2.0,56634,572
Method,All,1.3.0,58380,307
Method,All,1.4.0,59542,326
Method,All,1.5.0,59961,25
Method,All,1.5.1,60308,61
Method,All,1.5.2,60502,92
Method,All,1.5.3,60917,134
Method,All,1.5.4,61064,18
Method,All,2.0.0,61265,477
Method,All,2.1.0,61742,0
Method,All,1.5.5,61775,336
Method,All,2.2.0,62439,205
Method,All,2.3.0,63032,269
Method,All,2.4.0,63992,574
Method,All,1.5.6,64586,66
Method,All,2.5.0,64944,206
Method,All,2.6.0,65195,49
Method,All,2.6.1,65289,35
Method,All,2.6.2,65631,382
File,Most,1.0.0,8227,28
File,Most,1.1.0,8334,39
File,Most,1.2.0,8194,76
File,Most,1.3.0,8374,41
File,Most,1.4.0,8567,35
File,Most,1.5.0,8597,9
File,Most,1.5.1,8614,20
File,Most,1.5.2,8637,16
File,Most,1.5.3,8633,31
File,Most,1.5.4,8661,4
File,Most,2.0.0,8684,46
File,Most,2.1.0,8730,0
File,Most,1.5.5,8719,44
File,Most,2.2.0,8795,17
File,Most,2.3.0,8834,38
File,Most,2.4.0,8919,67
File,Most,1.5.6,8980,18
File,Most,2.5.0,8985,47
File,Most,2.6.0,9031,11
File,Most,2.6.1,9036,12
File,Most,2.6.2,9069,33
File,All,1.0.0,8145,110
File,All,1.1.0,8229,144
File,All,1.2.0,8062,208
File,All,1.3.0,8265,150
File,All,1.4.0,8484,118
File,All,1.5.0,8583,23
File,All,1.5.1,8587,47
File,All,1.5.2,8598,55
File,All,1.5.3,8575,89
File,All,1.5.4,8659,6
File,All,2.0.0,8592,138
File,All,2.1.0,8730,0
File,All,1.5.5,8599,164
File,All,2.2.0,8733,79
File,All,2.3.0,8752,120
File,All,2.4.0,8804,182
File,All,1.5.6,8963,35
File,All,2.5.0,8920,112
File,All,2.6.0,9015,27
File,All,2.6.1,9029,19
File,All,2.6.2,8985,117
