granularity,buggedType,version_name,valid,bug
Method,Most,vault/hyracks_v0.2@173,4600,2
Method,Most,vault/hyracks_online_aggregation@185,5012,0
Method,Most,vault/hyracks_storage_cleanup@236,5253,0
Method,Most,vault/hyracks_create_documentation@280,5253,0
Method,Most,vault/hyracks_io_management@287,5623,0
Method,Most,vault/hyracks_scheduling@296,5623,0
Method,Most,vault/hyracks_spilling_groupby@299,6327,0
Method,Most,vault/hyracks_admin_console@327,6327,0
Method,Most,vault/hyracks_scheduling@328,6327,0
Method,Most,vault/hyracks_spilling_groupby_perf@326,6894,0
Method,Most,vault/hyracks_aqua_changes@403,7335,1
Method,Most,vault/hyracks_hadoop_compat_changes@458,7691,0
Method,Most,vault/hyracks_dev_next@501,8721,1
Method,Most,vault/hyracks_dev_next@539,26257,10
Method,Most,vault/asterix-fix-issue-109,26267,0
Method,Most,vault/asterix-fix-issue-108,26463,3
Method,Most,vault/asterix-fix-issue-113,28413,6
Method,Most,vault/asterix_fix_issue_154,30720,5
Method,Most,vault/fullstack_staging@1956,39406,0
Method,Most,vault/fullstack_genomix@2593,39406,0
Method,Most,vault/fullstack_imru@2585,39406,0
Method,Most,vault/fullstack_staging@2391,34605,7
Method,Most,vault/asterix_fix_issue_233,34616,0
Method,Most,vault/asterix_fix_issue_207,35336,8
Method,Most,vault/asterix_fix_issue_224,35559,1
Method,Most,vault/asterix_stabilization_issue_251,35496,0
Method,Most,vault/asterix_stabilization_issue_252_253,35814,2
Method,Most,vault/asterix_stabilization_issue_173,36000,1
Method,Most,vault/asterix_stabilization_issue_257,38733,11
Method,Most,vault/asterix_stabilization_issue_279,39595,4
Method,Most,vault/fullstack_lsm_staging_issue_305,39600,6
Method,Most,vault/asterix_lsm_stabilization_315,41459,2
Method,Most,vault/fullstack_lsm_staging@3347,43649,0
Method,Most,vault/asterix_lsm_stabilization@1654,43665,1
Method,Most,vault/asterix_lsm_stabilization_324,44081,5
Method,Most,fullstack-0.2.5,44092,0
Method,Most,asterix-0.0.5,45165,30
Method,Most,fullstack-0.2.6,45194,1
Method,Most,asterix-0.8.0,45519,6
Method,Most,fullstack-0.2.7,45525,0
Method,Most,fullstack-0.2.8,45837,0
Method,Most,fullstack-0.2.9,47394,16
Method,Most,fullstack-0.2.10,47410,0
Method,Most,asterix-0.8.1,47410,0
Method,Most,asterix-0.8.2,47417,0
Method,Most,asterix-0.8.3,48067,8
Method,Most,fullstack-0.2.11,48075,0
Method,Most,asterix-0.8.4,48075,0
Method,Most,asterix-0.8.5,49593,11
Method,Most,fullstack-0.2.12,49604,0
Method,Most,asterix-0.8.6,49966,3
Method,Most,fullstack-0.2.13,47987,5
Method,Most,fullstack-0.2.14,48397,15
Method,Most,fullstack-0.2.15,71235,207
Method,Most,apache-hyracks-0.3.0,71442,0
Method,Most,apache-asterixdb-0.9.0,74624,35
Method,Most,apache-asterixdb-0.3.1,74659,0
Method,Most,apache-asterixdb-0.9.1,74659,0
Method,Most,apache-hyracks-0.3.1,77238,24
Method,Most,apache-asterixdb-0.9.2,77262,0
Method,Most,apache-hyracks-0.3.2,79816,8
Method,Most,apache-asterixdb-0.9.3,79824,0
Method,Most,apache-hyracks-0.3.3,84425,50
Method,Most,apache-asterixdb-0.9.4,84475,0
Method,All,vault/hyracks_v0.2@173,4538,64
Method,All,vault/hyracks_online_aggregation@185,5012,0
Method,All,vault/hyracks_storage_cleanup@236,5253,0
Method,All,vault/hyracks_create_documentation@280,5253,0
Method,All,vault/hyracks_io_management@287,5623,0
Method,All,vault/hyracks_scheduling@296,5623,0
Method,All,vault/hyracks_spilling_groupby@299,6327,0
Method,All,vault/hyracks_admin_console@327,6327,0
Method,All,vault/hyracks_scheduling@328,6327,0
Method,All,vault/hyracks_spilling_groupby_perf@326,6894,0
Method,All,vault/hyracks_aqua_changes@403,7330,6
Method,All,vault/hyracks_hadoop_compat_changes@458,7691,0
Method,All,vault/hyracks_dev_next@501,8717,5
Method,All,vault/hyracks_dev_next@539,26122,145
Method,All,vault/asterix-fix-issue-109,26267,0
Method,All,vault/asterix-fix-issue-108,26466,0
Method,All,vault/asterix-fix-issue-113,28295,124
Method,All,vault/asterix_fix_issue_154,30721,4
Method,All,vault/fullstack_staging@1956,39406,0
Method,All,vault/fullstack_genomix@2593,39406,0
Method,All,vault/fullstack_imru@2585,39406,0
Method,All,vault/fullstack_staging@2391,33689,923
Method,All,vault/asterix_fix_issue_233,34616,0
