granularity,buggedType,version_name,valid,bug
Method,Most,doxia-sitetools-1.1.1,255,2
Method,Most,doxia-sitetools-1.1.2,262,0
Method,Most,doxia-sitetools-1.1.3,262,0
Method,Most,doxia-sitetools-1.1.4,455,2
Method,Most,doxia-sitetools-1.7.1,458,0
Method,Most,doxia-sitetools-1.7.2,460,0
Method,Most,doxia-sitetools-1.7.3,460,0
Method,Most,doxia-sitetools-1.7.4,460,0
Method,Most,doxia-sitetools-1.7.5,472,0
Method,All,doxia-sitetools-1.1.1,255,2
Method,All,doxia-sitetools-1.1.2,262,0
Method,All,doxia-sitetools-1.1.3,262,0
Method,All,doxia-sitetools-1.1.4,449,8
Method,All,doxia-sitetools-1.7.1,458,0
Method,All,doxia-sitetools-1.7.2,460,0
Method,All,doxia-sitetools-1.7.3,460,0
Method,All,doxia-sitetools-1.7.4,460,0
Method,All,doxia-sitetools-1.7.5,472,0
File,Most,doxia-sitetools-1.1.1,41,2
File,Most,doxia-sitetools-1.1.2,43,0
File,Most,doxia-sitetools-1.1.3,43,0
File,Most,doxia-sitetools-1.1.4,67,1
File,Most,doxia-sitetools-1.7.1,68,0
File,Most,doxia-sitetools-1.7.2,68,0
File,Most,doxia-sitetools-1.7.3,68,0
File,Most,doxia-sitetools-1.7.4,68,0
File,Most,doxia-sitetools-1.7.5,69,0
File,All,doxia-sitetools-1.1.1,41,2
File,All,doxia-sitetools-1.1.2,43,0
File,All,doxia-sitetools-1.1.3,43,0
File,All,doxia-sitetools-1.1.4,66,2
File,All,doxia-sitetools-1.7.1,68,0
File,All,doxia-sitetools-1.7.2,68,0
File,All,doxia-sitetools-1.7.3,68,0
File,All,doxia-sitetools-1.7.4,68,0
File,All,doxia-sitetools-1.7.5,69,0
