granularity,buggedType,version_name,valid,bug
Method,Most,0.8.0,790,2
Method,Most,0.8.1,821,0
Method,Most,0.8.1.0,949,2
Method,Most,0.8.1.1,1413,6
Method,Most,0.8.2.0,1559,1
Method,Most,0.8.2.1,2832,17
Method,Most,0.8.2.2,5036,93
Method,Most,0.9.0.0,5917,112
Method,Most,0.9.0.1,7150,171
Method,Most,0.10.0.0,7757,108
Method,Most,0.10.0.1,8694,91
Method,Most,0.10.1.0,9287,60
Method,Most,0.10.1.1,11116,100
Method,Most,0.10.2.0,12171,137
Method,Most,0.10.2.1,14281,185
Method,Most,0.11.0.0,15874,105
Method,Most,0.11.0.1,17112,174
Method,Most,1.0.0,17531,10
Method,Most,0.11.0.2,18924,140
Method,Most,1.0.1,19318,9
Method,Most,1.1.0,21243,81
Method,Most,0.10.2.2,21335,4
Method,Most,1.0.2,21361,3
Method,Most,1.1.1,21402,9
Method,Most,2.0.0,22414,64
Method,Most,2.0.1,22597,7
Method,All,0.8.0,781,11
Method,All,0.8.1,821,0
Method,All,0.8.1.0,949,2
Method,All,0.8.1.1,1357,62
Method,All,0.8.2.0,1558,2
Method,All,0.8.2.1,2570,279
Method,All,0.8.2.2,4141,988
Method,All,0.9.0.0,5176,853
Method,All,0.9.0.1,6094,1227
Method,All,0.10.0.0,7556,309
Method,All,0.10.0.1,8341,444
Method,All,0.10.1.0,8926,421
Method,All,0.10.1.1,9896,1320
Method,All,0.10.2.0,11005,1303
Method,All,0.10.2.1,12868,1598
Method,All,0.11.0.0,15034,945
Method,All,0.11.0.1,16366,920
Method,All,1.0.0,17150,391
Method,All,0.11.0.2,18005,1059
Method,All,1.0.1,19142,185
Method,All,1.1.0,20347,977
Method,All,0.10.2.2,21335,4
Method,All,1.0.2,21347,17
Method,All,1.1.1,21329,82
Method,All,2.0.0,21978,500
Method,All,2.0.1,22600,4
File,Most,0.8.0,258,2
File,Most,0.8.1,260,0
File,Most,0.8.1.0,264,2
File,Most,0.8.1.1,323,4
File,Most,0.8.2.0,339,1
File,Most,0.8.2.1,493,16
File,Most,0.8.2.2,838,59
File,Most,0.9.0.0,963,71
File,Most,0.9.0.1,1071,98
File,Most,0.10.0.0,1159,61
File,Most,0.10.0.1,1225,50
File,Most,0.10.1.0,1261,45
File,Most,0.10.1.1,1408,65
File,Most,0.10.2.0,1488,80
File,Most,0.10.2.1,1646,96
File,Most,0.11.0.0,1819,52
File,Most,0.11.0.1,1920,68
File,Most,1.0.0,2014,13
File,Most,0.11.0.2,2059,81
File,Most,1.0.1,2157,6
File,Most,1.1.0,2374,51
File,Most,0.10.2.2,2422,3
File,Most,1.0.2,2422,3
File,Most,1.1.1,2417,7
File,Most,2.0.0,2456,45
File,Most,2.0.1,2501,4
File,All,0.8.0,254,6
File,All,0.8.1,260,0
File,All,0.8.1.0,264,2
File,All,0.8.1.1,315,12
File,All,0.8.2.0,338,2
File,All,0.8.2.1,425,84
File,All,0.8.2.2,604,293
File,All,0.9.0.0,785,249
File,All,0.9.0.1,860,309
File,All,0.10.0.0,1113,107
File,All,0.10.0.1,1166,109
File,All,0.10.1.0,1171,135
File,All,0.10.1.1,1188,285
File,All,0.10.2.0,775,793
File,All,0.10.2.1,1346,396
File,All,0.11.0.0,1685,186
File,All,0.11.0.1,1734,254
File,All,1.0.0,1930,97
File,All,0.11.0.2,1873,267
File,All,1.0.1,2113,50
File,All,1.1.0,2126,299
File,All,0.10.2.2,2422,3
File,All,1.0.2,2411,14
File,All,1.1.1,2397,27
File,All,2.0.0,2316,185
File,All,2.0.1,2500,5
