granularity,buggedType,version_name,valid,bug
Method,Most,maven-dependency-plugin-2.5.1,1398,1
Method,Most,maven-dependency-plugin-2.10,1554,1
Method,Most,maven-dependency-plugin-3.0.0,1608,0
Method,Most,maven-dependency-plugin-3.0.1,1760,1
Method,Most,maven-dependency-plugin-3.0.2,1769,3
Method,Most,maven-dependency-plugin-3.1.0,1772,0
Method,All,maven-dependency-plugin-2.5.1,1395,4
Method,All,maven-dependency-plugin-2.10,1548,7
Method,All,maven-dependency-plugin-3.0.0,1608,0
Method,All,maven-dependency-plugin-3.0.1,1706,55
Method,All,maven-dependency-plugin-3.0.2,1770,2
Method,All,maven-dependency-plugin-3.1.0,1772,0
File,Most,maven-dependency-plugin-2.5.1,144,4
File,Most,maven-dependency-plugin-2.10,232,2
File,Most,maven-dependency-plugin-3.0.0,234,0
File,Most,maven-dependency-plugin-3.0.1,236,1
File,Most,maven-dependency-plugin-3.0.2,238,2
File,Most,maven-dependency-plugin-3.1.0,240,0
File,All,maven-dependency-plugin-2.5.1,139,9
File,All,maven-dependency-plugin-2.10,228,6
File,All,maven-dependency-plugin-3.0.0,234,0
File,All,maven-dependency-plugin-3.0.1,193,44
File,All,maven-dependency-plugin-3.0.2,236,4
File,All,maven-dependency-plugin-3.1.0,240,0
