granularity,buggedType,version_name,valid,bug
Method,Most,maven-ear-plugin-2.3.1,319,3
Method,Most,maven-ear-plugin-2.3.2,337,9
Method,Most,maven-ear-plugin-2.4.1,356,0
Method,Most,maven-ear-plugin-2.4.2,475,5
Method,Most,maven-ear-plugin-2.9.1,513,1
Method,Most,maven-ear-plugin-2.10,516,0
Method,Most,maven-ear-plugin-2.10.1,950,2
Method,Most,maven-ear-plugin-3.0.0,952,0
Method,All,maven-ear-plugin-2.3.1,313,9
Method,All,maven-ear-plugin-2.3.2,329,17
Method,All,maven-ear-plugin-2.4.1,356,0
Method,All,maven-ear-plugin-2.4.2,465,15
Method,All,maven-ear-plugin-2.9.1,502,12
Method,All,maven-ear-plugin-2.10,516,0
Method,All,maven-ear-plugin-2.10.1,945,7
Method,All,maven-ear-plugin-3.0.0,952,0
File,Most,maven-ear-plugin-2.3.1,42,2
File,Most,maven-ear-plugin-2.3.2,41,6
File,Most,maven-ear-plugin-2.4.1,47,0
File,Most,maven-ear-plugin-2.4.2,60,4
File,Most,maven-ear-plugin-2.9.1,70,1
File,Most,maven-ear-plugin-2.10,71,0
File,Most,maven-ear-plugin-2.10.1,115,2
File,Most,maven-ear-plugin-3.0.0,117,0
File,All,maven-ear-plugin-2.3.1,40,4
File,All,maven-ear-plugin-2.3.2,38,9
File,All,maven-ear-plugin-2.4.1,47,0
File,All,maven-ear-plugin-2.4.2,54,10
File,All,maven-ear-plugin-2.9.1,61,10
File,All,maven-ear-plugin-2.10,71,0
File,All,maven-ear-plugin-2.10.1,114,3
File,All,maven-ear-plugin-3.0.0,117,0
