granularity,buggedType,version_name,valid,bug
Method,Most,maven-project-info-reports-plugin-2.0.1,461,19
Method,Most,maven-project-info-reports-plugin-2.1.1,480,0
Method,Most,maven-project-info-reports-plugin-2.1.2,555,5
Method,Most,maven-project-info-reports-plugin-2.3.1,571,3
Method,Most,maven-project-info-reports-plugin-2.5.1,652,5
Method,Most,maven-project-info-reports-plugin-2.8.1,718,7
Method,All,maven-project-info-reports-plugin-2.0.1,435,45
Method,All,maven-project-info-reports-plugin-2.1.1,480,0
Method,All,maven-project-info-reports-plugin-2.1.2,477,83
Method,All,maven-project-info-reports-plugin-2.3.1,553,21
Method,All,maven-project-info-reports-plugin-2.5.1,643,14
Method,All,maven-project-info-reports-plugin-2.8.1,660,65
File,Most,maven-project-info-reports-plugin-2.0.1,46,8
File,Most,maven-project-info-reports-plugin-2.1.1,54,0
File,Most,maven-project-info-reports-plugin-2.1.2,56,4
File,Most,maven-project-info-reports-plugin-2.3.1,58,3
File,Most,maven-project-info-reports-plugin-2.5.1,60,5
File,Most,maven-project-info-reports-plugin-2.8.1,81,4
File,All,maven-project-info-reports-plugin-2.0.1,43,11
File,All,maven-project-info-reports-plugin-2.1.1,54,0
File,All,maven-project-info-reports-plugin-2.1.2,42,18
File,All,maven-project-info-reports-plugin-2.3.1,42,19
File,All,maven-project-info-reports-plugin-2.5.1,59,6
File,All,maven-project-info-reports-plugin-2.8.1,67,18
