granularity,buggedType,version_name,valid,bug
Method,Most,maven-plugin-testing-3.0.0,465,0
Method,Most,maven-plugin-testing-3.1.0,465,3
Method,Most,maven-plugin-testing-3.2.0,468,1
Method,All,maven-plugin-testing-3.0.0,465,0
Method,All,maven-plugin-testing-3.1.0,468,0
Method,All,maven-plugin-testing-3.2.0,469,0
File,Most,maven-plugin-testing-3.0.0,37,0
File,Most,maven-plugin-testing-3.1.0,38,0
File,Most,maven-plugin-testing-3.2.0,39,0
File,All,maven-plugin-testing-3.0.0,37,0
File,All,maven-plugin-testing-3.1.0,38,0
File,All,maven-plugin-testing-3.2.0,39,0
