granularity,buggedType,version_name,valid,bug
Method,Most,maven-resources-plugin-2.4.1,157,0
Method,Most,maven-resources-plugin-2.4.2,157,0
Method,Most,maven-resources-plugin-2.4.3,176,0
Method,Most,maven-resources-plugin-3.0.0,176,0
Method,Most,maven-resources-plugin-3.0.1,176,0
Method,Most,maven-resources-plugin-3.0.2,176,0
Method,All,maven-resources-plugin-2.4.1,157,0
Method,All,maven-resources-plugin-2.4.2,157,0
Method,All,maven-resources-plugin-2.4.3,176,0
Method,All,maven-resources-plugin-3.0.0,176,0
Method,All,maven-resources-plugin-3.0.1,176,0
Method,All,maven-resources-plugin-3.0.2,176,0
File,Most,maven-resources-plugin-2.4.1,20,0
File,Most,maven-resources-plugin-2.4.2,20,0
File,Most,maven-resources-plugin-2.4.3,33,0
File,Most,maven-resources-plugin-3.0.0,33,0
File,Most,maven-resources-plugin-3.0.1,33,0
File,Most,maven-resources-plugin-3.0.2,33,0
File,All,maven-resources-plugin-2.4.1,20,0
File,All,maven-resources-plugin-2.4.2,20,0
File,All,maven-resources-plugin-2.4.3,33,0
File,All,maven-resources-plugin-3.0.0,33,0
File,All,maven-resources-plugin-3.0.1,33,0
File,All,maven-resources-plugin-3.0.2,33,0
