granularity,buggedType,version_name,valid,bug
Method,Most,0.2.1,4530,4
Method,Most,jackrabbit-oak-0.2.1,17166,306
Method,Most,jackrabbit-oak-0.10,18433,153
Method,Most,jackrabbit-oak-0.11,18761,22
Method,Most,jackrabbit-oak-0.12,19137,26
Method,Most,jackrabbit-oak-0.13,19436,33
Method,Most,jackrabbit-oak-0.14,19722,25
Method,Most,jackrabbit-oak-0.15,19936,4
Method,Most,jackrabbit-oak-core-0.15.2,20388,20
Method,Most,jackrabbit-oak-0.16,21038,18
Method,Most,jackrabbit-oak-0.17,21187,10
Method,Most,jackrabbit-oak-0.17.1,21392,31
Method,Most,jackrabbit-oak-0.18,22281,29
Method,Most,jackrabbit-oak-0.19,22982,67
Method,Most,jackrabbit-oak-0.20.0,23287,84
Method,Most,jackrabbit-oak-1.0.0,23770,30
Method,Most,jackrabbit-oak-1.0.1,24039,31
Method,Most,jackrabbit-oak-1.0.2,24172,15
Method,Most,jackrabbit-oak-1.0.3,24374,6
Method,Most,jackrabbit-oak-1.0.4,24556,15
Method,Most,jackrabbit-oak-1.0.5,24837,29
Method,Most,jackrabbit-oak-1.0.6,24985,12
Method,Most,jackrabbit-oak-1.1.0,25041,18
Method,Most,jackrabbit-oak-1.0.7,25098,1
Method,Most,jackrabbit-oak-1.1.1,25623,18
Method,Most,jackrabbit-oak-1.0.8,25725,3
Method,Most,jackrabbit-oak-1.1.2,26149,24
Method,Most,jackrabbit-oak-1.1.3,26431,21
Method,Most,jackrabbit-oak-1.0.9,26462,11
Method,Most,jackrabbit-oak-1.1.4,26764,20
Method,Most,jackrabbit-oak-1.1.5,26877,15
Method,Most,jackrabbit-oak-1.0.10,26895,2
Method,Most,jackrabbit-oak-1.0.11,27055,7
Method,Most,jackrabbit-oak-1.1.6,27594,28
Method,Most,jackrabbit-oak-1.0.12,27631,0
Method,Most,jackrabbit-oak-1.1.7,27921,37
Method,Most,jackrabbit-oak-1.1.8,28116,21
Method,Most,jackrabbit-oak-1.2.0,27847,13
Method,Most,jackrabbit-oak-1.2.1,27898,2
Method,Most,jackrabbit-oak-1.0.13,28066,10
Method,Most,jackrabbit-oak-1.2.2,28199,8
Method,Most,jackrabbit-oak-1.0.14,28692,20
Method,Most,jackrabbit-oak-1.3.0,29777,6
Method,Most,jackrabbit-oak-1.0.15,30234,3
Method,Most,jackrabbit-oak-1.3.1,30281,9
Method,Most,jackrabbit-oak-1.0.16,30324,10
Method,Most,jackrabbit-oak-1.3.2,30425,12
Method,Most,jackrabbit-oak-1.0.17,30768,10
Method,Most,jackrabbit-oak-1.3.3,30778,2
Method,Most,jackrabbit-oak-1.2.3,30865,17
Method,Most,jackrabbit-oak-1.0.18,31438,24
Method,Most,jackrabbit-oak-1.3.4,31474,1
Method,Most,jackrabbit-oak-1.0.19,31475,1
Method,Most,jackrabbit-oak-1.2.4,31722,11
Method,Most,jackrabbit-oak-1.3.5,31897,24
Method,Most,jackrabbit-oak-1.0.20,31921,0
Method,Most,jackrabbit-oak-1.2.5,31921,1
Method,Most,jackrabbit-oak-1.3.6,31957,4
Method,Most,jackrabbit-oak-1.0.21,31961,0
Method,Most,jackrabbit-oak-1.2.6,32377,24
Method,Most,jackrabbit-oak-1.3.7,32447,9
Method,Most,jackrabbit-oak-1.0.22,32523,1
Method,Most,jackrabbit-oak-1.2.7,32715,18
Method,Most,jackrabbit-oak-1.3.8,33184,9
Method,Most,jackrabbit-oak-1.3.9,33227,1
Method,Most,jackrabbit-oak-1.0.23,33462,9
Method,Most,jackrabbit-oak-1.3.10,33622,12
Method,Most,jackrabbit-oak-1.0.24,33645,0
Method,Most,jackrabbit-oak-1.2.8,33705,7
Method,Most,jackrabbit-oak-1.3.11,34045,13
Method,Most,jackrabbit-oak-1.3.12,34058,0
Method,Most,jackrabbit-oak-1.0.25,34148,1
Method,Most,jackrabbit-oak-1.2.9,34325,32
Method,Most,jackrabbit-oak-1.3.13,34725,17
Method,Most,jackrabbit-oak-1.3.14,34741,1
Method,Most,jackrabbit-oak-1.0.26,34749,1
Method,Most,jackrabbit-oak-1.2.10,35049,29
Method,Most,jackrabbit-oak-1.3.15,35134,5
Method,Most,jackrabbit-oak-1.2.11,35139,0
Method,Most,jackrabbit-oak-1.0.27,35198,12
Method,Most,jackrabbit-oak-1.3.16,35392,19
Method,Most,jackrabbit-oak-1.0.28,35431,3
Method,Most,jackrabbit-oak-1.2.12,35442,3
Method,Most,jackrabbit-oak-1.4.0,35662,11
Method,Most,jackrabbit-oak-1.0.29,35673,2
Method,Most,jackrabbit-oak-1.2.13,35674,1
Method,Most,jackrabbit-oak-1.4.1,35675,0
Method,Most,jackrabbit-oak-1.5.0,35757,4
Method,Most,jackrabbit-oak-1.5.1,35939,6
Method,Most,jackrabbit-oak-1.0.30,36017,4
Method,Most,jackrabbit-oak-1.2.14,37727,23
Method,Most,jackrabbit-oak-1.4.2,37871,12
Method,Most,jackrabbit-oak-1.5.2,37921,1
Method,Most,jackrabbit-oak-1.2.15,38584,5
Method,Most,jackrabbit-oak-1.0.31,38601,0
Method,Most,jackrabbit-oak-1.4.3,38881,5
Method,Most,jackrabbit-oak-1.5.3,39146,9
Method,Most,jackrabbit-oak-1.2.16,39415,6
Method,Most,jackrabbit-oak-1.5.4,39421,0
Method,Most,oak-segment-tar-0.0.2,39425,6
Method,Most,jackrabbit-oak-1.4.4,39685,13
Method,Most,jackrabbit-oak-1.5.5,39718,3
Method,Most,jackrabbit-oak-1.2.17,39721,0
Method,Most,jackrabbit-oak-1.0.32,39745,0
Method,Most,oak-segment-tar-0.0.4,39805,1
Method,Most,jackrabbit-oak-1.4.5,39876,6
Method,Most,oak-segment-tar-0.0.6,40054,3
Method,Most,jackrabbit-oak-1.5.6,40195,6
Method,Most,oak-segment-tar-0.0.8,40212,0
Method,Most,jackrabbit-oak-1.5.7,40442,6
Method,Most,jackrabbit-oak-1.4.6,40478,0
Method,Most,jackrabbit-oak-1.2.18,40573,3
Method,Most,jackrabbit-oak-1.5.8,40655,7
Method,Most,jackrabbit-oak-1.0.33,40850,3
Method,Most,oak-segment-tar-0.0.10,41161,9
Method,Most,jackrabbit-oak-1.5.9,41344,10
Method,Most,jackrabbit-oak-1.4.7,41493,3
Method,Most,jackrabbit-oak-1.2.19,41525,1
Method,Most,jackrabbit-oak-1.5.10,41915,1
Method,Most,oak-segment-tar-0.0.12,42280,12
Method,Most,jackrabbit-oak-1.5.11,42322,3
Method,Most,jackrabbit-oak-1.4.8,42324,1
Method,Most,jackrabbit-oak-1.0.34,42394,11
Method,Most,oak-segment-tar-0.0.14,42452,2
Method,Most,jackrabbit-oak-1.5.12,42453,1
Method,Most,jackrabbit-oak-1.2.20,42959,12
Method,Most,oak-segment-tar-0.0.16,42997,2
Method,Most,jackrabbit-oak-1.4.9,43992,30
Method,Most,jackrabbit-oak-1.5.13,44011,6
Method,Most,jackrabbit-oak-1.4.10,44063,3
Method,Most,jackrabbit-oak-1.0.35,44073,3
Method,Most,jackrabbit-oak-1.2.21,44201,8
Method,Most,jackrabbit-oak-1.5.14,44674,33
Method,Most,jackrabbit-oak-1.5.15,44714,2
Method,Most,jackrabbit-oak-1.2.22,44721,1
Method,Most,jackrabbit-oak-1.4.11,44866,12
Method,Most,jackrabbit-oak-1.5.16,44912,14
Method,Most,jackrabbit-oak-1.0.36,44926,0
