granularity,buggedType,version_name,valid,bug
Method,Most,APACHE_ODE_1.1.1,10603,109
Method,Most,APACHE_ODE_1.3.1,10719,4
Method,Most,APACHE_ODE_1.3.2,11372,23
Method,Most,APACHE_ODE_1.3.3,12117,55
Method,Most,APACHE_ODE_1.3.4,12343,8
Method,Most,APACHE_ODE_1.3.5,12213,24
Method,Most,APACHE_ODE_1.3.6,13307,7
Method,Most,APACHE_ODE_1.3.7,13417,8
Method,All,APACHE_ODE_1.1.1,10302,410
Method,All,APACHE_ODE_1.3.1,10718,5
Method,All,APACHE_ODE_1.3.2,11365,30
Method,All,APACHE_ODE_1.3.3,11923,249
Method,All,APACHE_ODE_1.3.4,12291,60
Method,All,APACHE_ODE_1.3.5,12190,47
Method,All,APACHE_ODE_1.3.6,13290,24
Method,All,APACHE_ODE_1.3.7,13397,28
File,Most,APACHE_ODE_1.1.1,1773,69
File,Most,APACHE_ODE_1.3.1,1842,1
File,Most,APACHE_ODE_1.3.2,1869,18
File,Most,APACHE_ODE_1.3.3,2058,43
File,Most,APACHE_ODE_1.3.4,2109,7
File,Most,APACHE_ODE_1.3.5,2052,21
File,Most,APACHE_ODE_1.3.6,2180,8
File,Most,APACHE_ODE_1.3.7,2194,8
File,All,APACHE_ODE_1.1.1,1677,165
File,All,APACHE_ODE_1.3.1,1837,6
File,All,APACHE_ODE_1.3.2,1865,22
File,All,APACHE_ODE_1.3.3,1978,123
File,All,APACHE_ODE_1.3.4,2101,15
File,All,APACHE_ODE_1.3.5,2043,30
File,All,APACHE_ODE_1.3.6,2169,19
File,All,APACHE_ODE_1.3.7,2177,25
