granularity,buggedType,version_name,valid,bug
Method,Most,opennlp-1.6.0,5163,28
Method,Most,opennlp-1.7.0,5414,7
Method,Most,opennlp-1.7.1,5405,21
Method,Most,opennlp-1.7.2,5752,20
Method,Most,opennlp-1.8.0,5960,9
Method,Most,opennlp-1.8.1,5989,5
Method,Most,opennlp-1.8.2,6041,4
Method,Most,opennlp-1.8.3,6087,3
Method,All,opennlp-1.6.0,5062,129
Method,All,opennlp-1.7.0,5360,61
Method,All,opennlp-1.7.1,5205,221
Method,All,opennlp-1.7.2,5610,162
Method,All,opennlp-1.8.0,5921,48
Method,All,opennlp-1.8.1,5986,8
Method,All,opennlp-1.8.2,6034,11
Method,All,opennlp-1.8.3,6088,2
File,Most,opennlp-1.6.0,1250,25
File,Most,opennlp-1.7.0,1274,7
File,Most,opennlp-1.7.1,1257,10
File,Most,opennlp-1.7.2,1308,14
File,Most,opennlp-1.8.0,1378,6
File,Most,opennlp-1.8.1,1384,4
File,Most,opennlp-1.8.2,1396,4
File,Most,opennlp-1.8.3,1405,3
File,All,opennlp-1.6.0,1212,63
File,All,opennlp-1.7.0,1227,54
File,All,opennlp-1.7.1,1221,46
File,All,opennlp-1.7.2,1190,132
File,All,opennlp-1.8.0,1366,18
File,All,opennlp-1.8.1,1383,5
File,All,opennlp-1.8.2,1385,15
File,All,opennlp-1.8.3,1400,8
