granularity,buggedType,version_name,valid,bug
Method,Most,openwebbeans-1.0.0,5473,29
Method,Most,openwebbeans-1.1.0,5676,29
Method,Most,openwebbeans-1.1.1,5763,11
Method,Most,openwebbeans-1.1.3,5780,2
Method,Most,openwebbeans-1.1.2,5724,10
Method,Most,openwebbeans-1.1.4,5732,22
Method,Most,openwebbeans-1.1.5,5941,9
Method,Most,openwebbeans-1.1.6,6145,13
Method,Most,openwebbeans-1.1.7,6917,23
Method,Most,openwebbeans-1.1.8,7271,44
Method,Most,openwebbeans-1.2.0,7526,29
Method,Most,openwebbeans-1.2.1,7867,6
Method,Most,openwebbeans-1.2.2,7917,4
Method,Most,openwebbeans-1.2.3,7933,1
Method,Most,openwebbeans-1.2.4,8105,3
Method,Most,openwebbeans-1.2.5,8104,11
Method,Most,openwebbeans-1.2.6,8461,35
Method,Most,openwebbeans-1.2.7,8648,9
Method,Most,openwebbeans-1.5.0,8657,0
Method,Most,openwebbeans-1.2.8,8663,14
Method,Most,openwebbeans-1.6.0,8675,2
Method,Most,openwebbeans-1.6.1,8679,2
Method,Most,openwebbeans-1.6.2,8750,10
Method,Most,openwebbeans-1.6.3,8685,11
Method,Most,openwebbeans-1.7.0,8739,8
Method,Most,openwebbeans-1.7.1,8748,1
Method,Most,openwebbeans-1.7.2,8760,4
Method,Most,openwebbeans-1.7.3,9106,4
Method,Most,openwebbeans-1.7.4,9112,2
Method,Most,openwebbeans-2.0.0,9148,11
Method,Most,openwebbeans-2.0.1,9168,0
Method,Most,openwebbeans-2.0.2,9175,4
Method,Most,openwebbeans-2.0.3,9179,11
Method,Most,openwebbeans-2.0.4,9212,3
Method,Most,openwebbeans-1.7.5,9219,0
Method,Most,openwebbeans-2.0.5,9252,0
Method,Most,openwebbeans-2.0.6,9260,2
Method,Most,openwebbeans-2.0.7,9291,2
Method,All,openwebbeans-1.0.0,4808,694
Method,All,openwebbeans-1.1.0,5578,127
Method,All,openwebbeans-1.1.1,5294,480
Method,All,openwebbeans-1.1.3,5769,13
Method,All,openwebbeans-1.1.2,5707,27
Method,All,openwebbeans-1.1.4,5568,186
Method,All,openwebbeans-1.1.5,5911,39
Method,All,openwebbeans-1.1.6,6108,50
Method,All,openwebbeans-1.1.7,6415,525
Method,All,openwebbeans-1.1.8,7174,141
Method,All,openwebbeans-1.2.0,7373,182
Method,All,openwebbeans-1.2.1,7809,64
Method,All,openwebbeans-1.2.2,7917,4
Method,All,openwebbeans-1.2.3,7932,2
Method,All,openwebbeans-1.2.4,8038,70
Method,All,openwebbeans-1.2.5,8050,65
Method,All,openwebbeans-1.2.6,8283,213
Method,All,openwebbeans-1.2.7,8539,118
Method,All,openwebbeans-1.5.0,8657,0
Method,All,openwebbeans-1.2.8,8573,104
Method,All,openwebbeans-1.6.0,8674,3
Method,All,openwebbeans-1.6.1,8677,4
Method,All,openwebbeans-1.6.2,8719,41
Method,All,openwebbeans-1.6.3,8662,34
Method,All,openwebbeans-1.7.0,8717,30
Method,All,openwebbeans-1.7.1,8748,1
Method,All,openwebbeans-1.7.2,8749,15
Method,All,openwebbeans-1.7.3,9096,14
Method,All,openwebbeans-1.7.4,9111,3
Method,All,openwebbeans-2.0.0,9123,36
Method,All,openwebbeans-2.0.1,9168,0
Method,All,openwebbeans-2.0.2,9155,24
Method,All,openwebbeans-2.0.3,9167,23
Method,All,openwebbeans-2.0.4,9200,15
Method,All,openwebbeans-1.7.5,9219,0
Method,All,openwebbeans-2.0.5,9252,0
Method,All,openwebbeans-2.0.6,9255,7
Method,All,openwebbeans-2.0.7,9291,2
File,Most,openwebbeans-1.0.0,1339,27
File,Most,openwebbeans-1.1.0,1380,21
File,Most,openwebbeans-1.1.1,1424,7
File,Most,openwebbeans-1.1.3,1432,2
File,Most,openwebbeans-1.1.2,1406,9
File,Most,openwebbeans-1.1.4,1385,13
File,Most,openwebbeans-1.1.5,1424,7
File,Most,openwebbeans-1.1.6,1466,8
File,Most,openwebbeans-1.1.7,1551,15
File,Most,openwebbeans-1.1.8,1571,33
File,Most,openwebbeans-1.2.0,1628,15
File,Most,openwebbeans-1.2.1,1657,8
File,Most,openwebbeans-1.2.2,1674,3
File,Most,openwebbeans-1.2.3,1672,5
File,Most,openwebbeans-1.2.4,1680,3
File,Most,openwebbeans-1.2.5,1675,7
File,Most,openwebbeans-1.2.6,1698,26
File,Most,openwebbeans-1.2.7,1753,6
File,Most,openwebbeans-1.5.0,1759,0
File,Most,openwebbeans-1.2.8,1764,9
File,Most,openwebbeans-1.6.0,1771,2
File,Most,openwebbeans-1.6.1,1774,1
File,Most,openwebbeans-1.6.2,1776,9
File,Most,openwebbeans-1.6.3,1765,6
File,Most,openwebbeans-1.7.0,1771,7
File,Most,openwebbeans-1.7.1,1777,1
File,Most,openwebbeans-1.7.2,1778,4
File,Most,openwebbeans-1.7.3,1811,3
File,Most,openwebbeans-1.7.4,1814,1
File,Most,openwebbeans-2.0.0,1812,9
File,Most,openwebbeans-2.0.1,1825,0
File,Most,openwebbeans-2.0.2,1824,4
File,Most,openwebbeans-2.0.3,1825,5
File,Most,openwebbeans-2.0.4,1831,3
File,Most,openwebbeans-1.7.5,1835,0
File,Most,openwebbeans-2.0.5,1838,0
File,Most,openwebbeans-2.0.6,1846,2
File,Most,openwebbeans-2.0.7,1854,3
File,All,openwebbeans-1.0.0,1217,149
File,All,openwebbeans-1.1.0,1335,66
File,All,openwebbeans-1.1.1,1286,145
File,All,openwebbeans-1.1.3,1427,7
File,All,openwebbeans-1.1.2,1403,12
File,All,openwebbeans-1.1.4,1315,83
File,All,openwebbeans-1.1.5,1420,11
File,All,openwebbeans-1.1.6,1451,23
File,All,openwebbeans-1.1.7,1456,110
File,All,openwebbeans-1.1.8,1541,63
File,All,openwebbeans-1.2.0,1587,56
File,All,openwebbeans-1.2.1,1634,31
File,All,openwebbeans-1.2.2,1674,3
File,All,openwebbeans-1.2.3,1671,6
File,All,openwebbeans-1.2.4,1671,12
File,All,openwebbeans-1.2.5,1652,30
File,All,openwebbeans-1.2.6,1649,75
File,All,openwebbeans-1.2.7,1706,53
File,All,openwebbeans-1.5.0,1759,0
File,All,openwebbeans-1.2.8,1726,47
File,All,openwebbeans-1.6.0,1771,2
File,All,openwebbeans-1.6.1,1773,2
File,All,openwebbeans-1.6.2,1762,23
File,All,openwebbeans-1.6.3,1761,10
File,All,openwebbeans-1.7.0,1765,13
File,All,openwebbeans-1.7.1,1777,1
File,All,openwebbeans-1.7.2,1773,9
File,All,openwebbeans-1.7.3,1808,6
File,All,openwebbeans-1.7.4,1813,2
File,All,openwebbeans-2.0.0,1797,24
File,All,openwebbeans-2.0.1,1825,0
File,All,openwebbeans-2.0.2,1814,14
File,All,openwebbeans-2.0.3,1814,16
File,All,openwebbeans-2.0.4,1829,5
File,All,openwebbeans-1.7.5,1835,0
File,All,openwebbeans-2.0.5,1838,0
File,All,openwebbeans-2.0.6,1846,2
File,All,openwebbeans-2.0.7,1853,4
