granularity,buggedType,version_name,valid,bug
Method,Most,ranger-0.6.2,13068,36
Method,Most,release-0.6.3,13212,21
Method,Most,ranger-0.7.0,13435,60
Method,Most,release-ranger-0.7.1,14182,91
Method,Most,release-ranger-1.0.0,14665,58
Method,Most,release-ranger-1.1.0,15020,19
Method,All,ranger-0.6.2,12877,227
Method,All,release-0.6.3,13097,136
Method,All,ranger-0.7.0,13275,220
Method,All,release-ranger-0.7.1,13831,442
Method,All,release-ranger-1.0.0,14331,392
Method,All,release-ranger-1.1.0,14944,95
File,Most,ranger-0.6.2,1385,26
File,Most,release-0.6.3,1402,15
File,Most,ranger-0.7.0,1389,40
File,Most,release-ranger-0.7.1,1413,61
File,Most,release-ranger-1.0.0,1467,35
File,Most,release-ranger-1.1.0,1502,15
File,All,ranger-0.6.2,1336,75
File,All,release-0.6.3,1373,44
File,All,ranger-0.7.0,1339,90
File,All,release-ranger-0.7.1,1345,129
File,All,release-ranger-1.0.0,1346,156
File,All,release-ranger-1.1.0,1486,31
