granularity,buggedType,version_name,valid,bug
Method,Most,release-1.0.0,625,3
Method,Most,release-1.1.0,3591,104
Method,Most,release-1.4.0,7116,97
Method,Most,release-1.5.1,9786,124
Method,Most,release-1.7.0,11188,67
Method,Most,release-1.8.0,11655,45
Method,Most,release-2.0.0,11696,6
Method,Most,release-1.7.1,11652,64
Method,Most,release-2.0.1,11814,8
Method,All,release-1.0.0,603,25
Method,All,release-1.1.0,3072,623
Method,All,release-1.4.0,6867,346
Method,All,release-1.5.1,9209,701
Method,All,release-1.7.0,10783,472
Method,All,release-1.8.0,11515,185
Method,All,release-2.0.0,11681,21
Method,All,release-1.7.1,11376,340
Method,All,release-2.0.1,11801,21
File,Most,release-1.0.0,201,2
File,Most,release-1.1.0,486,35
File,Most,release-1.4.0,734,48
File,Most,release-1.5.1,1069,58
File,Most,release-1.7.0,1261,38
File,Most,release-1.8.0,1298,25
File,Most,release-2.0.0,1319,4
File,Most,release-1.7.1,1320,114
File,Most,release-2.0.1,1454,6
File,All,release-1.0.0,156,47
File,All,release-1.1.0,452,69
File,All,release-1.4.0,702,80
File,All,release-1.5.1,977,150
File,All,release-1.7.0,1204,95
File,All,release-1.8.0,1258,65
File,All,release-2.0.0,1316,7
File,All,release-1.7.1,1278,156
File,All,release-2.0.1,1449,11
