granularity,buggedType,version_name,valid,bug
Method,Most,4.1.0,28730,0
Method,Most,4.1.1,25419,10
Method,Most,4.1.3,25564,5
Method,Most,4.1.4,25860,14
Method,Most,4.1.5,25932,4
Method,All,4.1.0,28730,0
Method,All,4.1.1,24931,498
Method,All,4.1.3,25373,196
Method,All,4.1.4,25827,47
Method,All,4.1.5,25874,62
File,Most,4.1.0,4500,0
File,Most,4.1.1,3937,4
File,Most,4.1.3,3954,3
File,Most,4.1.4,3997,9
File,Most,4.1.5,4009,4
File,All,4.1.0,4500,0
File,All,4.1.1,3853,88
File,All,4.1.3,3929,28
File,All,4.1.4,3990,16
File,All,4.1.5,3996,17
