granularity,buggedType,version_name,valid,bug
Method,Most,surefire-1.5.1,982,7
Method,Most,surefire-1.5.2,989,0
Method,Most,surefire-booter-1.5.2,1389,2
Method,Most,surefire-1.5.3,1391,0
Method,Most,surefire-booter-1.5.3,2153,9
Method,Most,surefire-2.3.1,2239,2
Method,Most,surefire-2.4.1,2234,1
Method,Most,surefire-2.4.2,2329,1
Method,Most,surefire-2.4.3,3865,5
Method,Most,surefire-2.7.1,4150,4
Method,Most,surefire-2.7.2,4472,13
Method,Most,surefire-2.8.1,4980,2
Method,Most,surefire-2.10,5240,0
Method,Most,surefire-2.11,5789,3
Method,Most,surefire-2.12,5915,2
Method,Most,surefire-2.12.1,6036,0
Method,Most,surefire-2.12.2,6276,0
Method,Most,surefire-2.12.3,6298,0
Method,Most,surefire-2.12.4,6574,1
Method,Most,surefire-2.13,6821,1
Method,Most,surefire-2.14,6859,0
Method,Most,surefire-2.14.1,6983,1
Method,Most,surefire-2.15,7261,2
Method,Most,surefire-2.16,7542,5
Method,Most,surefire-2.17,7805,7
Method,Most,surefire-2.18,7893,0
Method,Most,surefire-2.18.1,8792,14
Method,Most,surefire-2.19,9000,2
Method,Most,surefire-2.19.1,9301,10
Method,Most,surefire-2.20,9548,3
Method,Most,surefire-2.20.1,9937,3
Method,Most,surefire-2.21.0,10304,0
Method,Most,surefire-2.22.0,10406,1
Method,All,surefire-1.5.1,976,13
Method,All,surefire-1.5.2,989,0
Method,All,surefire-booter-1.5.2,1389,2
Method,All,surefire-1.5.3,1391,0
Method,All,surefire-booter-1.5.3,2132,30
Method,All,surefire-2.3.1,2236,5
Method,All,surefire-2.4.1,2232,3
Method,All,surefire-2.4.2,2328,2
Method,All,surefire-2.4.3,3864,6
Method,All,surefire-2.7.1,4136,18
Method,All,surefire-2.7.2,4456,29
Method,All,surefire-2.8.1,4977,5
Method,All,surefire-2.10,5240,0
Method,All,surefire-2.11,5763,29
Method,All,surefire-2.12,5917,0
Method,All,surefire-2.12.1,6036,0
Method,All,surefire-2.12.2,6276,0
Method,All,surefire-2.12.3,6298,0
Method,All,surefire-2.12.4,6572,3
Method,All,surefire-2.13,6822,0
Method,All,surefire-2.14,6859,0
Method,All,surefire-2.14.1,6966,18
Method,All,surefire-2.15,7252,11
Method,All,surefire-2.16,7545,2
Method,All,surefire-2.17,7802,10
Method,All,surefire-2.18,7893,0
Method,All,surefire-2.18.1,8792,14
Method,All,surefire-2.19,8984,18
Method,All,surefire-2.19.1,9308,3
Method,All,surefire-2.20,9547,4
Method,All,surefire-2.20.1,9926,14
Method,All,surefire-2.21.0,10304,0
Method,All,surefire-2.22.0,10407,0
File,Most,surefire-1.5.1,173,5
File,Most,surefire-1.5.2,178,0
File,Most,surefire-booter-1.5.2,221,2
File,Most,surefire-1.5.3,223,0
File,Most,surefire-booter-1.5.3,401,5
File,Most,surefire-2.3.1,425,2
File,Most,surefire-2.4.1,424,1
File,Most,surefire-2.4.2,429,1
File,Most,surefire-2.4.3,671,2
File,Most,surefire-2.7.1,730,1
File,Most,surefire-2.7.2,791,3
File,Most,surefire-2.8.1,854,3
File,Most,surefire-2.10,903,0
File,Most,surefire-2.11,1051,1
File,Most,surefire-2.12,1087,0
File,Most,surefire-2.12.1,1099,0
File,Most,surefire-2.12.2,1112,0
File,Most,surefire-2.12.3,1120,0
File,Most,surefire-2.12.4,1162,1
File,Most,surefire-2.13,1197,0
File,Most,surefire-2.14,1208,0
File,Most,surefire-2.14.1,1232,1
File,Most,surefire-2.15,1261,1
File,Most,surefire-2.16,1293,2
File,Most,surefire-2.17,1339,5
File,Most,surefire-2.18,1366,0
File,Most,surefire-2.18.1,1505,2
File,Most,surefire-2.19,1534,2
File,Most,surefire-2.19.1,1591,6
File,Most,surefire-2.20,1626,3
File,Most,surefire-2.20.1,1658,4
File,Most,surefire-2.21.0,1710,0
File,Most,surefire-2.22.0,1729,0
File,All,surefire-1.5.1,172,6
File,All,surefire-1.5.2,178,0
File,All,surefire-booter-1.5.2,221,2
File,All,surefire-1.5.3,223,0
File,All,surefire-booter-1.5.3,398,8
File,All,surefire-2.3.1,424,3
File,All,surefire-2.4.1,423,2
File,All,surefire-2.4.2,429,1
File,All,surefire-2.4.3,671,2
File,All,surefire-2.7.1,714,17
File,All,surefire-2.7.2,781,13
File,All,surefire-2.8.1,855,2
File,All,surefire-2.10,903,0
File,All,surefire-2.11,1042,10
File,All,surefire-2.12,1087,0
File,All,surefire-2.12.1,1099,0
File,All,surefire-2.12.2,1112,0
File,All,surefire-2.12.3,1120,0
File,All,surefire-2.12.4,1162,1
File,All,surefire-2.13,1197,0
File,All,surefire-2.14,1208,0
File,All,surefire-2.14.1,1228,5
File,All,surefire-2.15,1259,3
File,All,surefire-2.16,1293,2
File,All,surefire-2.17,1339,5
File,All,surefire-2.18,1366,0
File,All,surefire-2.18.1,1498,9
File,All,surefire-2.19,1531,5
File,All,surefire-2.19.1,1592,5
File,All,surefire-2.20,1624,5
File,All,surefire-2.20.1,1654,8
File,All,surefire-2.21.0,1710,0
File,All,surefire-2.22.0,1729,0
