granularity,buggedType,version_name,valid,bug
Method,Most,syncope-0.1.4,6464,0
Method,Most,syncope-0.1.5,6464,0
Method,Most,syncope-0.1.6,6464,0
Method,Most,syncope-0.2.1,6464,0
Method,Most,syncope-0.2.2,6464,0
Method,Most,syncope-0.2.3,6464,0
Method,Most,syncope-0.4.1,6464,0
Method,Most,syncope-0.4.2,6464,0
Method,Most,syncope-0.4.3,6464,0
Method,Most,syncope-0.5.1,6464,0
Method,Most,syncope-0.5.2,6464,0
Method,Most,syncope-0.6.1,6464,0
Method,Most,syncope-0.7.1,6464,0
Method,Most,syncope-archetype-0.5.1,6464,0
Method,Most,syncope-archetype-0.5.2,6464,0
Method,Most,syncope-archetype-0.5.5,6464,0
Method,Most,syncope-archetype-0.5.7,6464,0
Method,Most,syncope-archetype-0.5.8,6464,0
Method,Most,syncope-archetype-0.6.1,6464,0
Method,Most,syncope-archetype-0.6.2,6464,0
Method,Most,syncope-archetype-0.6.3,6464,0
Method,Most,syncope-archetype-0.6.4,6464,0
Method,Most,syncope-archetype-0.7.1,6603,1
Method,Most,syncope-1.0.4,8089,4
Method,Most,syncope-1.0.5,8664,14
Method,Most,syncope-1.0.6,8856,6
Method,Most,syncope-1.0.7,8916,1
Method,Most,syncope-1.1.0,8918,4
Method,Most,syncope-1.0.8,8948,5
Method,Most,syncope-1.1.1,8985,1
Method,Most,syncope-1.1.2,8980,46
Method,Most,syncope-1.1.3,9046,0
Method,Most,syncope-1.1.4,9677,4
Method,Most,syncope-1.1.5,9940,29
Method,Most,syncope-1.1.6,9977,0
Method,Most,syncope-1.0.9,9977,0
Method,Most,syncope-1.1.7,10430,2
Method,Most,syncope-1.1.8,10707,9
Method,Most,syncope-1.2.0,10737,14
Method,Most,syncope-1.2.1,14667,2
Method,Most,syncope-1.2.2,11897,10
Method,Most,syncope-1.2.3,14205,9
Method,Most,syncope-1.2.4,16073,5
Method,Most,syncope-1.2.5,18327,3
Method,Most,syncope-1.2.6,19158,1
Method,Most,syncope-1.2.7,21882,6
Method,Most,syncope-1.2.8,22789,13
Method,Most,syncope-2.0.0,22831,0
Method,Most,syncope-1.2.9,22832,0
Method,Most,syncope-2.0.1,23011,4
Method,Most,syncope-1.2.10,23016,1
Method,Most,syncope-2.0.2,23637,0
Method,Most,syncope-2.0.3,24217,3
Method,Most,syncope-2.0.4,24957,11
Method,Most,syncope-2.0.5,25116,0
Method,Most,syncope-2.0.6,25812,90
Method,Most,syncope-2.0.7,26039,3
Method,Most,syncope-1.2.11,26042,0
Method,Most,syncope-2.0.8,27076,5
Method,Most,syncope-2.0.9,27083,1
Method,Most,syncope-2.1.0,27343,8
Method,Most,syncope-2.1.1,27351,0
Method,Most,syncope-2.0.10,27702,2
Method,Most,syncope-2.1.2,27704,0
Method,All,syncope-0.1.4,6464,0
Method,All,syncope-0.1.5,6464,0
Method,All,syncope-0.1.6,6464,0
Method,All,syncope-0.2.1,6464,0
Method,All,syncope-0.2.2,6464,0
Method,All,syncope-0.2.3,6464,0
Method,All,syncope-0.4.1,6464,0
Method,All,syncope-0.4.2,6464,0
Method,All,syncope-0.4.3,6464,0
Method,All,syncope-0.5.1,6464,0
Method,All,syncope-0.5.2,6464,0
Method,All,syncope-0.6.1,6464,0
Method,All,syncope-0.7.1,6464,0
Method,All,syncope-archetype-0.5.1,6464,0
Method,All,syncope-archetype-0.5.2,6464,0
Method,All,syncope-archetype-0.5.5,6464,0
Method,All,syncope-archetype-0.5.7,6464,0
Method,All,syncope-archetype-0.5.8,6464,0
Method,All,syncope-archetype-0.6.1,6464,0
Method,All,syncope-archetype-0.6.2,6464,0
Method,All,syncope-archetype-0.6.3,6464,0
Method,All,syncope-archetype-0.6.4,6464,0
Method,All,syncope-archetype-0.7.1,6565,39
Method,All,syncope-1.0.4,8034,59
Method,All,syncope-1.0.5,8389,289
Method,All,syncope-1.0.6,8745,117
Method,All,syncope-1.0.7,8892,25
Method,All,syncope-1.1.0,8912,10
Method,All,syncope-1.0.8,8924,29
Method,All,syncope-1.1.1,8831,155
Method,All,syncope-1.1.2,9015,11
Method,All,syncope-1.1.3,9044,2
Method,All,syncope-1.1.4,9407,274
Method,All,syncope-1.1.5,9850,119
Method,All,syncope-1.1.6,9977,0
Method,All,syncope-1.0.9,9977,0
Method,All,syncope-1.1.7,10425,7
Method,All,syncope-1.1.8,10703,13
Method,All,syncope-1.2.0,10744,7
Method,All,syncope-1.2.1,14519,150
Method,All,syncope-1.2.2,11907,0
Method,All,syncope-1.2.3,14211,3
Method,All,syncope-1.2.4,16035,43
Method,All,syncope-1.2.5,18328,2
Method,All,syncope-1.2.6,19073,86
Method,All,syncope-1.2.7,21863,25
Method,All,syncope-1.2.8,22742,60
Method,All,syncope-2.0.0,22831,0
Method,All,syncope-1.2.9,22832,0
Method,All,syncope-2.0.1,22991,24
Method,All,syncope-1.2.10,23017,0
Method,All,syncope-2.0.2,23637,0
Method,All,syncope-2.0.3,24175,45
Method,All,syncope-2.0.4,23962,1006
Method,All,syncope-2.0.5,25116,0
Method,All,syncope-2.0.6,25897,5
Method,All,syncope-2.0.7,26009,33
Method,All,syncope-1.2.11,26042,0
Method,All,syncope-2.0.8,26904,177
Method,All,syncope-2.0.9,27069,15
Method,All,syncope-2.1.0,27333,18
Method,All,syncope-2.1.1,27351,0
Method,All,syncope-2.0.10,27677,27
Method,All,syncope-2.1.2,27704,0
File,Most,syncope-0.1.4,932,0
File,Most,syncope-0.1.5,932,0
File,Most,syncope-0.1.6,932,0
File,Most,syncope-0.2.1,932,0
File,Most,syncope-0.2.2,932,0
File,Most,syncope-0.2.3,932,0
File,Most,syncope-0.4.1,932,0
File,Most,syncope-0.4.2,932,0
File,Most,syncope-0.4.3,932,0
File,Most,syncope-0.5.1,932,0
File,Most,syncope-0.5.2,932,0
File,Most,syncope-0.6.1,932,0
File,Most,syncope-0.7.1,932,0
File,Most,syncope-archetype-0.5.1,932,0
File,Most,syncope-archetype-0.5.2,932,0
File,Most,syncope-archetype-0.5.5,932,0
File,Most,syncope-archetype-0.5.7,932,0
File,Most,syncope-archetype-0.5.8,932,0
File,Most,syncope-archetype-0.6.1,932,0
File,Most,syncope-archetype-0.6.2,932,0
File,Most,syncope-archetype-0.6.3,932,0
File,Most,syncope-archetype-0.6.4,932,0
File,Most,syncope-archetype-0.7.1,942,1
File,Most,syncope-1.0.4,1194,4
File,Most,syncope-1.0.5,1246,9
File,Most,syncope-1.0.6,1266,5
File,Most,syncope-1.0.7,1279,1
File,Most,syncope-1.1.0,1280,1
File,Most,syncope-1.0.8,1279,3
File,Most,syncope-1.1.1,1284,2
File,Most,syncope-1.1.2,1285,5
File,Most,syncope-1.1.3,1275,0
File,Most,syncope-1.1.4,1327,5
File,Most,syncope-1.1.5,1372,6
File,Most,syncope-1.1.6,1381,0
File,Most,syncope-1.0.9,1381,0
File,Most,syncope-1.1.7,1461,3
File,Most,syncope-1.1.8,1498,3
File,Most,syncope-1.2.0,1503,4
File,Most,syncope-1.2.1,2384,3
File,Most,syncope-1.2.2,1803,1
File,Most,syncope-1.2.3,2475,1
File,Most,syncope-1.2.4,2818,2
File,Most,syncope-1.2.5,3231,11
File,Most,syncope-1.2.6,3299,1
File,Most,syncope-1.2.7,3831,5
File,Most,syncope-1.2.8,3915,9
File,Most,syncope-2.0.0,3935,0
File,Most,syncope-1.2.9,3935,0
File,Most,syncope-2.0.1,3957,4
File,Most,syncope-1.2.10,3961,0
File,Most,syncope-2.0.2,4069,0
File,Most,syncope-2.0.3,4146,3
File,Most,syncope-2.0.4,4233,7
File,Most,syncope-2.0.5,4256,0
File,Most,syncope-2.0.6,4354,16
File,Most,syncope-2.0.7,4390,1
File,Most,syncope-1.2.11,4391,0
File,Most,syncope-2.0.8,4563,4
File,Most,syncope-2.0.9,4566,1
File,Most,syncope-2.1.0,4591,2
File,Most,syncope-2.1.1,4593,0
File,Most,syncope-2.0.10,4683,2
File,Most,syncope-2.1.2,4685,0
File,All,syncope-0.1.4,932,0
File,All,syncope-0.1.5,932,0
File,All,syncope-0.1.6,932,0
File,All,syncope-0.2.1,932,0
File,All,syncope-0.2.2,932,0
File,All,syncope-0.2.3,932,0
File,All,syncope-0.4.1,932,0
File,All,syncope-0.4.2,932,0
File,All,syncope-0.4.3,932,0
File,All,syncope-0.5.1,932,0
File,All,syncope-0.5.2,932,0
File,All,syncope-0.6.1,932,0
File,All,syncope-0.7.1,932,0
File,All,syncope-archetype-0.5.1,932,0
File,All,syncope-archetype-0.5.2,932,0
File,All,syncope-archetype-0.5.5,932,0
File,All,syncope-archetype-0.5.7,932,0
File,All,syncope-archetype-0.5.8,932,0
File,All,syncope-archetype-0.6.1,932,0
File,All,syncope-archetype-0.6.2,932,0
File,All,syncope-archetype-0.6.3,932,0
File,All,syncope-archetype-0.6.4,932,0
File,All,syncope-archetype-0.7.1,928,15
File,All,syncope-1.0.4,1172,26
File,All,syncope-1.0.5,1168,87
File,All,syncope-1.0.6,1237,34
File,All,syncope-1.0.7,1269,11
File,All,syncope-1.1.0,1274,7
File,All,syncope-1.0.8,1257,25
File,All,syncope-1.1.1,1201,85
File,All,syncope-1.1.2,1279,11
File,All,syncope-1.1.3,1273,2
File,All,syncope-1.1.4,1262,70
File,All,syncope-1.1.5,1342,36
File,All,syncope-1.1.6,1381,0
File,All,syncope-1.0.9,1381,0
File,All,syncope-1.1.7,1461,3
File,All,syncope-1.1.8,1492,9
File,All,syncope-1.2.0,1503,4
File,All,syncope-1.2.1,2335,52
File,All,syncope-1.2.2,1804,0
File,All,syncope-1.2.3,2473,3
File,All,syncope-1.2.4,2807,13
File,All,syncope-1.2.5,3237,5
File,All,syncope-1.2.6,3271,29
File,All,syncope-1.2.7,3817,19
File,All,syncope-1.2.8,3899,25
File,All,syncope-2.0.0,3935,0
File,All,syncope-1.2.9,3935,0
File,All,syncope-2.0.1,3947,14
File,All,syncope-1.2.10,3961,0
File,All,syncope-2.0.2,4069,0
File,All,syncope-2.0.3,4138,11
File,All,syncope-2.0.4,3861,379
File,All,syncope-2.0.5,4256,0
File,All,syncope-2.0.6,4366,4
File,All,syncope-2.0.7,4365,26
File,All,syncope-1.2.11,4391,0
File,All,syncope-2.0.8,4474,93
File,All,syncope-2.0.9,4555,12
File,All,syncope-2.1.0,4579,14
File,All,syncope-2.1.1,4593,0
File,All,syncope-2.0.10,4680,5
File,All,syncope-2.1.2,4685,0
