granularity,buggedType,version_name,valid,bug
Method,Most,v0.8.0,2736,0
Method,Most,v0.9.0,2846,7
Method,Most,v0.10.0,2902,8
Method,Most,v0.11.0,2959,1
Method,Most,v0.12.0,2985,3
Method,Most,v0.12.1,2988,0
Method,All,v0.8.0,2736,0
Method,All,v0.9.0,2815,38
Method,All,v0.10.0,2819,91
Method,All,v0.11.0,2956,4
Method,All,v0.12.0,2951,37
Method,All,v0.12.1,2988,0
File,Most,v0.8.0,499,0
File,Most,v0.9.0,505,5
File,Most,v0.10.0,510,7
File,Most,v0.11.0,519,1
File,Most,v0.12.0,521,2
File,Most,v0.12.1,523,0
File,All,v0.8.0,499,0
File,All,v0.9.0,497,13
File,All,v0.10.0,494,23
File,All,v0.11.0,518,2
File,All,v0.12.0,502,21
File,All,v0.12.1,523,0
