granularity,buggedType,version_name,valid,bug
Method,Most,portal-2.0.5,11703,0
Method,Most,portal-2.0.6,11703,0
Method,Most,portal-2.0.7,13180,4
Method,Most,portal-2.0.8,13201,1
Method,Most,v0.9.10,13204,1
Method,Most,portal-2.0.9,13215,0
Method,Most,portal-2.0.10,13438,3
Method,Most,portal-2.0.11,13444,2
Method,Most,portal-2.0.12,13457,1
Method,Most,portal-2.0.13,13604,7
Method,Most,portal-2.0.14,13634,0
Method,Most,portal-2.0.15,13667,1
Method,Most,portal-2.0.16,15204,3
Method,Most,1.0.0,15207,0
Method,Most,usergrid-1.0.0,17320,4
Method,Most,1.0.1,17324,0
Method,Most,usergrid-1.0.1,17557,0
Method,Most,usergrid-006,18553,5
Method,Most,1.0.2,18558,0
Method,Most,usergrid-1.0.2,19159,13
Method,All,portal-2.0.5,11703,0
Method,All,portal-2.0.6,11703,0
Method,All,portal-2.0.7,13124,60
Method,All,portal-2.0.8,13189,13
Method,All,v0.9.10,13204,1
Method,All,portal-2.0.9,13215,0
Method,All,portal-2.0.10,13408,33
Method,All,portal-2.0.11,13374,72
Method,All,portal-2.0.12,13455,3
Method,All,portal-2.0.13,13607,4
Method,All,portal-2.0.14,13634,0
Method,All,portal-2.0.15,13659,9
Method,All,portal-2.0.16,15195,12
Method,All,1.0.0,15207,0
Method,All,usergrid-1.0.0,17320,4
Method,All,1.0.1,17324,0
Method,All,usergrid-1.0.1,17557,0
Method,All,usergrid-006,18551,7
Method,All,1.0.2,18558,0
Method,All,usergrid-1.0.2,19131,41
File,Most,portal-2.0.5,1796,0
File,Most,portal-2.0.6,1796,0
File,Most,portal-2.0.7,2135,3
File,Most,portal-2.0.8,2138,1
File,Most,v0.9.10,2137,2
File,Most,portal-2.0.9,2140,0
File,Most,portal-2.0.10,2129,1
File,Most,portal-2.0.11,2129,1
File,Most,portal-2.0.12,2129,1
File,Most,portal-2.0.13,2156,2
File,Most,portal-2.0.14,2160,0
File,Most,portal-2.0.15,2144,1
File,Most,portal-2.0.16,2298,3
File,Most,1.0.0,2301,0
File,Most,usergrid-1.0.0,2584,2
File,Most,1.0.1,2586,0
File,Most,usergrid-1.0.1,2569,0
File,Most,usergrid-006,2839,4
File,Most,1.0.2,2843,0
File,Most,usergrid-1.0.2,2956,10
File,All,portal-2.0.5,1796,0
File,All,portal-2.0.6,1796,0
File,All,portal-2.0.7,2128,10
File,All,portal-2.0.8,2134,5
File,All,v0.9.10,2138,1
File,All,portal-2.0.9,2140,0
File,All,portal-2.0.10,2117,13
File,All,portal-2.0.11,2117,13
File,All,portal-2.0.12,2129,1
File,All,portal-2.0.13,2153,5
File,All,portal-2.0.14,2160,0
File,All,portal-2.0.15,2142,3
File,All,portal-2.0.16,2257,44
File,All,1.0.0,2301,0
File,All,usergrid-1.0.0,2582,4
File,All,1.0.1,2586,0
File,All,usergrid-1.0.1,2569,0
File,All,usergrid-006,2837,6
File,All,1.0.2,2843,0
File,All,usergrid-1.0.2,2941,25
