granularity,buggedType,version_name,valid,bug
Method,Most,VALIDATOR_1_0_1,1126,0
Method,Most,VALIDATOR_1_0_2,1126,0
Method,Most,VALIDATOR_1_1_0,1126,0
Method,Most,VALIDATOR_1_1_1,1126,0
Method,Most,VALIDATOR_1_1_2,1126,0
Method,Most,VALIDATOR_1_1_3,1126,0
Method,Most,VALIDATOR_1_1_4,1126,0
Method,Most,VALIDATOR_1_2_0,1126,0
Method,Most,VALIDATOR_1_3_0,1126,0
Method,Most,VALIDATOR_1_3_1,1449,10
Method,Most,VALIDATOR_1_4_0,1513,23
Method,Most,VALIDATOR_1_4_1,1655,18
Method,Most,VALIDATOR_1_5_0,1693,6
Method,All,VALIDATOR_1_0_1,1126,0
Method,All,VALIDATOR_1_0_2,1126,0
Method,All,VALIDATOR_1_1_0,1126,0
Method,All,VALIDATOR_1_1_1,1126,0
Method,All,VALIDATOR_1_1_2,1126,0
Method,All,VALIDATOR_1_1_3,1126,0
Method,All,VALIDATOR_1_1_4,1126,0
Method,All,VALIDATOR_1_2_0,1126,0
Method,All,VALIDATOR_1_3_0,1126,0
Method,All,VALIDATOR_1_3_1,1452,7
Method,All,VALIDATOR_1_4_0,1519,17
Method,All,VALIDATOR_1_4_1,1655,18
Method,All,VALIDATOR_1_5_0,1698,1
File,Most,VALIDATOR_1_0_1,164,0
File,Most,VALIDATOR_1_0_2,164,0
File,Most,VALIDATOR_1_1_0,164,0
File,Most,VALIDATOR_1_1_1,164,0
File,Most,VALIDATOR_1_1_2,164,0
File,Most,VALIDATOR_1_1_3,164,0
File,Most,VALIDATOR_1_1_4,164,0
File,Most,VALIDATOR_1_2_0,164,0
File,Most,VALIDATOR_1_3_0,164,0
File,Most,VALIDATOR_1_3_1,238,4
File,Most,VALIDATOR_1_4_0,244,5
File,Most,VALIDATOR_1_4_1,247,8
File,Most,VALIDATOR_1_5_0,253,2
File,All,VALIDATOR_1_0_1,164,0
File,All,VALIDATOR_1_0_2,164,0
File,All,VALIDATOR_1_1_0,164,0
File,All,VALIDATOR_1_1_1,164,0
File,All,VALIDATOR_1_1_2,164,0
File,All,VALIDATOR_1_1_3,164,0
File,All,VALIDATOR_1_1_4,164,0
File,All,VALIDATOR_1_2_0,164,0
File,All,VALIDATOR_1_3_0,164,0
File,All,VALIDATOR_1_3_1,238,4
File,All,VALIDATOR_1_4_0,244,5
File,All,VALIDATOR_1_4_1,247,8
File,All,VALIDATOR_1_5_0,253,2
